date,ondo,sun,snow,price
2015-01-04,-1.9,7.48,0.1,4807
2015-01-05,-1.1,7.04,0.3,4717
2015-01-06,-1.7,10.48,0,4667
2015-01-07,-8.7,9.97,0,4623
2015-01-08,-8.9,10.08,0,4504
2015-01-11,-1.5,9.57,0,4399
2015-01-12,-6.2,10.27,0,4449
2015-01-13,-4,8.18,0,4608
2015-01-14,-1.1,3.37,0,4809
2015-01-15,0.7,6.62,0,5075
2015-01-18,-5.1,9.68,2.8,5658
2015-01-19,0.1,5.19,0,5908
2015-01-20,-3.3,10.12,0,6112
2015-01-21,0.4,3.51,0,6250
2015-01-22,0.8,3.5,0,6413
2015-01-25,0.4,3.04,0,6825
2015-01-26,2.9,2.1,0,6859
2015-01-27,-1.8,11.16,0,6902
2015-01-28,-4.7,10.74,0,7070
2015-01-29,-2,4.54,0,7291
2015-02-01,-6.1,12.59,0,7823
2015-02-02,-4.6,10.5,0,7957
2015-02-03,-3.1,8.87,0,8092
2015-02-04,-2.8,7.58,0,8244
2015-02-05,-2.3,10.53,0,8481
2015-02-08,-8.1,12.47,0,8481
2015-02-09,-7.5,12.28,0,8461
2015-02-10,1.1,10.75,0,8234
2015-02-15,3.2,6.89,0,7272
2015-02-16,2.2,1.3,0,7199
2015-02-17,1.3,6.72,0,7190
2015-02-18,-0.1,3.63,0,7307
2015-02-19,-1.5,13.18,0,7300
2015-02-22,3.2,10.06,0,7084
2015-02-23,0,11.89,0,6930
2015-02-24,-0.5,13.83,0,6916
2015-02-25,4.1,11,0,6977
2015-02-26,1.1,14.37,0,6889
2015-03-02,0.2,16.81,0,7027
2015-03-03,2.3,6.8,0,6952
2015-03-04,-2.7,18.07,0,6856
2015-03-05,-3.2,15.81,0,6632
2015-03-08,4.6,15.75,0,6098
2015-03-09,2.1,16.52,0,5909
2015-03-10,-4.4,19.34,0,5720
2015-03-11,-0.6,13.97,0,5686
2015-03-12,0.5,18.59,0,5676
2015-03-15,2.8,16.79,0,5671
2015-03-16,5.8,16.37,0,5748
2015-03-17,8.1,11.93,0,5748
2015-03-18,7.2,1.85,0,5665
2015-03-19,11.2,18.94,0,5611
2015-03-22,6.8,18.93,0,5436
2015-03-23,2.8,20.82,0,5405
2015-03-24,2.7,20.64,0,5455
2015-03-25,3.1,21.15,0,5496
2015-03-26,5.9,20.88,0,5448
2015-03-29,9.6,15.05,0,5192
2015-03-30,11.3,19.42,0,5114
2015-03-31,10.1,2.54,0,5065
2015-04-01,8.7,4.02,0,4987
2015-04-02,12,17.08,0,4916
2015-04-05,8.4,3.3,0,4725
2015-04-06,10.1,4.66,0,4687
2015-04-07,5.8,13.2,0,4626
2015-04-08,6.3,14.66,0,4617
2015-04-09,7.3,18.19,0,4608
2015-04-12,10.6,10.5,0,4613
2015-04-13,9,6.96,0,4598
2015-04-14,6.6,7.55,0,4545
2015-04-15,8.7,19.33,0,4482
2015-04-16,8.1,10.07,0,4401
2015-04-19,11.4,3.02,0,4206
2015-04-20,8.6,5.09,0,4166
2015-04-21,10.5,23.31,0,4143
2015-04-22,11.6,19.42,0,4147
2015-04-23,11.9,23.26,0,4172
2015-04-26,15.8,23.54,0,4208
2015-04-27,17.3,22.82,0,4247
2015-04-28,16.7,13.64,0,4303
2015-04-29,15.3,3.87,0,4350
2015-04-30,17.6,20.57,0,4435
2015-05-03,17.5,7.28,0,4709
2015-05-04,15,24.49,0,4753
2015-05-06,12.5,16.33,0,4694
2015-05-07,14.8,22.36,0,4676
2015-05-10,17.2,24.66,0,4720
2015-05-11,16.3,14.23,0,4639
2015-05-12,13.7,22.27,0,4519
2015-05-13,17,25.25,0,4420
2015-05-14,19.8,23.58,0,4348
2015-05-17,15.3,24.88,0,4127
2015-05-18,15.8,16.95,0,4100
2015-05-20,14.1,20.2,0,4124
2015-05-21,16.7,27.7,0,4121
2015-05-24,18.5,27.5,0,4109
2015-05-25,19.2,26.4,0,4122
2015-05-26,20.2,27.43,0,4137
2015-05-27,19.5,27.93,0,4162
2015-05-28,21.2,24.73,0,4172
2015-05-31,18.9,21.05,0,4030
2015-06-01,19.4,23.69,0,4039
2015-06-02,22.1,19.59,0,4055
2015-06-03,20.4,26.47,0,4095
2015-06-04,20.3,24.73,0,4152
2015-06-07,20.8,25.28,0,4216
2015-06-08,19.5,13.76,0,4163
2015-06-09,20.7,22.08,0,4056
2015-06-10,23.8,25.21,0,3961
2015-06-11,21.7,9.49,0,3940
2015-06-14,21.9,17.02,0,3810
2015-06-15,23.4,18.45,0,3722
2015-06-16,22.3,24.07,0,3692
2015-06-17,22.8,12.39,0,3698
2015-06-18,22.7,18.95,0,3728
2015-06-21,21,21.16,0,3726
2015-06-22,22.5,18.56,0,3726
2015-06-23,23.1,24.23,0,3778
2015-06-24,22.4,5.53,0,3796
2015-06-25,21.9,9.88,0,3754
2015-06-28,23,23.91,0,3864
2015-06-29,24.4,25.18,0,3920
2015-06-30,22.2,13.78,0,3996
2015-07-01,22,20.41,0,3282
2015-07-02,21.5,23,0,3333
2015-07-03,19.8,23.45,0,3367
2015-07-06,22.3,18.19,0,3473
2015-07-07,19.4,5.52,0,3465
2015-07-08,19.4,8.38,0,3483
2015-07-09,22.8,9.13,0,3493
2015-07-10,24.4,21.4,0,3557
2015-07-13,23,5.5,0,3689
2015-07-14,23.9,18.56,0,3680
2015-07-15,23.5,15.07,0,3724
2015-07-16,20.1,23.39,0,3840
2015-07-17,19.5,19.43,0,3866
2015-07-20,24.7,14.19,0,3953
2015-07-21,25.5,11.5,0,3918
2015-07-22,26.7,17.16,0,3837
2015-07-23,25.6,8.87,0,3752
2015-07-24,23.9,2.7,0,3734
2015-07-27,24.2,9.16,0,3803
