date,ondo,sun,uga,price
2015-01-04,-1.3,8.16,52.125,5967
2015-01-05,0,7.3,50.98,5967
2015-01-06,1,10.72,48.08,5967
2015-01-07,-5.3,11.34,46.6,5967
2015-01-08,-6.5,11.84,47.5,5967
2015-01-11,-2.7,10.38,46.54,5967
2015-01-12,-4.9,11.12,45.67,6067
2015-01-13,-2.9,10.8,43.3,6067
2015-01-14,0.4,3.22,42.55,6067
2015-01-15,0.3,6.63,44.48,6067
2015-01-18,-3.3,11.9,44.98,6067
2015-01-19,0.6,9.76,46.04,6067
2015-01-20,-2.1,10.71,44.82,6067
2015-01-21,1,3.89,44.75,6067
2015-01-22,1.8,3.6,44.65,6067
2015-01-25,0.3,3.93,44.285,6067
2015-01-26,3.8,3.46,44.15,6067
2015-01-27,0,11.47,43.63,6067
2015-01-28,-3.9,9.45,44.83,6067
2015-01-29,-0.8,4.52,44.63,6067
2015-02-01,-5,14.01,47.2,6067
2015-02-02,-3.4,11.77,48.81,6067
2015-02-03,-1.7,10.06,52.62,6067
2015-02-04,-0.9,13.15,54.72,6133
2015-02-05,-2,10.09,51.41,6133
2015-02-08,-4.7,14.83,54.8,6133
2015-02-09,-4.7,14.66,55.37,6133
2015-02-10,2.2,11.32,55.83,6133
2015-02-15,3.5,8.76,58.265,6133
2015-02-16,3.5,1.67,58.83,6133
2015-02-17,2.4,9.01,58.89,6133
2015-02-18,1.3,8.97,59.32,6133
2015-02-19,0,12.08,58.305,6133
2015-02-22,6.7,11.85,58.305,6133
2015-02-23,2.3,13.67,57.29,6133
2015-02-24,1.9,16.15,56.06,6133
2015-02-25,3.7,11.73,55.84,6133
2015-02-26,1.9,13.28,58.42,6133
2015-03-02,1.3,18.2,59.58,6133
2015-03-03,1.7,6.63,57.15,6133
2015-03-04,-0.3,19.19,57.8,6400
2015-03-05,-1.4,18.08,57.35,6400
2015-03-08,4.3,17.23,55.38,6400
2015-03-09,4.1,16.37,56.58,6400
2015-03-10,-2.3,20.26,55.48,6400
2015-03-11,1.7,15.55,53.5,6400
2015-03-12,1.2,20.02,55.4,6400
2015-03-15,5,18.03,53.1,6400
2015-03-16,7,18.29,52.75,6400
2015-03-17,10,15.25,51.64,6233
2015-03-18,8,1.74,51.24,6233
2015-03-19,11.5,19.15,53.4,6133
2015-03-22,8.5,20.71,52.375,6067
2015-03-23,4.6,22.18,52.87,6067
2015-03-24,3.3,21.8,53.4,6067
2015-03-25,4.1,21.99,52.69,6067
2015-03-26,6.1,22.2,53.99,6000
2015-03-29,11.4,19.23,54.6,6000
2015-03-30,12.1,20.78,53.95,6000
2015-03-31,10.4,4.05,53.84,6000
2015-04-01,10.2,3.05,52.83,6000
2015-04-02,12.4,5.52,54.63,6000
2015-04-05,9.4,4.77,54.82,6000
2015-04-06,10.9,5.3,53.95,6000
2015-04-07,7.4,5.97,55.01,6000
2015-04-08,6.1,8.52,55.92,6000
2015-04-09,7.6,21.39,53.31,6000
2015-04-12,9.6,12.83,55.55,6000
2015-04-13,9.1,5.36,56.58,6000
2015-04-14,9.7,14.02,56.32,6000
2015-04-15,10.7,18.7,56.82,6000
2015-04-16,9.8,14.64,58.66,6000
2015-04-19,13.7,3.08,58.62,6000
2015-04-20,10.8,3.99,59.34,6267
2015-04-21,12.4,22.45,59.25,6100
2015-04-22,12.5,20.14,58.03,6000
2015-04-23,12.8,23.77,58.6,6000
2015-04-26,16.8,25.47,61.54,6000
2015-04-27,17.7,24.12,62,6000
2015-04-28,17.1,18.7,61.62,6000
2015-04-29,15.5,5.24,61.65,6000
2015-04-30,17.3,16.68,62.69,5900
2015-05-03,17.5,6.06,62.985,5900
2015-05-04,16.8,25.32,63.03,5900
2015-05-06,13.4,18.14,64.79,5900
2015-05-07,15.8,24.11,65.06,5833
2015-05-10,15.8,25.72,63.585,5833
2015-05-11,16.6,16.89,62.84,5833
2015-05-12,16.9,21.04,62.4,5833
2015-05-13,17.9,26.78,64.21,5833
2015-05-14,19.7,24.97,63.61,5833
2015-05-17,16.1,26.59,62.62,5750
2015-05-18,14.8,12.16,63.58,5750
2015-05-20,16.3,28.51,61.75,5750
2015-05-21,17.2,28.54,62.68,5833
2015-05-24,19.1,28.8,63.07,5833
2015-05-25,20,28.55,62.98,5833
2015-05-26,21.3,28.84,63.07,5833
2015-05-27,21.1,29.65,62.11,5833
2015-05-28,21.6,24.87,60.64,5833
2015-05-31,20.1,25.45,61.705,5833
2015-06-01,21.2,24.58,61.705,5833
2015-06-02,21.4,19.26,62.49,5833
2015-06-03,21.5,26.36,62.3,5833
2015-06-04,21,28,60.71,5833
2015-06-07,20.8,27.12,60.845,5833
2015-06-08,19.8,13.6,60.23,5833
2015-06-09,22,25.64,59.64,5833
2015-06-10,23.9,26.08,62.66,5833
2015-06-11,20.8,8.81,63.44,5833
2015-06-14,22.8,21.26,61.44,5833
2015-06-15,24.9,21.37,61.29,5833
2015-06-16,22.3,21.4,60.46,5833
2015-06-17,21.1,22.17,60.81,5833
2015-06-18,21.6,19.52,60.98,5833
2015-06-21,21.6,22.9,60.52,5833
2015-06-22,22.1,24.04,59.82,5833
2015-06-23,22.4,21.89,60.11,5833
2015-06-24,22.4,18.83,61.09,5833
2015-06-25,20.5,12.18,60.26,5833
2015-06-28,21,16.51,59.785,5833
2015-06-29,24.6,25.94,59.36,5833
2015-06-30,21.3,9.31,59.56,5833
2015-07-01,22.3,22.74,60.93,6638
2015-07-02,22,26.35,59.51,6638
2015-07-03,22.5,24.01,59.45,6638
2015-07-06,22,22.94,57.93,6638
2015-07-07,18.4,6.22,55.16,6638
2015-07-08,20.3,8.08,54.98,6638
2015-07-09,21,8.72,56.69,6638
2015-07-10,23.6,19.02,58.19,6638
2015-07-13,25.2,9.33,57.75,6638
2015-07-14,25.7,24.57,56.25,6638
2015-07-15,25.4,17.91,56.93,6638
2015-07-16,21.8,26.02,55.75,6638
2015-07-17,21.3,14.83,62.365,6638
2015-07-20,23.6,9.77,55.4,6638
2015-07-21,25.1,13.37,54.68,6638
2015-07-22,27.3,17.51,55.03,6638
2015-07-23,26.7,11.06,54.22,6638
2015-07-24,27.7,8.96,53.45,6638
2015-07-27,26.3,14.28,52.87,6638
2015-07-28,27.9,24.09,51.85,6638
2015-07-29,26,8.47,51.86,6638
2015-07-30,28.5,23.61,52.53,6638
2015-07-31,29.2,25.75,52.07,6638
2015-08-03,28.5,23.13,51.11,7175
2015-08-04,28,25.82,50.13,7175
2015-08-05,28,25.94,50.09,7175
2015-08-06,30,25.85,49.71,7175
2015-08-07,29.5,25.5,50.15,7175
2015-08-10,26.1,18.74,50.15,7175
2015-08-11,25.8,9.09,50.59,7175
2015-08-12,21.9,8.99,49.37,7175
2015-08-13,23.9,20.89,49.87,7175
2015-08-17,24.4,17.49,48.53,7175
2015-08-18,24.3,19.92,48.22,7175
2015-08-19,23.6,12.96,48.27,7175
2015-08-20,23,8.5,46.73,7175
2015-08-21,22.6,13,46.23,7175
2015-08-24,24,9.68,44.4,7175
2015-08-25,21.1,2.41,42.66,7175
2015-08-26,22.2,15.25,42.94,7175
2015-08-27,21.7,18.08,43.57,7175
2015-08-28,22.3,19.54,46.84,7175
2015-08-31,23.2,20.67,48.72,7175
2015-09-01,23.4,12.75,49.98,7333
2015-09-02,21.7,9.84,46.16,7333
2015-09-03,22.2,19.61,47.01,7333
2015-09-04,22.2,20.73,47.19,7333
2015-09-07,19,21.55,46.6,7333
2015-09-08,17.7,23.71,45.93,7333
2015-09-09,17.5,23.5,47.55,7333
2015-09-10,18.4,22.63,45.75,7333
2015-09-11,20.7,17.78,51.1,7333
2015-09-14,16.6,20.07,45.47,7333
2015-09-15,16.3,21.64,43.87,7333
2015-09-16,17.8,17.54,44.08,7333
2015-09-17,17.2,6.5,46.78,7333
2015-09-18,18.9,20.9,45.99,7333
2015-09-21,19.6,18.75,44.58,7333
2015-09-22,18.5,20.52,45,7333
2015-09-23,17.5,7.5,45.13,7500
2015-09-24,19.6,7.42,51.1,7500
2015-09-25,19,13.56,44.98,7500
2015-09-30,17.8,10.7,44.31,7500
2015-10-01,17.3,2.3,45.92,7500
2015-10-02,13.8,20.03,45.38,7500
2015-10-05,14.9,18.33,45.91,7500
2015-10-06,14.3,17.82,46.48,8000
2015-10-07,15.1,15.76,48.97,8167
2015-10-08,14.8,16.09,48.41,8167
2015-10-12,11.3,16.45,49.61,8167
2015-10-13,10.8,17.25,47.08,8167
2015-10-14,12.4,16.74,46.52,8167
2015-10-15,13.3,15.12,46.44,8167
2015-10-16,13.4,15.55,46.58,8167
2015-10-19,13.7,12.55,46.22,8167
2015-10-20,14.7,12,44.61,8167
2015-10-21,14.4,12.11,44.43,8333
2015-10-22,14.6,9.93,43.71,8333
2015-10-23,14.7,11.18,43.9,8333
2015-10-26,12.2,11.21,43.48,8333
2015-10-27,11.1,5.64,43.01,8333
2015-10-28,7.8,15,43.11,8333
2015-10-29,8.2,14.01,44.45,8333
2015-10-30,6.2,15.27,43.94,8333
2015-11-02,7.4,12.58,44.55,8333
2015-11-03,7.1,12.81,43.89,8333
2015-11-04,7.1,13.2,45.45,8333
2015-11-05,9.3,11,43.7,8267
2015-11-06,10.9,8.12,43.16,8267
2015-11-09,12.2,4.96,42.88,8167
2015-11-10,10.8,9.06,51.1,8167
2015-11-11,10.2,10.62,42.59,8167
2015-11-12,11.5,5.16,41.68,8167
2015-11-13,11,1.55,40.77,8233
2015-11-16,10.6,3.25,40.35,8233
2015-11-17,14,2.34,40.39,8233
2015-11-18,10.6,1.19,39.64,8233
2015-11-19,9.6,3.12,40.13,8233
2015-11-20,9.8,9.24,40.07,8233
