date,uga,sun,ondo,price
2015-01-02,53.27,7.07,1,520
2015-01-05,50.98,6.49,6.9,520
2015-01-06,48.08,9.88,2.6,520
2015-01-07,46.6,8.22,0,520
2015-01-08,47.5,6.12,1.7,520
2015-01-09,47.41,8.26,3.9,520
2015-01-12,45.67,10.27,-0.1,520
2015-01-13,43.3,7.3,3.1,520
2015-01-14,42.55,1.46,4.9,520
2015-01-15,44.48,8.76,3.5,520
2015-01-16,43.92,1.62,3.1,520
2015-01-19,46.04,8.72,4.3,520
2015-01-20,44.82,9.39,1.9,520
2015-01-21,44.75,1.44,4.7,520
2015-01-22,44.65,8.55,3.8,520
2015-01-23,44.42,10.95,3.1,520
2015-01-26,44.15,1.07,5.9,520
2015-01-27,43.63,7.19,1.1,520
2015-01-28,44.83,10.39,-1.1,520
2015-01-29,44.63,1.08,-0.1,520
2015-01-30,45.59,6.23,0.6,520
2015-02-02,48.81,11.19,1,520
2015-02-03,52.62,10.37,0.9,530
2015-02-04,54.72,5.49,1.8,530
2015-02-05,51.41,6.08,1.9,530
2015-02-06,54.23,6.55,2.5,530
2015-02-09,55.37,13.34,-1.2,530
2015-02-10,55.83,11.45,4.6,540
2015-02-11,54.91,10.84,6,540
2015-02-12,54.75,11.83,2.2,540
2015-02-13,57.7,10.81,0.4,540
2015-02-16,58.83,1.24,7.6,540
2015-02-17,58.89,9.91,4.7,540
2015-02-23,57.29,12.51,3.6,560
2015-02-24,56.06,14.29,4,610
2015-02-25,55.84,6.21,5.8,660
2015-02-26,58.42,10.85,4.5,680
2015-02-27,57.39,10.5,0.4,660
2015-03-02,59.58,15.99,4.1,660
2015-03-03,57.15,7.58,4.7,660
2015-03-04,57.8,12.62,1,710
2015-03-05,57.35,13.33,1.2,690
2015-03-06,57.26,13.49,3.5,690
2015-03-09,56.58,13.02,3.6,670
2015-03-10,55.48,14.51,-0.5,650
2015-03-11,53.5,16.2,4.3,650
2015-03-12,55.4,18.21,5.2,650
2015-03-13,54.96,3.56,7.8,650
2015-03-16,52.75,14.95,10.2,670
2015-03-17,51.64,12.89,12.3,660
2015-03-18,51.24,1.49,12.7,670
2015-03-19,53.4,14.31,10.7,660
2015-03-20,52.06,14.39,9.9,650
2015-03-23,52.87,19.32,5.6,640
2015-03-24,53.4,20.58,5.4,640
2015-03-25,52.69,19.98,5.3,640
2015-03-26,53.99,19.92,6.6,640
2015-03-27,56.37,14.96,7.9,640
2015-03-30,53.95,17.37,13.5,640
2015-03-31,53.84,2.93,14.8,640
2015-04-01,52.83,8.43,14.1,650
2015-04-02,54.63,12.83,15.4,650
2015-04-03,54.82,5.21,9.5,650
2015-04-06,53.95,3,9.4,670
2015-04-07,55.01,16.69,7.3,700
2015-04-08,55.92,19.03,7.6,750
2015-04-09,53.31,18.09,9.4,770
2015-04-10,54.28,19.58,10.1,780
2015-04-13,56.58,6.02,10.6,710
2015-04-14,56.32,17.03,8.8,730
2015-04-15,56.82,18.45,12,730
2015-04-16,58.66,12.56,11.9,730
2015-04-17,59.21,20.96,11.7,730
2015-04-20,59.34,3.09,11.8,710
2015-04-21,59.25,21.27,11.8,690
2015-04-22,58.03,20.25,12.2,620
2015-04-23,58.6,17.49,13.5,530
2015-04-24,61.43,16.45,14,695
2015-04-27,62,21.88,18,665
2015-04-28,61.62,6.85,17.1,665
2015-04-29,61.65,7.7,16.7,650
2015-04-30,62.69,15.95,17.8,665
2015-05-04,63.03,21.1,14,830
2015-05-06,64.79,13.36,13.9,830
2015-05-07,65.06,23.3,15.1,820
2015-05-08,62.96,17.79,16.9,800
2015-05-11,62.84,6.05,16.6,790
2015-05-12,62.4,22.25,15.3,800
2015-05-13,64.21,23.57,18.9,780
2015-05-14,63.61,15.48,19.9,780
2015-05-15,63.49,10.35,18,780
2015-05-18,63.58,4.62,15.8,680
2015-05-19,62.79,18.08,16.3,690
2015-05-20,61.75,24.27,16.7,700
2015-05-21,62.68,23.48,17.6,700
2015-05-22,64.03,19.53,19.1,690
2015-05-26,63.07,24.01,19.4,710
2015-05-27,62.11,23.66,20.8,720
2015-05-28,60.64,21.44,22.4,720
2015-05-29,61.11,21.94,22.2,710
2015-06-01,61.705,23,21,710
2015-06-02,62.49,6.18,20.4,710
2015-06-03,62.3,24.49,20.6,710
2015-06-04,60.71,23.04,21.1,710
2015-06-05,59.03,15,17.8,720
2015-06-08,60.23,6.47,20.3,760
2015-06-09,59.64,18.7,21.7,760
2015-06-10,62.66,19.87,23.2,780
2015-06-11,63.44,11.11,22.8,810
2015-06-12,62.42,22.41,24.2,800
2015-06-15,61.29,11.51,22.4,820
2015-06-16,60.46,17.45,21.5,840
2015-06-17,60.81,7.14,21,840
2015-06-18,60.98,20.7,22.2,850
2015-06-19,60.93,21.01,22.5,900
2015-06-22,59.82,18.91,21.7,920
2015-06-23,60.11,18.95,23.4,970
2015-06-24,61.09,5.28,21.5,970
2015-06-25,60.26,6.65,21.3,1010
2015-06-26,60.01,7.68,21,1010
2015-06-29,59.36,9.88,21.4,1010
2015-06-30,59.56,3.46,20.1,1050
