,date,uga,price
0,2015-01-04,52.125,4807.0
1,2015-01-05,50.98,4717.0
2,2015-01-06,48.08,4667.0
3,2015-01-07,46.6,4623.0
4,2015-01-08,47.5,4504.0
5,2015-01-11,46.54,4399.0
6,2015-01-12,45.67,4449.0
7,2015-01-13,43.3,4608.0
8,2015-01-14,42.55,4809.0
9,2015-01-15,44.48,5075.0
10,2015-01-18,44.98,5658.0
11,2015-01-19,46.04,5908.0
12,2015-01-20,44.82,6112.0
13,2015-01-21,44.75,6250.0
14,2015-01-22,44.65,6413.0
15,2015-01-25,44.285,6825.0
16,2015-01-26,44.15,6859.0
17,2015-01-27,43.63,6902.0
18,2015-01-28,44.83,7070.0
19,2015-01-29,44.63,7291.0
20,2015-02-01,47.2,7823.0
21,2015-02-02,48.81,7957.0
22,2015-02-03,52.62,8092.0
23,2015-02-04,54.72,8244.0
24,2015-02-05,51.41,8481.0
25,2015-02-08,54.8,8481.0
26,2015-02-09,55.37,8461.0
27,2015-02-10,55.83,8234.0
28,2015-02-15,58.265,7272.0
29,2015-02-16,58.83,7199.0
30,2015-02-17,58.89,7190.0
31,2015-02-18,59.32,7307.0
32,2015-02-19,58.305,7300.0
33,2015-02-22,58.305,7084.0
34,2015-02-23,57.29,6930.0
35,2015-02-24,56.06,6916.0
36,2015-02-25,55.84,6977.0
37,2015-02-26,58.42,6889.0
38,2015-03-02,59.58,7027.0
39,2015-03-03,57.15,6952.0
40,2015-03-04,57.8,6856.0
41,2015-03-05,57.35,6632.0
42,2015-03-08,55.38,6098.0
43,2015-03-09,56.58,5909.0
44,2015-03-10,55.48,5720.0
45,2015-03-11,53.5,5686.0
46,2015-03-12,55.4,5676.0
47,2015-03-15,53.1,5671.0
48,2015-03-16,52.75,5748.0
49,2015-03-17,51.64,5748.0
50,2015-03-18,51.24,5665.0
51,2015-03-19,53.4,5611.0
52,2015-03-22,52.375,5436.0
53,2015-03-23,52.87,5405.0
54,2015-03-24,53.4,5455.0
55,2015-03-25,52.69,5496.0
56,2015-03-26,53.99,5448.0
57,2015-03-29,54.6,5192.0
58,2015-03-30,53.95,5114.0
59,2015-03-31,53.84,5065.0
60,2015-04-01,52.83,4987.0
61,2015-04-02,54.63,4916.0
62,2015-04-05,54.82,4725.0
63,2015-04-06,53.95,4687.0
64,2015-04-07,55.01,4626.0
65,2015-04-08,55.92,4617.0
66,2015-04-09,53.31,4608.0
67,2015-04-12,55.55,4613.0
68,2015-04-13,56.58,4598.0
69,2015-04-14,56.32,4545.0
70,2015-04-15,56.82,4482.0
71,2015-04-16,58.66,4401.0
72,2015-04-19,58.62,4206.0
73,2015-04-20,59.34,4166.0
74,2015-04-21,59.25,4143.0
75,2015-04-22,58.03,4147.0
76,2015-04-23,58.6,4172.0
77,2015-04-26,61.54,4208.0
78,2015-04-27,62.0,4247.0
79,2015-04-28,61.62,4303.0
80,2015-04-29,61.65,4350.0
81,2015-04-30,62.69,4435.0
82,2015-05-03,62.985,4709.0
83,2015-05-04,63.03,4753.0
84,2015-05-06,64.79,4694.0
85,2015-05-07,65.06,4676.0
86,2015-05-10,63.585,4720.0
87,2015-05-11,62.84,4639.0
88,2015-05-12,62.4,4519.0
89,2015-05-13,64.21,4420.0
90,2015-05-14,63.61,4348.0
91,2015-05-17,62.62,4127.0
92,2015-05-18,63.58,4100.0
93,2015-05-20,61.75,4124.0
94,2015-05-21,62.68,4121.0
95,2015-05-24,63.07,4109.0
96,2015-05-25,62.98,4122.0
97,2015-05-26,63.07,4137.0
98,2015-05-27,62.11,4162.0
99,2015-05-28,60.64,4172.0
100,2015-05-31,61.705,4030.0
101,2015-06-01,61.705,4039.0
102,2015-06-02,62.49,4055.0
103,2015-06-03,62.3,4095.0
104,2015-06-04,60.71,4152.0
105,2015-06-07,60.845,4216.0
106,2015-06-08,60.23,4163.0
107,2015-06-09,59.64,4056.0
108,2015-06-10,62.66,3961.0
109,2015-06-11,63.44,3940.0
110,2015-06-14,61.44,3810.0
111,2015-06-15,61.29,3722.0
112,2015-06-16,60.46,3692.0
113,2015-06-17,60.81,3698.0
114,2015-06-18,60.98,3728.0
115,2015-06-21,60.52,3726.0
116,2015-06-22,59.82,3726.0
117,2015-06-23,60.11,3778.0
118,2015-06-24,61.09,3796.0
119,2015-06-25,60.26,3754.0
120,2015-06-28,59.785,3864.0
121,2015-06-29,59.36,3920.0
122,2015-06-30,59.56,3996.0
123,2015-07-01,60.93,3282.0
124,2015-07-02,59.51,3333.0
125,2015-07-03,59.45,3367.0
126,2015-07-06,57.93,3473.0
127,2015-07-07,55.16,3465.0
128,2015-07-08,54.98,3483.0
129,2015-07-09,56.69,3493.0
130,2015-07-10,58.19,3557.0
131,2015-07-13,57.75,3689.0
132,2015-07-14,56.25,3680.0
133,2015-07-15,56.93,3724.0
134,2015-07-16,55.75,3840.0
135,2015-07-17,62.365,3866.0
136,2015-07-20,55.4,3953.0
137,2015-07-21,54.68,3918.0
138,2015-07-22,55.03,3837.0
139,2015-07-23,54.22,3752.0
140,2015-07-24,53.45,3734.0
141,2015-07-27,52.87,3803.0
142,2015-07-28,51.85,3792.0
143,2015-07-29,51.86,3851.0
144,2015-07-30,52.53,3839.0
145,2015-07-31,52.07,3802.0
146,2015-08-03,51.11,3891.0
147,2015-08-04,50.13,3968.0
148,2015-08-05,50.09,3947.0
149,2015-08-06,49.71,3974.0
150,2015-08-07,50.15,3857.0
151,2015-08-10,50.15,3713.0
152,2015-08-11,50.59,3701.0
153,2015-08-12,49.37,3620.0
154,2015-08-13,49.87,3566.0
155,2015-08-17,48.53,3553.0
156,2015-08-18,48.22,3541.0
157,2015-08-19,48.27,3608.0
158,2015-08-20,46.73,3607.0
159,2015-08-21,46.23,3556.0
160,2015-08-24,44.4,3681.0
161,2015-08-25,42.66,3833.0
162,2015-08-26,42.94,4028.0
163,2015-08-27,43.57,4302.0
164,2015-08-28,46.84,4493.0
165,2015-08-31,48.72,4689.0
166,2015-09-01,49.98,4668.0
167,2015-09-02,46.16,4779.0
168,2015-09-03,47.01,4990.0
169,2015-09-04,47.19,5083.0
170,2015-09-07,46.6,5454.0
171,2015-09-08,45.93,5528.0
172,2015-09-09,47.55,5443.0
173,2015-09-10,45.75,5428.0
174,2015-09-11,51.1,5516.0
175,2015-09-14,45.47,5756.0
176,2015-09-15,43.87,5583.0
177,2015-09-16,44.08,5425.0
178,2015-09-17,46.78,5287.0
179,2015-09-18,45.99,5155.0
180,2015-09-21,44.58,4982.0
181,2015-09-22,45.0,4933.0
182,2015-09-23,45.13,4893.0
183,2015-09-24,51.1,4771.0
184,2015-09-25,44.98,4585.0
185,2015-09-30,44.31,4053.0
186,2015-10-01,45.92,3940.0
187,2015-10-02,45.38,3818.0
188,2015-10-05,45.91,3736.0
189,2015-10-06,46.48,3645.0
190,2015-10-07,48.97,3736.0
191,2015-10-08,48.41,3650.0
192,2015-10-12,49.61,3722.0
193,2015-10-13,47.08,3820.0
194,2015-10-14,46.52,3809.0
195,2015-10-15,46.44,3884.0
196,2015-10-16,46.58,4058.0
197,2015-10-19,46.22,4240.0
198,2015-10-20,44.61,4233.0
199,2015-10-21,44.43,4205.0
200,2015-10-22,43.71,4197.0
201,2015-10-23,43.9,4169.0
202,2015-10-26,43.48,4159.0
203,2015-10-27,43.01,4166.0
204,2015-10-28,43.11,4231.0
205,2015-10-29,44.45,4313.0
206,2015-10-30,43.94,4413.0
207,2015-11-02,44.55,4661.0
208,2015-11-03,43.89,4765.0
209,2015-11-04,45.45,4917.0
210,2015-11-05,43.7,5031.0
211,2015-11-06,43.16,5071.0
212,2015-11-09,42.88,5008.0
213,2015-11-10,51.1,5011.0
214,2015-11-11,42.59,4950.0
215,2015-11-12,41.68,4890.0
216,2015-11-13,40.77,4884.0
217,2015-11-16,40.35,4825.0
218,2015-11-17,40.39,4828.0
219,2015-11-18,39.64,4877.0
220,2015-11-19,40.13,4915.0
221,2015-11-20,40.07,4932.0
