,date,ondo,price
0,2015-01-04,-1.9,4807.0
1,2015-01-05,-1.1,4717.0
2,2015-01-06,-1.7,4667.0
3,2015-01-07,-8.7,4623.0
4,2015-01-08,-8.9,4504.0
5,2015-01-11,-1.5,4399.0
6,2015-01-12,-6.2,4449.0
7,2015-01-13,-4.0,4608.0
8,2015-01-14,-1.1,4809.0
9,2015-01-15,0.7,5075.0
10,2015-01-18,-5.1,5658.0
11,2015-01-19,0.1,5908.0
12,2015-01-20,-3.3,6112.0
13,2015-01-21,0.4,6250.0
14,2015-01-22,0.8,6413.0
15,2015-01-25,0.4,6825.0
16,2015-01-26,2.9,6859.0
17,2015-01-27,-1.8,6902.0
18,2015-01-28,-4.7,7070.0
19,2015-01-29,-2.0,7291.0
20,2015-02-01,-6.1,7823.0
21,2015-02-02,-4.6,7957.0
22,2015-02-03,-3.1,8092.0
23,2015-02-04,-2.8,8244.0
24,2015-02-05,-2.3,8481.0
25,2015-02-08,-8.1,8481.0
26,2015-02-09,-7.5,8461.0
27,2015-02-10,1.1,8234.0
28,2015-02-15,3.2,7272.0
29,2015-02-16,2.2,7199.0
30,2015-02-17,1.3,7190.0
31,2015-02-18,-0.1,7307.0
32,2015-02-19,-1.5,7300.0
33,2015-02-22,3.2,7084.0
34,2015-02-23,0.0,6930.0
35,2015-02-24,-0.5,6916.0
36,2015-02-25,4.1,6977.0
37,2015-02-26,1.1,6889.0
38,2015-03-02,0.2,7027.0
39,2015-03-03,2.3,6952.0
40,2015-03-04,-2.7,6856.0
41,2015-03-05,-3.2,6632.0
42,2015-03-08,4.6,6098.0
43,2015-03-09,2.1,5909.0
44,2015-03-10,-4.4,5720.0
45,2015-03-11,-0.6,5686.0
46,2015-03-12,0.5,5676.0
47,2015-03-15,2.8,5671.0
48,2015-03-16,5.8,5748.0
49,2015-03-17,8.1,5748.0
50,2015-03-18,7.2,5665.0
51,2015-03-19,11.2,5611.0
52,2015-03-22,6.8,5436.0
53,2015-03-23,2.8,5405.0
54,2015-03-24,2.7,5455.0
55,2015-03-25,3.1,5496.0
56,2015-03-26,5.9,5448.0
57,2015-03-29,9.6,5192.0
58,2015-03-30,11.3,5114.0
59,2015-03-31,10.1,5065.0
60,2015-04-01,8.7,4987.0
61,2015-04-02,12.0,4916.0
62,2015-04-05,8.4,4725.0
63,2015-04-06,10.1,4687.0
64,2015-04-07,5.8,4626.0
65,2015-04-08,6.3,4617.0
66,2015-04-09,7.3,4608.0
67,2015-04-12,10.6,4613.0
68,2015-04-13,9.0,4598.0
69,2015-04-14,6.6,4545.0
70,2015-04-15,8.7,4482.0
71,2015-04-16,8.1,4401.0
72,2015-04-19,11.4,4206.0
73,2015-04-20,8.6,4166.0
74,2015-04-21,10.5,4143.0
75,2015-04-22,11.6,4147.0
76,2015-04-23,11.9,4172.0
77,2015-04-26,15.8,4208.0
78,2015-04-27,17.3,4247.0
79,2015-04-28,16.7,4303.0
80,2015-04-29,15.3,4350.0
81,2015-04-30,17.6,4435.0
82,2015-05-03,17.5,4709.0
83,2015-05-04,15.0,4753.0
84,2015-05-06,12.5,4694.0
85,2015-05-07,14.8,4676.0
86,2015-05-10,17.2,4720.0
87,2015-05-11,16.3,4639.0
88,2015-05-12,13.7,4519.0
89,2015-05-13,17.0,4420.0
90,2015-05-14,19.8,4348.0
91,2015-05-17,15.3,4127.0
92,2015-05-18,15.8,4100.0
93,2015-05-20,14.1,4124.0
94,2015-05-21,16.7,4121.0
95,2015-05-24,18.5,4109.0
96,2015-05-25,19.2,4122.0
97,2015-05-26,20.2,4137.0
98,2015-05-27,19.5,4162.0
99,2015-05-28,21.2,4172.0
100,2015-05-31,18.9,4030.0
101,2015-06-01,19.4,4039.0
102,2015-06-02,22.1,4055.0
103,2015-06-03,20.4,4095.0
104,2015-06-04,20.3,4152.0
105,2015-06-07,20.8,4216.0
106,2015-06-08,19.5,4163.0
107,2015-06-09,20.7,4056.0
108,2015-06-10,23.8,3961.0
109,2015-06-11,21.7,3940.0
110,2015-06-14,21.9,3810.0
111,2015-06-15,23.4,3722.0
112,2015-06-16,22.3,3692.0
113,2015-06-17,22.8,3698.0
114,2015-06-18,22.7,3728.0
115,2015-06-21,21.0,3726.0
116,2015-06-22,22.5,3726.0
117,2015-06-23,23.1,3778.0
118,2015-06-24,22.4,3796.0
119,2015-06-25,21.9,3754.0
120,2015-06-28,23.0,3864.0
121,2015-06-29,24.4,3920.0
