,date,rain,price
0,2015-01-04,0.0,4807.0
1,2015-01-05,0.5,4717.0
2,2015-01-06,4.5,4667.0
3,2015-01-07,0.0,4623.0
4,2015-01-08,0.0,4504.0
5,2015-01-11,0.5,4399.0
6,2015-01-12,0.0,4449.0
7,2015-01-13,0.0,4608.0
8,2015-01-14,0.0,4809.0
9,2015-01-15,0.0,5075.0
10,2015-01-18,1.5,5658.0
11,2015-01-19,2.0,5908.0
12,2015-01-20,0.0,6112.0
13,2015-01-21,0.0,6250.0
14,2015-01-22,2.5,6413.0
15,2015-01-25,2.0,6825.0
16,2015-01-26,2.0,6859.0
17,2015-01-27,0.0,6902.0
18,2015-01-28,0.0,7070.0
19,2015-01-29,0.5,7291.0
20,2015-02-01,0.0,7823.0
21,2015-02-02,0.0,7957.0
22,2015-02-03,0.0,8092.0
23,2015-02-04,0.0,8244.0
24,2015-02-05,0.0,8481.0
25,2015-02-08,0.0,8481.0
26,2015-02-09,0.1,8461.0
27,2015-02-10,0.0,8234.0
28,2015-02-15,0.0,7272.0
29,2015-02-16,17.0,7199.0
30,2015-02-17,0.5,7190.0
31,2015-02-18,0.1,7307.0
32,2015-02-19,0.0,7300.0
33,2015-02-22,2.5,7084.0
34,2015-02-23,0.0,6930.0
35,2015-02-24,0.0,6916.0
36,2015-02-25,0.0,6977.0
37,2015-02-26,0.5,6889.0
38,2015-03-02,0.0,7027.0
39,2015-03-03,2.0,6952.0
40,2015-03-04,0.0,6856.0
41,2015-03-05,0.0,6632.0
42,2015-03-08,0.0,6098.0
43,2015-03-09,0.0,5909.0
44,2015-03-10,0.0,5720.0
45,2015-03-11,0.0,5686.0
46,2015-03-12,0.0,5676.0
47,2015-03-15,0.0,5671.0
48,2015-03-16,0.0,5748.0
49,2015-03-17,0.0,5748.0
50,2015-03-18,22.5,5665.0
51,2015-03-19,0.0,5611.0
52,2015-03-22,0.0,5436.0
53,2015-03-23,0.0,5405.0
54,2015-03-24,0.0,5455.0
55,2015-03-25,0.0,5496.0
56,2015-03-26,0.0,5448.0
57,2015-03-29,0.0,5192.0
58,2015-03-30,0.0,5114.0
59,2015-03-31,1.5,5065.0
60,2015-04-01,3.0,4987.0
61,2015-04-02,6.0,4916.0
62,2015-04-05,3.0,4725.0
63,2015-04-06,0.0,4687.0
64,2015-04-07,0.0,4626.0
65,2015-04-08,0.0,4617.0
66,2015-04-09,0.0,4608.0
67,2015-04-12,0.0,4613.0
68,2015-04-13,0.0,4598.0
69,2015-04-14,5.5,4545.0
70,2015-04-15,1.5,4482.0
71,2015-04-16,6.5,4401.0
72,2015-04-19,9.0,4206.0
73,2015-04-20,10.5,4166.0
74,2015-04-21,0.0,4143.0
75,2015-04-22,0.0,4147.0
76,2015-04-23,0.0,4172.0
77,2015-04-26,0.0,4208.0
78,2015-04-27,0.0,4247.0
79,2015-04-28,0.0,4303.0
80,2015-04-29,2.0,4350.0
81,2015-04-30,0.0,4435.0
82,2015-05-03,1.5,4709.0
83,2015-05-04,0.0,4753.0
84,2015-05-06,0.0,4694.0
85,2015-05-07,0.0,4676.0
86,2015-05-10,0.0,4720.0
87,2015-05-11,14.0,4639.0
88,2015-05-12,11.0,4519.0
89,2015-05-13,0.0,4420.0
90,2015-05-14,0.0,4348.0
91,2015-05-17,0.0,4127.0
92,2015-05-18,0.0,4100.0
93,2015-05-20,0.0,4124.0
94,2015-05-21,0.0,4121.0
95,2015-05-24,0.0,4109.0
96,2015-05-25,0.0,4122.0
97,2015-05-26,0.0,4137.0
98,2015-05-27,0.0,4162.0
99,2015-05-28,0.0,4172.0
100,2015-05-31,0.0,4030.0
101,2015-06-01,0.0,4039.0
102,2015-06-02,0.0,4055.0
103,2015-06-03,0.0,4095.0
104,2015-06-04,0.0,4152.0
105,2015-06-07,0.0,4216.0
106,2015-06-08,0.0,4163.0
107,2015-06-09,0.0,4056.0
108,2015-06-10,0.0,3961.0
109,2015-06-11,0.4,3940.0
110,2015-06-14,0.5,3810.0
111,2015-06-15,0.0,3722.0
112,2015-06-16,1.5,3692.0
113,2015-06-17,0.0,3698.0
114,2015-06-18,0.0,3728.0
115,2015-06-21,0.0,3726.0
116,2015-06-22,0.0,3726.0
117,2015-06-23,0.0,3778.0
118,2015-06-24,2.0,3796.0
119,2015-06-25,4.0,3754.0
120,2015-06-28,0.0,3864.0
121,2015-06-29,0.0,3920.0
122,2015-06-30,0.0,3996.0
123,2015-07-01,0.3,3282.0
124,2015-07-02,0.0,3333.0
125,2015-07-03,0.2,3367.0
126,2015-07-06,1.5,3473.0
127,2015-07-07,2.5,3465.0
128,2015-07-08,15.5,3483.0
129,2015-07-09,0.1,3493.0
130,2015-07-10,0.0,3557.0
131,2015-07-13,3.5,3689.0
132,2015-07-14,0.0,3680.0
133,2015-07-15,0.0,3724.0
134,2015-07-16,0.0,3840.0
135,2015-07-17,0.0,3866.0
136,2015-07-20,0.0,3953.0
137,2015-07-21,3.5,3918.0
138,2015-07-22,7.5,3837.0
139,2015-07-23,22.0,3752.0
140,2015-07-24,129.5,3734.0
141,2015-07-27,0.0,3803.0
142,2015-07-28,0.0,3792.0
143,2015-07-29,24.0,3851.0
144,2015-07-30,0.0,3839.0
145,2015-07-31,0.0,3802.0
146,2015-08-03,0.0,3891.0
147,2015-08-04,0.0,3968.0
148,2015-08-05,0.0,3947.0
149,2015-08-06,0.0,3974.0
150,2015-08-07,0.0,3857.0
151,2015-08-10,0.0,3713.0
152,2015-08-11,0.0,3701.0
153,2015-08-12,0.0,3620.0
154,2015-08-13,2.5,3566.0
155,2015-08-17,0.0,3553.0
156,2015-08-18,0.0,3541.0
157,2015-08-19,0.0,3608.0
158,2015-08-20,0.5,3607.0
159,2015-08-21,3.5,3556.0
160,2015-08-24,0.0,3681.0
161,2015-08-25,17.0,3833.0
162,2015-08-26,0.0,4028.0
163,2015-08-27,3.0,4302.0
164,2015-08-28,0.0,4493.0
165,2015-08-31,0.5,4689.0
166,2015-09-01,5.5,4668.0
167,2015-09-02,8.0,4779.0
168,2015-09-03,3.0,4990.0
169,2015-09-04,0.0,5083.0
170,2015-09-07,0.0,5454.0
171,2015-09-08,0.0,5528.0
172,2015-09-09,0.0,5443.0
173,2015-09-10,0.0,5428.0
174,2015-09-11,4.0,5516.0
175,2015-09-14,0.0,5756.0
176,2015-09-15,0.0,5583.0
177,2015-09-16,0.0,5425.0
178,2015-09-17,0.0,5287.0
179,2015-09-18,0.0,5155.0
180,2015-09-21,0.0,4982.0
