,date,snow,price
0,2015-01-04,0.1,4807
1,2015-01-05,0.3,4717
2,2015-01-06,0,4667
3,2015-01-07,0,4623
4,2015-01-08,0,4504
5,2015-01-11,0,4399
6,2015-01-12,0,4449
7,2015-01-13,0,4608
8,2015-01-14,0,4809
9,2015-01-15,0,5075
10,2015-01-18,2.8,5658
11,2015-01-19,0,5908
12,2015-01-20,0,6112
13,2015-01-21,0,6250
14,2015-01-22,0,6413
15,2015-01-25,0,6825
16,2015-01-26,0,6859
17,2015-01-27,0,6902
18,2015-01-28,0,7070
19,2015-01-29,0,7291
20,2015-02-01,0,7823
21,2015-02-02,0,7957
22,2015-02-03,0,8092
23,2015-02-04,0,8244
24,2015-02-05,0,8481
25,2015-02-08,0,8481
26,2015-02-09,0,8461
27,2015-02-10,0,8234
28,2015-02-15,0,7272
29,2015-02-16,0,7199
30,2015-02-17,0,7190
31,2015-02-18,0,7307
32,2015-02-19,0,7300
33,2015-02-22,0,7084
34,2015-02-23,0,6930
35,2015-02-24,0,6916
36,2015-02-25,0,6977
37,2015-02-26,0,6889
38,2015-03-02,0,7027
39,2015-03-03,0,6952
40,2015-03-04,0,6856
41,2015-03-05,0,6632
42,2015-03-08,0,6098
43,2015-03-09,0,5909
44,2015-03-10,0,5720
45,2015-03-11,0,5686
46,2015-03-12,0,5676
47,2015-03-15,0,5671
48,2015-03-16,0,5748
49,2015-03-17,0,5748
50,2015-03-18,0,5665
51,2015-03-19,0,5611
52,2015-03-22,0,5436
53,2015-03-23,0,5405
54,2015-03-24,0,5455
55,2015-03-25,0,5496
56,2015-03-26,0,5448
57,2015-03-29,0,5192
58,2015-03-30,0,5114
59,2015-03-31,0,5065
60,2015-04-01,0,4987
61,2015-04-02,0,4916
62,2015-04-05,0,4725
63,2015-04-06,0,4687
64,2015-04-07,0,4626
65,2015-04-08,0,4617
66,2015-04-09,0,4608
67,2015-04-12,0,4613
68,2015-04-13,0,4598
69,2015-04-14,0,4545
70,2015-04-15,0,4482
71,2015-04-16,0,4401
72,2015-04-19,0,4206
73,2015-04-20,0,4166
74,2015-04-21,0,4143
75,2015-04-22,0,4147
76,2015-04-23,0,4172
77,2015-04-26,0,4208
78,2015-04-27,0,4247
79,2015-04-28,0,4303
80,2015-04-29,0,4350
81,2015-04-30,0,4435
82,2015-05-03,0,4709
83,2015-05-04,0,4753
84,2015-05-06,0,4694
85,2015-05-07,0,4676
86,2015-05-10,0,4720
87,2015-05-11,0,4639
88,2015-05-12,0,4519
89,2015-05-13,0,4420
90,2015-05-14,0,4348
91,2015-05-17,0,4127
92,2015-05-18,0,4100
93,2015-05-20,0,4124
94,2015-05-21,0,4121
95,2015-05-24,0,4109
96,2015-05-25,0,4122
97,2015-05-26,0,4137
98,2015-05-27,0,4162
99,2015-05-28,0,4172
100,2015-05-31,0,4030
101,2015-06-01,0,4039
102,2015-06-02,0,4055
103,2015-06-03,0,4095
104,2015-06-04,0,4152
105,2015-06-07,0,4216
106,2015-06-08,0,4163
107,2015-06-09,0,4056
108,2015-06-10,0,3961
109,2015-06-11,0,3940
110,2015-06-14,0,3810
111,2015-06-15,0,3722
112,2015-06-16,0,3692
113,2015-06-17,0,3698
114,2015-06-18,0,3728
115,2015-06-21,0,3726
116,2015-06-22,0,3726
117,2015-06-23,0,3778
118,2015-06-24,0,3796
119,2015-06-25,0,3754
120,2015-06-28,0,3864
121,2015-06-29,0,3920
122,2015-06-30,0,3996
123,2015-07-01,0,3282
124,2015-07-02,0,3333
125,2015-07-03,0,3367
126,2015-07-06,0,3473
127,2015-07-07,0,3465
128,2015-07-08,0,3483
129,2015-07-09,0,3493
130,2015-07-10,0,3557
131,2015-07-13,0,3689
132,2015-07-14,0,3680
133,2015-07-15,0,3724
134,2015-07-16,0,3840
135,2015-07-17,0,3866
136,2015-07-20,0,3953
137,2015-07-21,0,3918
138,2015-07-22,0,3837
139,2015-07-23,0,3752
140,2015-07-24,0,3734
141,2015-07-27,0,3803
142,2015-07-28,0,3792
143,2015-07-29,0,3851
144,2015-07-30,0,3839
145,2015-07-31,0,3802
146,2015-08-03,0,3891
147,2015-08-04,0,3968
148,2015-08-05,0,3947
149,2015-08-06,0,3974
150,2015-08-07,0,3857
151,2015-08-10,0,3713
152,2015-08-11,0,3701
153,2015-08-12,0,3620
154,2015-08-13,0,3566
155,2015-08-17,0,3553
156,2015-08-18,0,3541
157,2015-08-19,0,3608
158,2015-08-20,0,3607
159,2015-08-21,0,3556
160,2015-08-24,0,3681
161,2015-08-25,0,3833
162,2015-08-26,0,4028
163,2015-08-27,0,4302
164,2015-08-28,0,4493
165,2015-08-31,0,4689
166,2015-09-01,0,4668
167,2015-09-02,0,4779
168,2015-09-03,0,4990
169,2015-09-04,0,5083
170,2015-09-07,0,5454
171,2015-09-08,0,5528
172,2015-09-09,0,5443
173,2015-09-10,0,5428
174,2015-09-11,0,5516
175,2015-09-14,0,5756
176,2015-09-15,0,5583
177,2015-09-16,0,5425
178,2015-09-17,0,5287
179,2015-09-18,0,5155
180,2015-09-21,0,4982
181,2015-09-22,0,4933
182,2015-09-23,0,4893
183,2015-09-24,0,4771
184,2015-09-25,0,4585
185,2015-09-30,0,4053
186,2015-10-01,0,3940
187,2015-10-02,0,3818
188,2015-10-05,0,3736
189,2015-10-06,0,3645
190,2015-10-07,0,3736
191,2015-10-08,0,3650
192,2015-10-12,0,3722
193,2015-10-13,0,3820
194,2015-10-14,0,3809
195,2015-10-15,0,3884
196,2015-10-16,0,4058
197,2015-10-19,0,4240
198,2015-10-20,0,4233
199,2015-10-21,0,4205
200,2015-10-22,0,4197
201,2015-10-23,0,4169
202,2015-10-26,0,4159
203,2015-10-27,0,4166
204,2015-10-28,0,4231
205,2015-10-29,0,4313
206,2015-10-30,0,4413
207,2015-11-02,0,4661
208,2015-11-03,0,4765
209,2015-11-04,0,4917
210,2015-11-05,0,5031
211,2015-11-06,0,5071
212,2015-11-09,0,5008
213,2015-11-10,0,5011
214,2015-11-11,0,4950
215,2015-11-12,0,4890
216,2015-11-13,0,4884
217,2015-11-16,0,4825
218,2015-11-17,0,4828
219,2015-11-18,0,4877
220,2015-11-19,0,4915
221,2015-11-20,0,4932
222,2015-11-23,0,5072
223,2015-11-24,0,5083
224,2015-11-25,0,5037
225,2015-11-26,3.5,4973
226,2015-11-27,0,4972
227,2015-11-30,0,5196
228,2015-12-01,0,5185
229,2015-12-02,0,5175
230,2015-12-03,7.5,5178
231,2015-12-07,0.6,5234
232,2015-12-08,0,5160
233,2015-12-09,0,5091
234,2015-12-10,0,4969
235,2015-12-11,0,4863
236,2015-12-14,0,4779
237,2015-12-15,0,4728
238,2015-12-16,2,4664
239,2015-12-17,0,4627
240,2015-12-18,0,4636
241,2015-12-21,0,4532
242,2015-12-22,0,4544
243,2015-12-23,0,4563
244,2015-12-24,0.1,4647
245,2015-12-28,0,4822
246,2015-12-29,0,4860
247,2015-12-30,0,5005
248,2015-12-31,0,5105
249,2016-01-04,0,5766
250,2016-01-05,0,5873
251,2016-01-06,0,6000
252,2016-01-07,0,6050
253,2016-01-08,0,5993
254,2016-01-11,0,6050
255,2016-01-12,0,6029
256,2016-01-13,0.8,6032
257,2016-01-14,0,5991
258,2016-01-15,0,5975
259,2016-01-18,5.3,5840
260,2016-01-19,1.4,5775
261,2016-01-20,0,5685
262,2016-01-21,0,5688
263,2016-01-22,1.5,5764
264,2016-01-25,0.4,6339
265,2016-01-26,0.1,6547
266,2016-01-27,0.5,6701
267,2016-01-28,0,7051
268,2016-01-29,0,7537
269,2016-02-01,0,7996
270,2016-02-02,0,8031
271,2016-02-03,0,8113
272,2016-02-04,0,7986
273,2016-02-05,0,7745
274,2016-02-11,0,7714
275,2016-02-12,0,7925
276,2016-02-15,0.2,8584
277,2016-02-16,1.1,8961
278,2016-02-17,0,9216
279,2016-02-18,0,9339
280,2016-02-19,0,9321
281,2016-02-22,0,9599
282,2016-02-23,0,9594
283,2016-02-24,0,9537
284,2016-02-25,2.8,9508
285,2016-02-26,5,9567
286,2016-02-29,1.5,10452
287,2016-03-02,0,9483
288,2016-03-03,0,9485
289,2016-03-04,0,9587
290,2016-03-07,0,9499
291,2016-03-08,0,9365
292,2016-03-09,0,9249
