,date,sun,price,date
0,2015-01-04,7.48,4807,2015-01-04
1,2015-01-05,7.04,4717,2015-01-05
2,2015-01-06,10.48,4667,2015-01-06
3,2015-01-07,9.97,4623,2015-01-07
4,2015-01-08,10.08,4504,2015-01-08
5,2015-01-11,9.57,4399,2015-01-11
6,2015-01-12,10.27,4449,2015-01-12
7,2015-01-13,8.18,4608,2015-01-13
8,2015-01-14,3.37,4809,2015-01-14
9,2015-01-15,6.62,5075,2015-01-15
10,2015-01-18,9.68,5658,2015-01-18
11,2015-01-19,5.19,5908,2015-01-19
12,2015-01-20,10.12,6112,2015-01-20
13,2015-01-21,3.51,6250,2015-01-21
14,2015-01-22,3.5,6413,2015-01-22
15,2015-01-25,3.04,6825,2015-01-25
16,2015-01-26,2.1,6859,2015-01-26
17,2015-01-27,11.16,6902,2015-01-27
18,2015-01-28,10.74,7070,2015-01-28
19,2015-01-29,4.54,7291,2015-01-29
20,2015-02-01,12.59,7823,2015-02-01
21,2015-02-02,10.5,7957,2015-02-02
22,2015-02-03,8.87,8092,2015-02-03
23,2015-02-04,7.58,8244,2015-02-04
24,2015-02-05,10.53,8481,2015-02-05
25,2015-02-08,12.47,8481,2015-02-08
26,2015-02-09,12.28,8461,2015-02-09
27,2015-02-10,10.75,8234,2015-02-10
28,2015-02-15,6.89,7272,2015-02-15
29,2015-02-16,1.3,7199,2015-02-16
30,2015-02-17,6.72,7190,2015-02-17
31,2015-02-18,3.63,7307,2015-02-18
32,2015-02-19,13.18,7300,2015-02-19
33,2015-02-22,10.06,7084,2015-02-22
34,2015-02-23,11.89,6930,2015-02-23
35,2015-02-24,13.83,6916,2015-02-24
36,2015-02-25,11,6977,2015-02-25
37,2015-02-26,14.37,6889,2015-02-26
38,2015-03-02,16.81,7027,2015-03-02
39,2015-03-03,6.8,6952,2015-03-03
40,2015-03-04,18.07,6856,2015-03-04
41,2015-03-05,15.81,6632,2015-03-05
42,2015-03-08,15.75,6098,2015-03-08
43,2015-03-09,16.52,5909,2015-03-09
44,2015-03-10,19.34,5720,2015-03-10
45,2015-03-11,13.97,5686,2015-03-11
46,2015-03-12,18.59,5676,2015-03-12
47,2015-03-15,16.79,5671,2015-03-15
48,2015-03-16,16.37,5748,2015-03-16
49,2015-03-17,11.93,5748,2015-03-17
50,2015-03-18,1.85,5665,2015-03-18
51,2015-03-19,18.94,5611,2015-03-19
52,2015-03-22,18.93,5436,2015-03-22
53,2015-03-23,20.82,5405,2015-03-23
54,2015-03-24,20.64,5455,2015-03-24
55,2015-03-25,21.15,5496,2015-03-25
56,2015-03-26,20.88,5448,2015-03-26
57,2015-03-29,15.05,5192,2015-03-29
58,2015-03-30,19.42,5114,2015-03-30
59,2015-03-31,2.54,5065,2015-03-31
60,2015-04-01,4.02,4987,2015-04-01
61,2015-04-02,17.08,4916,2015-04-02
62,2015-04-05,3.3,4725,2015-04-05
63,2015-04-06,4.66,4687,2015-04-06
64,2015-04-07,13.2,4626,2015-04-07
65,2015-04-08,14.66,4617,2015-04-08
66,2015-04-09,18.19,4608,2015-04-09
67,2015-04-12,10.5,4613,2015-04-12
68,2015-04-13,6.96,4598,2015-04-13
69,2015-04-14,7.55,4545,2015-04-14
70,2015-04-15,19.33,4482,2015-04-15
71,2015-04-16,10.07,4401,2015-04-16
72,2015-04-19,3.02,4206,2015-04-19
73,2015-04-20,5.09,4166,2015-04-20
74,2015-04-21,23.31,4143,2015-04-21
75,2015-04-22,19.42,4147,2015-04-22
76,2015-04-23,23.26,4172,2015-04-23
77,2015-04-26,23.54,4208,2015-04-26
78,2015-04-27,22.82,4247,2015-04-27
79,2015-04-28,13.64,4303,2015-04-28
80,2015-04-29,3.87,4350,2015-04-29
81,2015-04-30,20.57,4435,2015-04-30
82,2015-05-03,7.28,4709,2015-05-03
83,2015-05-04,24.49,4753,2015-05-04
84,2015-05-06,16.33,4694,2015-05-06
85,2015-05-07,22.36,4676,2015-05-07
86,2015-05-10,24.66,4720,2015-05-10
87,2015-05-11,14.23,4639,2015-05-11
88,2015-05-12,22.27,4519,2015-05-12
89,2015-05-13,25.25,4420,2015-05-13
90,2015-05-14,23.58,4348,2015-05-14
91,2015-05-17,24.88,4127,2015-05-17
92,2015-05-18,16.95,4100,2015-05-18
93,2015-05-20,20.2,4110,2015-05-20
94,2015-05-21,27.7,4121,2015-05-21
95,2015-05-24,27.5,4109,2015-05-24
96,2015-05-25,26.4,4122,2015-05-25
97,2015-05-26,27.43,4137,2015-05-26
98,2015-05-27,27.93,4162,2015-05-27
99,2015-05-28,24.73,4172,2015-05-28
100,2015-05-31,21.05,4030,2015-05-31
101,2015-06-01,23.69,4039,2015-06-01
102,2015-06-02,19.59,4055,2015-06-02
103,2015-06-03,26.47,4095,2015-06-03
104,2015-06-04,24.73,4152,2015-06-04
105,2015-06-07,25.28,4216,2015-06-07
106,2015-06-08,13.76,4163,2015-06-08
107,2015-06-09,22.08,4056,2015-06-09
108,2015-06-10,25.21,3961,2015-06-10
109,2015-06-11,9.49,3940,2015-06-11
110,2015-06-14,17.02,3810,2015-06-14
111,2015-06-15,18.45,3722,2015-06-15
112,2015-06-16,24.07,3692,2015-06-16
113,2015-06-17,12.39,3698,2015-06-17
114,2015-06-18,18.95,3728,2015-06-18
115,2015-06-21,21.16,3726,2015-06-21
116,2015-06-22,18.56,3726,2015-06-22
117,2015-06-23,24.23,3778,2015-06-23
118,2015-06-24,5.53,3796,2015-06-24
119,2015-06-25,9.88,3754,2015-06-25
120,2015-06-28,23.91,3864,2015-06-28
121,2015-06-29,25.18,3920,2015-06-29
122,2015-06-30,13.78,3996,2015-06-30
123,2015-07-01,20.41,3282,2015-07-01
124,2015-07-02,23,3333,2015-07-02
125,2015-07-03,23.45,3367,2015-07-03
126,2015-07-06,18.19,3473,2015-07-06
127,2015-07-07,5.52,3465,2015-07-07
128,2015-07-08,8.38,3483,2015-07-08
129,2015-07-09,9.13,3493,2015-07-09
130,2015-07-10,21.4,3557,2015-07-10
131,2015-07-13,5.5,3689,2015-07-13
132,2015-07-14,18.56,3680,2015-07-14
133,2015-07-15,15.07,3724,2015-07-15
134,2015-07-16,23.39,3840,2015-07-16
135,2015-07-17,19.43,3866,2015-07-17
136,2015-07-20,14.19,3953,2015-07-20
137,2015-07-21,11.5,3918,2015-07-21
138,2015-07-22,17.16,3837,2015-07-22
139,2015-07-23,8.87,3752,2015-07-23
140,2015-07-24,2.7,3734,2015-07-24
141,2015-07-27,9.16,3803,2015-07-27
142,2015-07-28,18.6,3792,2015-07-28
143,2015-07-29,7.93,3851,2015-07-29
144,2015-07-30,18.83,3839,2015-07-30
145,2015-07-31,23.03,3802,2015-07-31
146,2015-08-03,23.02,3891,2015-08-03
147,2015-08-04,22.72,3968,2015-08-04
148,2015-08-05,22.41,3947,2015-08-05
149,2015-08-06,21.31,3974,2015-08-06
150,2015-08-07,20.83,3857,2015-08-07
151,2015-08-10,11.22,3713,2015-08-10
152,2015-08-11,6.19,3701,2015-08-11
153,2015-08-12,20.19,3620,2015-08-12
154,2015-08-13,18,3566,2015-08-13
155,2015-08-17,22.74,3553,2015-08-17
156,2015-08-18,17.43,3541,2015-08-18
157,2015-08-19,12.31,3608,2015-08-19
158,2015-08-20,8.74,3607,2015-08-20
159,2015-08-21,12.82,3556,2015-08-21
160,2015-08-24,13.76,3681,2015-08-24
161,2015-08-25,3.32,3833,2015-08-25
162,2015-08-26,20.73,4028,2015-08-26
163,2015-08-27,14.75,4302,2015-08-27
164,2015-08-28,13.79,4493,2015-08-28
165,2015-08-31,20.15,4689,2015-08-31
166,2015-09-01,11.99,4668,2015-09-01
167,2015-09-02,11.5,4779,2015-09-02
168,2015-09-03,16,4990,2015-09-03
169,2015-09-04,16.78,5083,2015-09-04
170,2015-09-07,19.93,5454,2015-09-07
171,2015-09-08,22.42,5528,2015-09-08
172,2015-09-09,22.25,5443,2015-09-09
173,2015-09-10,20.87,5428,2015-09-10
174,2015-09-11,12.12,5516,2015-09-11
175,2015-09-14,17.83,5756,2015-09-14
176,2015-09-15,19.7,5583,2015-09-15
177,2015-09-16,13.01,5425,2015-09-16
178,2015-09-17,16.74,5287,2015-09-17
179,2015-09-18,18.87,5155,2015-09-18
180,2015-09-21,18.15,4982,2015-09-21
181,2015-09-22,19.58,4933,2015-09-22
182,2015-09-23,6.35,4893,2015-09-23
183,2015-09-24,9.14,4771,2015-09-24
184,2015-09-25,13.39,4585,2015-09-25
185,2015-09-30,10.44,4053,2015-09-30
186,2015-10-01,1.71,3940,2015-10-01
187,2015-10-02,18.07,3818,2015-10-02
188,2015-10-05,16.74,3736,2015-10-05
189,2015-10-06,16.16,3645,2015-10-06
190,2015-10-07,13.13,3736,2015-10-07
191,2015-10-08,14.17,3650,2015-10-08
192,2015-10-12,14.13,3722,2015-10-12
193,2015-10-13,16.07,3820,2015-10-13
194,2015-10-14,15.43,3809,2015-10-14
195,2015-10-15,12.79,3884,2015-10-15
196,2015-10-16,9.72,4058,2015-10-16
197,2015-10-19,12.31,4240,2015-10-19
198,2015-10-20,9.41,4233,2015-10-20
199,2015-10-21,11.51,4205,2015-10-21
200,2015-10-22,12.43,4197,2015-10-22
201,2015-10-23,9.28,4169,2015-10-23
202,2015-10-26,12.44,4159,2015-10-26
203,2015-10-27,5.29,4166,2015-10-27
204,2015-10-28,13.18,4231,2015-10-28
205,2015-10-29,13.26,4313,2015-10-29
206,2015-10-30,13.67,4413,2015-10-30
207,2015-11-02,11.92,4661,2015-11-02
208,2015-11-03,11.83,4765,2015-11-03
209,2015-11-04,12.44,4917,2015-11-04
210,2015-11-05,9.87,5031,2015-11-05
211,2015-11-06,8.93,5071,2015-11-06
212,2015-11-09,3.14,5008,2015-11-09
213,2015-11-10,6.41,5011,2015-11-10
214,2015-11-11,8.78,4950,2015-11-11
215,2015-11-12,9.05,4890,2015-11-12
216,2015-11-13,1.41,4884,2015-11-13
217,2015-11-16,3.45,4825,2015-11-16
218,2015-11-17,3.66,4828,2015-11-17
219,2015-11-18,1.26,4877,2015-11-18
220,2015-11-19,2.06,4915,2015-11-19
221,2015-11-20,5.06,4932,2015-11-20
222,2015-11-23,1.36,5072,2015-11-23
223,2015-11-24,3.97,5083,2015-11-24
224,2015-11-25,1.55,5037,2015-11-25
225,2015-11-26,4.62,4973,2015-11-26
226,2015-11-27,2.56,4972,2015-11-27
227,2015-11-30,6.82,5196,2015-11-30
228,2015-12-01,9.87,5185,2015-12-01
229,2015-12-02,0.97,5175,2015-12-02
230,2015-12-03,5.09,5178,2015-12-03
