date,price,
2015-01-04,"5,967",
2015-01-05,"5,967",
2015-01-06,"5,967",
2015-01-07,"5,967",
2015-01-08,"5,967",
2015-01-11,"5,967",
2015-01-12,"6,067",
2015-01-13,"6,067",
2015-01-14,"6,067",
2015-01-15,"6,067",
2015-01-18,"6,067",
2015-01-19,"6,067",
2015-01-20,"6,067",
2015-01-21,"6,067",
2015-01-22,"6,067",
2015-01-25,"6,067",
2015-01-26,"6,067",
2015-01-27,"6,067",
2015-01-28,"6,067",
2015-01-29,"6,067",
2015-02-01,"6,067",
2015-02-02,"6,067",
2015-02-03,"6,067",
2015-02-04,"6,133",
2015-02-05,"6,133",
2015-02-08,"6,133",
2015-02-09,"6,133",
2015-02-10,"6,133",
2015-02-15,"6,133",
2015-02-16,"6,133",
2015-02-17,"6,133",
2015-02-18,"6,133",
2015-02-19,"6,133",
2015-02-22,"6,133",
2015-02-23,"6,133",
2015-02-24,"6,133",
2015-02-25,"6,133",
2015-02-26,"6,133",
2015-03-02,"6,133",
2015-03-03,"6,133",
2015-03-04,"6,400",
2015-03-05,"6,400",
2015-03-08,"6,400",
2015-03-09,"6,400",
2015-03-10,"6,400",
2015-03-11,"6,400",
2015-03-12,"6,400",
2015-03-15,"6,400",
2015-03-16,"6,400",
2015-03-17,"6,233",
2015-03-18,"6,233",
2015-03-19,"6,133",
2015-03-22,"6,067",
2015-03-23,"6,067",
2015-03-24,"6,067",
2015-03-25,"6,067",
2015-03-26,"6,000",
2015-03-29,"6,000",
2015-03-30,"6,000",
2015-03-31,"6,000",
2015-04-01,"6,000",
2015-04-02,"6,000",
2015-04-05,"6,000",
2015-04-06,"6,000",
2015-04-07,"6,000",
2015-04-08,"6,000",
2015-04-09,"6,000",
2015-04-12,"6,000",
2015-04-13,"6,000",
2015-04-14,"6,000",
2015-04-15,"6,000",
2015-04-16,"6,000",
2015-04-19,"6,000",
2015-04-20,"6,267",
2015-04-21,"6,100",
2015-04-22,"6,000",
2015-04-23,"6,000",
2015-04-26,"6,000",
2015-04-27,"6,000",
2015-04-28,"6,000",
2015-04-29,"6,000",
2015-04-30,"5,900",
2015-05-03,"5,900",
2015-05-04,"5,900",
2015-05-06,"5,900",
2015-05-07,"5,833",
2015-05-10,"5,833",
2015-05-11,"5,833",
2015-05-12,"5,833",
2015-05-13,"5,833",
2015-05-14,"5,833",
2015-05-17,"5,750",
2015-05-18,"5,750",
2015-05-20,"5,750",
2015-05-21,"5,833",
2015-05-24,"5,833",
2015-05-25,"5,833",
2015-05-26,"5,833",
2015-05-27,"5,833",
2015-05-28,"5,833",
2015-05-31,"5,833",
2015-06-01,"5,833",
2015-06-02,"5,833",
2015-06-03,"5,833",
2015-06-04,"5,833",
2015-06-07,"5,833",
2015-06-08,"5,833",
2015-06-09,"5,833",
2015-06-10,"5,833",
2015-06-11,"5,833",
2015-06-14,"5,833",
2015-06-15,"5,833",
2015-06-16,"5,833",
2015-06-17,"5,833",
2015-06-18,"5,833",
2015-06-21,"5,833",
2015-06-22,"5,833",
2015-06-23,"5,833",
2015-06-24,"5,833",
2015-06-25,"5,833",
2015-06-28,"5,833",
2015-06-29,"5,833",
2015-06-30,"5,833",
2015-07-01,6638,
2015-07-02,6638,
2015-07-03,6638,
2015-07-06,6638,
2015-07-07,6638,
2015-07-08,6638,
2015-07-09,6638,
2015-07-10,6638,
2015-07-13,6638,
2015-07-14,6638,
2015-07-15,6638,
2015-07-16,6638,
2015-07-17,6638,
2015-07-20,6638,
2015-07-21,6638,
2015-07-22,6638,
2015-07-23,6638,
2015-07-24,6638,
2015-07-27,6638,
2015-07-28,6638,
2015-07-29,6638,
2015-07-30,6638,
2015-07-31,6638,
2015-08-03,7175,
2015-08-04,7175,
2015-08-05,7175,
2015-08-06,7175,
2015-08-07,7175,
2015-08-10,7175,
2015-08-11,7175,
2015-08-12,7175,
2015-08-13,7175,
2015-08-17,7175,
2015-08-18,7175,
2015-08-19,7175,
2015-08-20,7175,
2015-08-21,7175,
2015-08-24,7175,
2015-08-25,7175,
2015-08-26,7175,
2015-08-27,7175,
2015-08-28,7175,
2015-08-31,7175,
2015-09-01,"7,333",
2015-09-02,"7,333",
2015-09-03,"7,333",
2015-09-04,"7,333",
2015-09-07,"7,333",
2015-09-08,"7,333",
2015-09-09,"7,333",
2015-09-10,"7,333",
2015-09-11,"7,333",
2015-09-14,"7,333",
2015-09-15,"7,333",
2015-09-16,"7,333",
2015-09-17,"7,333",
2015-09-18,"7,333",
2015-09-21,"7,333",
2015-09-22,"7,333",
2015-09-23,"7,500",
