date,sun,price
2015-01-04,8.16,5967.0
2015-01-05,7.3,5967.0
2015-01-06,10.72,5967.0
2015-01-07,11.34,5967.0
2015-01-08,11.84,5967.0
2015-01-11,10.38,5967.0
2015-01-12,11.12,6067.0
2015-01-13,10.8,6067.0
2015-01-14,3.22,6067.0
2015-01-15,6.63,6067.0
2015-01-18,11.9,6067.0
2015-01-19,9.76,6067.0
2015-01-20,10.71,6067.0
2015-01-21,3.89,6067.0
2015-01-22,3.6,6067.0
2015-01-25,3.93,6067.0
2015-01-26,3.46,6067.0
2015-01-27,11.47,6067.0
2015-01-28,9.45,6067.0
2015-01-29,4.52,6067.0
2015-02-01,14.01,6067.0
2015-02-02,11.77,6067.0
2015-02-03,10.06,6067.0
2015-02-04,13.15,6133.0
2015-02-05,10.09,6133.0
2015-02-08,14.83,6133.0
2015-02-09,14.66,6133.0
2015-02-10,11.32,6133.0
2015-02-15,8.76,6133.0
2015-02-16,1.67,6133.0
2015-02-17,9.01,6133.0
2015-02-18,8.97,6133.0
2015-02-19,12.08,6133.0
2015-02-22,11.85,6133.0
2015-02-23,13.67,6133.0
2015-02-24,16.15,6133.0
2015-02-25,11.73,6133.0
2015-02-26,13.28,6133.0
2015-03-02,18.2,6133.0
2015-03-03,6.63,6133.0
2015-03-04,19.19,6400.0
2015-03-05,18.08,6400.0
2015-03-08,17.23,6400.0
2015-03-09,16.37,6400.0
2015-03-10,20.26,6400.0
2015-03-11,15.55,6400.0
2015-03-12,20.02,6400.0
2015-03-15,18.03,6400.0
2015-03-16,18.29,6400.0
2015-03-17,15.25,6233.0
2015-03-18,1.74,6233.0
2015-03-19,19.15,6133.0
2015-03-22,20.71,6067.0
2015-03-23,22.18,6067.0
2015-03-24,21.8,6067.0
2015-03-25,21.99,6067.0
2015-03-26,22.2,6000.0
2015-03-29,19.23,6000.0
2015-03-30,20.78,6000.0
2015-03-31,4.05,6000.0
2015-04-01,3.05,6000.0
2015-04-02,5.52,6000.0
2015-04-05,4.77,6000.0
2015-04-06,5.3,6000.0
2015-04-07,5.97,6000.0
2015-04-08,8.52,6000.0
2015-04-09,21.39,6000.0
2015-04-12,12.83,6000.0
2015-04-13,5.36,6000.0
2015-04-14,14.02,6000.0
2015-04-15,18.7,6000.0
2015-04-16,14.64,6000.0
2015-04-19,3.08,6000.0
2015-04-20,3.99,6267.0
2015-04-21,22.45,6100.0
2015-04-22,20.14,6000.0
2015-04-23,23.77,6000.0
2015-04-26,25.47,6000.0
2015-04-27,24.12,6000.0
2015-04-28,18.7,6000.0
2015-04-29,5.24,6000.0
2015-04-30,16.68,5900.0
2015-05-03,6.06,5900.0
2015-05-04,25.32,5900.0
2015-05-06,18.14,5900.0
2015-05-07,24.11,5833.0
2015-05-10,25.72,5833.0
2015-05-11,16.89,5833.0
2015-05-12,21.04,5833.0
2015-05-13,26.78,5833.0
2015-05-14,24.97,5833.0
2015-05-17,26.59,5750.0
2015-05-18,12.16,5750.0
2015-05-20,28.51,5750.0
2015-05-21,28.54,5833.0
2015-05-24,28.8,5833.0
2015-05-25,28.55,5833.0
2015-05-26,28.84,5833.0
2015-05-27,29.65,5833.0
2015-05-28,24.87,5833.0
2015-05-31,25.45,5833.0
2015-06-01,24.58,5833.0
2015-06-02,19.26,5833.0
2015-06-03,26.36,5833.0
2015-06-04,28.0,5833.0
2015-06-07,27.12,5833.0
2015-06-08,13.6,5833.0
2015-06-09,25.64,5833.0
2015-06-10,26.08,5833.0
2015-06-11,8.81,5833.0
2015-06-14,21.26,5833.0
2015-06-15,21.37,5833.0
2015-06-16,21.4,5833.0
2015-06-17,22.17,5833.0
2015-06-18,19.52,5833.0
2015-06-21,22.9,5833.0
2015-06-22,24.04,5833.0
2015-06-23,21.89,5833.0
2015-06-24,18.83,5833.0
2015-06-25,12.18,5833.0
2015-06-28,16.51,5833.0
2015-06-29,25.94,5833.0
2015-06-30,9.31,5833.0
2015-07-01,22.74,6638.0
2015-07-02,26.35,6638.0
2015-07-03,24.01,6638.0
2015-07-06,22.94,6638.0
2015-07-07,6.22,6638.0
2015-07-08,8.08,6638.0
2015-07-09,8.72,6638.0
2015-07-10,19.02,6638.0
2015-07-13,9.33,6638.0
2015-07-14,24.57,6638.0
2015-07-15,17.91,6638.0
2015-07-16,26.02,6638.0
2015-07-17,14.83,6638.0
2015-07-20,9.77,6638.0
2015-07-21,13.37,6638.0
2015-07-22,17.51,6638.0
2015-07-23,11.06,6638.0
2015-07-24,8.96,6638.0
2015-07-27,14.28,6638.0
2015-07-28,24.09,6638.0
2015-07-29,8.47,6638.0
2015-07-30,23.61,6638.0
2015-07-31,25.75,6638.0
2015-08-03,23.13,7175.0
2015-08-04,25.82,7175.0
2015-08-05,25.94,7175.0
2015-08-06,25.85,7175.0
2015-08-07,25.5,7175.0
2015-08-10,18.74,7175.0
2015-08-11,9.09,7175.0
2015-08-12,8.99,7175.0
2015-08-13,20.89,7175.0
2015-08-17,17.49,7175.0
2015-08-18,19.92,7175.0
2015-08-19,12.96,7175.0
2015-08-20,8.5,7175.0
2015-08-21,13.0,7175.0
2015-08-24,9.68,7175.0
2015-08-25,2.41,7175.0
2015-08-26,15.25,7175.0
2015-08-27,18.08,7175.0
2015-08-28,19.54,7175.0
2015-08-31,20.67,7175.0
2015-09-01,12.75,7333.0
2015-09-02,9.84,7333.0
2015-09-03,19.61,7333.0
2015-09-04,20.73,7333.0
2015-09-07,21.55,7333.0
2015-09-08,23.71,7333.0
2015-09-09,23.5,7333.0
2015-09-10,22.63,7333.0
2015-09-11,17.78,7333.0
2015-09-14,20.07,7333.0
2015-09-15,21.64,7333.0
2015-09-16,17.54,7333.0
2015-09-17,6.5,7333.0
2015-09-18,20.9,7333.0
2015-09-21,18.75,7333.0
2015-09-22,20.52,7333.0
2015-09-23,7.5,7500.0
2015-09-24,7.42,7500.0
2015-09-25,13.56,7500.0
2015-09-30,10.7,7500.0
2015-10-01,2.3,7500.0
2015-10-02,20.03,7500.0
2015-10-05,18.33,7500.0
2015-10-06,17.82,8000.0
2015-10-07,15.76,8167.0
2015-10-08,16.09,8167.0
2015-10-12,16.45,8167.0
2015-10-13,17.25,8167.0
2015-10-14,16.74,8167.0
2015-10-15,15.12,8167.0
2015-10-16,15.55,8167.0
2015-10-19,12.55,8167.0
2015-10-20,12.0,8167.0
2015-10-21,12.11,8333.0
2015-10-22,9.93,8333.0
2015-10-23,11.18,8333.0
2015-10-26,11.21,8333.0
2015-10-27,5.64,8333.0
2015-10-28,15.0,8333.0
2015-10-29,14.01,8333.0
2015-10-30,15.27,8333.0
2015-11-02,12.58,8333.0
2015-11-03,12.81,8333.0
2015-11-04,13.2,8333.0
2015-11-05,11.0,8267.0
2015-11-06,8.12,8267.0
2015-11-09,4.96,8167.0
2015-11-10,9.06,8167.0
2015-11-11,10.62,8167.0
2015-11-12,5.16,8167.0
2015-11-13,1.55,8233.0
2015-11-16,3.25,8233.0
2015-11-17,2.34,8233.0
2015-11-18,1.19,8233.0
2015-11-19,3.12,8233.0
2015-11-20,9.24,8233.0
2015-11-23,2.72,8233.0
2015-11-24,4.77,8233.0
2015-11-25,1.76,8400.0
2015-11-26,7.11,8500.0
2015-11-27,8.43,8500.0
2015-11-30,9.99,8500.0
2015-12-01,8.92,8500.0
2015-12-02,1.34,8500.0
2015-12-03,6.92,8500.0
2015-12-07,7.6,8500.0
2015-12-08,9.1,8500.0
2015-12-09,6.35,8500.0
2015-12-10,1.94,8500.0
2015-12-11,3.57,8500.0
2015-12-14,2.31,8500.0
2015-12-15,5.18,8500.0
2015-12-16,9.71,8500.0
2015-12-17,10.66,8500.0
2015-12-18,10.25,8500.0
2015-12-21,2.85,8500.0
2015-12-22,4.21,8500.0
2015-12-23,1.2,8500.0
2015-12-24,4.62,8500.0
2015-12-28,11.0,8500.0
2015-12-29,9.8,8500.0
2015-12-30,10.08,8500.0
2015-12-31,7.49,8500.0
2016-01-04,9.05,8500.0
2016-01-05,6.23,8500.0
2016-01-06,9.55,8600.0
2016-01-07,10.89,8600.0
2016-01-08,11.21,8600.0
2016-01-11,10.47,8600.0
2016-01-12,11.33,8600.0
2016-01-13,9.24,8600.0
2016-01-14,11.49,8600.0
2016-01-15,9.38,8600.0
2016-01-18,9.07,8600.0
2016-01-19,12.62,8600.0
2016-01-20,9.42,8600.0
2016-01-21,7.04,8600.0
2016-01-22,10.66,8600.0
2016-01-25,13.04,8533.0
2016-01-26,11.63,8533.0
2016-01-27,10.83,8533.0
2016-01-28,3.46,8533.0
2016-01-29,2.03,8533.0
2016-02-01,13.21,8533.0
2016-02-02,13.58,8533.0
2016-02-03,13.76,8533.0
2016-02-04,11.05,8533.0
2016-02-05,13.5,8533.0
2016-02-11,10.69,8533.0
2016-02-12,1.33,8533.0
2016-02-15,16.2,8533.0
2016-02-16,10.92,8533.0
2016-02-17,16.06,8633.0
2016-02-18,10.33,8633.0
2016-02-19,6.41,8633.0
2016-02-22,11.14,8633.0
2016-02-23,13.13,8633.0
2016-02-24,13.27,8633.0
2016-02-25,16.5,8633.0
2016-02-26,12.12,8567.0
2016-02-29,11.68,8567.0
2016-03-02,17.42,8567.0
2016-03-03,17.77,8567.0
2016-03-04,8.16,8567.0
2016-03-07,11.56,8567.0
2016-03-08,4.98,8567.0
2016-03-09,16.15,8567.0
2016-03-10,18.95,8567.0
2016-03-11,20.09,8567.0
2016-03-14,18.58,8567.0
2016-03-15,20.1,8567.0
2016-03-16,16.86,8567.0
2016-03-17,18.58,8567.0
2016-03-18,3.4,8567.0
2016-03-21,20.29,8567.0
2016-03-22,18.71,8567.0
2016-03-23,15.4,8567.0
2016-03-24,14.29,8567.0
2016-03-25,11.99,8567.0
2016-03-28,21.34,8567.0
2016-03-29,17.39,8567.0
2016-03-30,21.55,8567.0
2016-03-31,15.07,8567.0
2016-04-01,22.59,8567.0
2016-04-04,10.5,8567.0
2016-04-05,23.24,8567.0
2016-04-06,15.63,8567.0
2016-04-07,11.19,8567.0
2016-04-08,23.01,8567.0
2016-04-11,17.24,8567.0
2016-04-12,19.49,8667.0
2016-04-14,16.65,8667.0
2016-04-15,24.35,8667.0
2016-04-18,22.09,8667.0
2016-04-19,24.48,8667.0
2016-04-20,13.66,8667.0
2016-04-21,6.18,8667.0
2016-04-22,22.67,8667.0
2016-04-25,25.01,8667.0
2016-04-26,22.69,8667.0
2016-04-27,3.72,8833.0
2016-04-28,18.32,8833.0
2016-04-29,24.42,8833.0
2016-05-02,22.66,8833.0
2016-05-03,6.28,8833.0
2016-05-04,27.69,8833.0
2016-05-09,15.21,8833.0
2016-05-10,3.31,8833.0
2016-05-11,23.81,8833.0
2016-05-12,25.43,8833.0
2016-05-13,14.14,8833.0
2016-05-16,23.09,8833.0
2016-05-17,28.43,8833.0
2016-05-18,28.65,8833.0
2016-05-19,28.83,8833.0
2016-05-20,26.9,8833.0
2016-05-23,26.34,8833.0
2016-05-24,4.5,8833.0
2016-05-25,27.15,8833.0
2016-05-26,21.52,8833.0
2016-05-27,23.47,8833.0
2016-05-30,28.11,8833.0
2016-05-31,23.42,8833.0
2016-06-01,27.02,10500.0
2016-06-02,29.15,10500.0
2016-06-03,26.92,10500.0
2016-06-07,21.16,10500.0
2016-06-08,11.66,10500.0
2016-06-09,21.69,10500.0
2016-06-10,27.26,10500.0
2016-06-13,22.38,10500.0
2016-06-14,17.7,10500.0
2016-06-15,7.78,10500.0
2016-06-16,22.59,10500.0
2016-06-17,26.66,10500.0
2016-06-20,20.28,10500.0
2016-06-21,20.2,10500.0
2016-06-22,17.78,10500.0
2016-06-23,26.02,10500.0
2016-06-24,7.12,10500.0
2016-06-27,17.95,10500.0
2016-06-28,16.83,10500.0
2016-06-29,18.16,10500.0
2016-06-30,21.38,10500.0
2016-07-01,9.02,9513.0
2016-07-04,2.09,9513.0
2016-07-05,18.53,9513.0
2016-07-06,6.67,9513.0
2016-07-07,21.04,9513.0
2016-07-08,26.23,9513.0
2016-07-11,18.04,9513.0
2016-07-12,16.77,9513.0
2016-07-13,18.27,9513.0
2016-07-14,14.15,9513.0
2016-07-15,20.69,9513.0
2016-07-18,21.63,9513.0
2016-07-19,24.85,9513.0
2016-07-20,11.0,9513.0
2016-07-21,20.27,9513.0
2016-07-22,26.2,9513.0
2016-07-25,9.62,9513.0
2016-07-26,24.47,9513.0
2016-07-27,19.83,9513.0
2016-07-28,18.79,9513.0
2016-07-29,16.23,9513.0
2016-08-01,22.66,9275.0
2016-08-02,12.77,9275.0
2016-08-03,17.28,9275.0
2016-08-04,20.71,9275.0
2016-08-05,25.23,9275.0
2016-08-08,20.5,9275.0
2016-08-09,19.54,9275.0
2016-08-10,20.79,9275.0
2016-08-11,24.53,9275.0
2016-08-12,24.64,9275.0
2016-08-16,22.48,9275.0
2016-08-17,23.91,9275.0
2016-08-18,21.49,9275.0
2016-08-19,23.37,9275.0
2016-08-22,18.16,9275.0
2016-08-23,18.81,9275.0
2016-08-24,23.37,9275.0
2016-08-25,23.08,9275.0
2016-08-26,3.18,9275.0
2016-08-29,13.7,9275.0
2016-08-30,13.96,9275.0
2016-08-31,5.92,9275.0
2016-09-01,19.5,9100.0
2016-09-02,2.64,9100.0
2016-09-05,10.71,9067.0
2016-09-06,11.37,9067.0
2016-09-07,15.03,9067.0
2016-09-08,15.18,9067.0
2016-09-09,16.98,9067.0
2016-09-12,5.66,9067.0
2016-09-13,17.04,9067.0
2016-09-19,9.72,9067.0
2016-09-20,17.83,9067.0
2016-09-21,13.95,9067.0
2016-09-22,7.53,9067.0
2016-09-23,18.49,9067.0
2016-09-26,8.07,9067.0
2016-09-27,9.38,9067.0
2016-09-28,12.1,9067.0
2016-09-29,5.37,9067.0
2016-09-30,2.8,9100.0
2016-10-04,15.75,9100.0
2016-10-05,6.1,9100.0
2016-10-06,14.68,9100.0
2016-10-07,10.27,9100.0
2016-10-10,12.58,9100.0
2016-10-11,11.54,9100.0
2016-10-12,14.44,9100.0
2016-10-13,11.52,9100.0
2016-10-14,13.07,9167.0
2016-10-17,11.48,9167.0
2016-10-18,8.66,9267.0
2016-10-19,11.14,9267.0
2016-10-20,9.18,9267.0
2016-10-21,5.29,9267.0
2016-10-24,14.91,9267.0
2016-10-25,2.27,9267.0
2016-10-26,9.97,9267.0
2016-10-27,8.85,9267.0
2016-10-28,3.51,9267.0
2016-10-31,2.67,9267.0
2016-11-01,14.98,9267.0
2016-11-02,15.53,9267.0
2016-11-03,11.28,9267.0
2016-11-04,11.99,9267.0
2016-11-07,7.11,9267.0
2016-11-08,12.14,9267.0
2016-11-09,12.71,9267.0
2016-11-10,7.05,9267.0
2016-11-11,11.43,9267.0
2016-11-14,7.89,9267.0
2016-11-15,12.09,9267.0
2016-11-16,9.51,9267.0
2016-11-17,10.36,9267.0
2016-11-18,5.41,9267.0
2016-11-21,4.53,9267.0
2016-11-22,4.8,9267.0
2016-11-23,8.17,9267.0
2016-11-24,12.21,9267.0
2016-11-25,8.63,9267.0
2016-11-28,10.26,9267.0
2016-11-29,11.61,9267.0
2016-11-30,4.04,9267.0
2016-12-01,8.54,9267.0
2016-12-05,6.4,9267.0
2016-12-06,11.26,9267.0
2016-12-07,3.53,9267.0
2016-12-08,7.63,9267.0
2016-12-09,9.07,9267.0
2016-12-12,7.31,9267.0
2016-12-13,6.7,9267.0
2016-12-14,1.72,9267.0
2016-12-15,10.84,9267.0
2016-12-16,10.9,9267.0
2016-12-19,2.56,9267.0
2016-12-20,6.17,9267.0
2016-12-21,4.73,9267.0
2016-12-22,3.16,9267.0
2016-12-23,7.24,9267.0
2016-12-26,1.45,9267.0
2016-12-27,6.46,9267.0
2016-12-28,11.42,9267.0
2016-12-29,10.4,9267.0
2016-12-30,11.29,9267.0
2017-01-02,8.25,9267.0
2017-01-03,10.18,9267.0
2017-01-04,9.43,9267.0
2017-01-05,5.8,9267.0
2017-01-06,5.77,9267.0
2017-01-09,8.62,9267.0
2017-01-10,11.34,9267.0
2017-01-11,11.41,9267.0
2017-01-12,5.09,9267.0
2017-01-13,8.7,9267.0
2017-01-16,11.78,9267.0
2017-01-17,9.33,9267.0
2017-01-18,7.52,9267.0
2017-01-19,9.14,9267.0
2017-01-20,7.97,9267.0
2017-01-23,12.14,9267.0
2017-01-24,13.12,9267.0
2017-01-25,13.33,9267.0
2017-01-26,12.4,9267.0
2017-01-31,11.98,9267.0
2017-02-01,13.1,9267.0
2017-02-02,14.33,9267.0
2017-02-03,13.77,9267.0
2017-02-06,13.92,9267.0
2017-02-07,9.93,9267.0
2017-02-08,9.27,9267.0
2017-02-09,14.47,9267.0
2017-02-10,15.34,9267.0
2017-02-13,14.57,9267.0
2017-02-14,13.94,9267.0
2017-02-15,14.66,9267.0
2017-02-16,13.73,9267.0
2017-02-17,13.66,9267.0
2017-02-20,14.76,9267.0
2017-02-21,16.36,9267.0
2017-02-22,2.39,9267.0
2017-02-23,12.55,9267.0
2017-02-24,17.7,9267.0
2017-02-27,16.28,9267.0
2017-02-28,15.85,9267.0
2017-03-02,7.16,9167.0
2017-03-03,17.74,9167.0
2017-03-06,19.04,9167.0
2017-03-07,18.36,9167.0
2017-03-08,17.08,9167.0
2017-03-09,17.67,9167.0
2017-03-10,19.93,9167.0
2017-03-13,17.78,9167.0
2017-03-14,10.88,9167.0
2017-03-15,17.52,9167.0
2017-03-16,17.86,9167.0
2017-03-17,18.92,9167.0
2017-03-20,9.64,9167.0
2017-03-21,14.49,9167.0
2017-03-22,16.87,9167.0
2017-03-23,15.08,9167.0
2017-03-24,15.58,9167.0
2017-03-27,11.78,9167.0
2017-03-28,18.57,9167.0
2017-03-29,20.37,9000.0
2017-03-30,21.05,9000.0
2017-03-31,4.57,9000.0
2017-04-03,22.79,8833.0
2017-04-04,21.67,8833.0
2017-04-05,5.24,8833.0
2017-04-06,8.47,8833.0
2017-04-07,21.22,8667.0
2017-04-10,23.17,8367.0
2017-04-11,15.94,8100.0
2017-04-12,22.72,7467.0
2017-04-13,23.11,7333.0
2017-04-14,16.81,7333.0
2017-04-17,1.67,7333.0
2017-04-18,17.95,7333.0
2017-04-19,25.68,7333.0
2017-04-20,7.78,7333.0
2017-04-21,20.12,7333.0
2017-04-24,26.01,7333.0
2017-04-25,18.04,7333.0
2017-04-26,21.65,7333.0
2017-04-27,25.47,7333.0
2017-04-28,25.63,7000.0
2017-05-02,23.74,7000.0
2017-05-04,21.84,7000.0
2017-05-08,19.39,7000.0
2017-05-10,8.34,7000.0
2017-05-11,17.18,7000.0
2017-05-12,7.01,7000.0
