지점,지점명,일시,일 최심신적설(cm)
136,안동,2015-01-11,0.1
136,안동,2015-01-18,1
136,안동,2015-01-19,1.9
136,안동,2015-01-29,0.4
136,안동,2015-01-30,1.6
136,안동,2015-03-01,3.3
136,안동,2015-03-13,1.2
136,안동,2015-12-03,0.4
136,안동,2015-12-30,0.7
136,안동,2015-12-31,0.5
136,안동,2016-01-13,0
136,안동,2016-01-28,1.6
136,안동,2016-01-29,1.3
136,안동,2016-02-16,0
136,안동,2016-02-26,1.2
136,안동,2016-11-26,0.7
136,안동,2016-12-14,1.3
136,안동,2017-01-20,3
136,안동,2017-01-21,2.2
136,안동,2017-01-22,2
136,안동,2017-11-24,0.5
136,안동,2017-12-06,0.3
136,안동,2017-12-07,0.8
136,안동,2017-12-31,0.2
136,안동,2018-01-08,0
136,안동,2018-01-09,0.3
136,안동,2018-01-10,4.9
136,안동,2018-02-11,0.3
136,안동,2018-02-13,0.2
136,안동,2018-03-08,3.5
136,안동,2018-03-21,1.5
136,안동,2018-11-24,4.8
136,안동,2018-12-11,7.8
136,안동,2019-01-12,1.8
136,안동,2019-04-10,0.7
136,안동,2020-02-17,2
136,안동,2020-12-13,0.8
136,안동,2021-01-07,0.7
136,안동,2021-01-18,0.9
136,안동,2021-02-04,0.1
136,안동,2021-02-16,0.4
136,안동,2021-03-01,0.4
136,안동,2021-03-02,1.9
136,안동,2021-12-19,0.8
