date,gangsu,price
2015-01-02,0.8,445
2015-01-05,9.8,450
2015-01-06,5.1,450
2015-01-07,,450
2015-01-08,,450
2015-01-09,,450
2015-01-12,,450
2015-01-13,,450
2015-01-14,,450
2015-01-15,,430
2015-01-16,1.5,430
2015-01-19,0.8,430
2015-01-20,,430
2015-01-21,4.7,430
2015-01-22,,430
2015-01-23,,430
2015-01-26,1.9,430
2015-01-27,,440
2015-01-28,,440
2015-01-29,5.7,440
2015-01-30,0.9,440
2015-02-02,,440
2015-02-03,,450
2015-02-04,,450
2015-02-05,0,450
2015-02-06,,450
2015-02-09,,450
2015-02-10,,450
2015-02-11,,450
2015-02-12,,520
2015-02-13,,530
2015-02-16,1.8,530
2015-02-17,,530
2015-02-23,,500
2015-02-24,,500
2015-02-25,,510
2015-02-26,,510
2015-02-27,,500
2015-03-02,,490
2015-03-03,2.6,490
2015-03-04,,480
2015-03-05,,480
2015-03-06,,480
2015-03-09,0,480
2015-03-10,0.5,480
2015-03-11,0,480
2015-03-12,,480
2015-03-13,2.3,480
2015-03-16,,480
2015-03-17,,480
2015-03-18,23.1,480
2015-03-19,0.6,490
2015-03-20,,490
2015-03-23,,490
2015-03-24,,490
2015-03-25,,490
2015-03-26,,510
2015-03-27,,510
2015-03-30,,500
2015-03-31,1.3,500
2015-04-01,0,500
2015-04-02,0.6,500
2015-04-03,8.9,500
2015-04-06,4,500
2015-04-07,,500
2015-04-08,,520
2015-04-09,,540
2015-04-10,,530
2015-04-13,0.4,510
2015-04-14,11.4,520
2015-04-15,0.6,470
2015-04-16,1.8,470
2015-04-17,,470
2015-04-20,17.7,470
2015-04-21,,470
2015-04-22,,470
2015-04-23,,470
2015-04-24,,470
2015-04-27,,460
2015-04-28,9,460
2015-04-29,35.1,450
2015-04-30,0.1,450
2015-05-04,0,510
2015-05-06,,490
2015-05-07,,490
2015-05-08,,490
2015-05-11,4.6,500
2015-05-12,9,490
2015-05-13,,490
2015-05-14,,490
2015-05-15,1,490
2015-05-18,2.6,500
2015-05-19,,520
2015-05-20,,520
2015-05-21,,520
2015-05-22,,540
2015-05-26,,560
2015-05-27,,580
2015-05-28,,620
2015-05-29,,650
2015-06-01,,670
2015-06-02,,700
2015-06-03,,700
2015-06-04,,715
2015-06-05,2.3,710
2015-06-08,10,705
2015-06-09,,705
2015-06-10,,695
2015-06-11,,667
2015-06-12,,660
2015-06-15,,680
2015-06-16,,730
2015-06-17,,710
2015-06-18,,690
2015-06-19,0,690
2015-06-22,,680
2015-06-23,,610
2015-06-24,,610
2015-06-25,18.8,630
2015-06-26,13.6,650
2015-06-29,,700
2015-06-30,21.3,730
2015-07-01,0.4,800
2015-07-02,,830
2015-07-03,,830
2015-07-06,,830
2015-07-07,20.2,910
2015-07-08,16.7,970
2015-07-09,23.5,1010
2015-07-10,,1010
2015-07-13,0.1,1060
2015-07-14,3.5,1050
2015-07-15,0.2,990
2015-07-16,,950
2015-07-17,,910
2015-07-20,0,900
2015-07-21,0.5,900
2015-07-22,2.5,900
2015-07-23,10.6,870
2015-07-24,0.1,870
2015-07-27,8.4,820
2015-07-28,0.6,830
2015-07-29,,830
2015-07-30,,860
2015-07-31,,820
2015-08-03,,760
2015-08-04,,750
2015-08-05,,740
2015-08-06,,680
2015-08-07,,693
2015-08-10,,718
2015-08-11,16.1,713
2015-08-12,0.7,715
2015-08-13,,711
2015-08-17,,690
2015-08-18,,650
2015-08-19,,600
2015-08-20,8.1,600
2015-08-21,44.1,600
2015-08-24,,610
2015-08-25,12.9,630
2015-08-26,,710
2015-08-27,0,660
2015-08-28,,600
2015-08-31,,540
2015-09-01,,490
2015-09-02,17.8,500
2015-09-03,0.1,495
2015-09-04,,480
2015-09-07,,490
2015-09-08,,480
2015-09-09,,470
2015-09-10,,470
2015-09-11,,460
2015-09-14,,400
2015-09-15,,400
2015-09-16,,390
2015-09-17,,390
2015-09-18,,380
2015-09-21,,410
2015-09-22,,420
2015-09-23,17.4,470
2015-09-24,,510
2015-09-25,,510
2015-09-30,,500
2015-10-01,67.2,490
2015-10-02,,520
2015-10-05,,480
2015-10-06,,480
2015-10-07,,430
2015-10-08,,420
2015-10-12,4.4,420
2015-10-13,,430
2015-10-14,,430
2015-10-15,,425
2015-10-16,,425
2015-10-19,,415
2015-10-20,,400
2015-10-21,,395
2015-10-22,,395
2015-10-23,,385
2015-10-26,,410
2015-10-27,24.1,410
2015-10-28,,415
2015-10-29,,425
2015-10-30,,445
2015-11-02,,455
2015-11-03,,445
2015-11-04,,428
2015-11-05,,428
2015-11-06,2.9,428
2015-11-09,1.7,433
2015-11-10,,438
2015-11-11,,450
2015-11-12,,450
2015-11-13,14.2,460
2015-11-16,12.1,440
2015-11-17,0.3,440
2015-11-18,3.1,430
2015-11-19,0.3,435
2015-11-20,,445
2015-11-23,0.8,445
2015-11-24,,455
2015-11-25,6.3,500
