date,ondo,price
2015-01-02,-5.2,445
2015-01-05,2.5,450
2015-01-06,1.6,450
2015-01-07,-3.9,450
2015-01-08,-3.5,450
2015-01-09,-0.8,450
2015-01-12,-2.3,450
2015-01-13,0.2,450
2015-01-14,1.9,450
2015-01-15,0.8,430
2015-01-16,-0.8,430
2015-01-19,1.9,430
2015-01-20,-0.2,430
2015-01-21,1.7,430
2015-01-22,2.6,430
2015-01-23,0.9,430
2015-01-26,5.8,430
2015-01-27,-0.3,440
2015-01-28,-3.1,440
2015-01-29,-1.1,440
2015-01-30,-1.3,440
2015-02-02,-0.6,440
2015-02-03,-0.5,450
2015-02-04,-0.8,450
2015-02-05,-0.7,450
2015-02-06,1,450
2015-02-09,-5.2,450
2015-02-10,1.4,450
2015-02-11,3.2,450
2015-02-12,-0.1,520
2015-02-13,-2.7,530
2015-02-16,5.1,530
2015-02-17,3,530
2015-02-23,2.4,500
2015-02-24,2.5,500
2015-02-25,3.2,510
2015-02-26,2.4,510
2015-02-27,-1.2,500
2015-03-02,2.1,490
2015-03-03,2,490
2015-03-04,-1.1,480
2015-03-05,0.2,480
2015-03-06,3.2,480
2015-03-09,3.4,480
2015-03-10,-2.9,480
2015-03-11,1.2,480
2015-03-12,2.8,480
2015-03-13,2.2,480
2015-03-16,9.2,480
2015-03-17,11.6,480
2015-03-18,9.8,480
2015-03-19,13.5,490
2015-03-20,13.4,490
2015-03-23,3.2,490
2015-03-24,3,490
2015-03-25,4.7,490
2015-03-26,6.7,510
2015-03-27,7.2,510
2015-03-30,13.1,500
2015-03-31,11.8,500
2015-04-01,14.2,500
2015-04-02,14.4,500
2015-04-03,12.4,500
2015-04-06,10.5,500
2015-04-07,7.9,500
2015-04-08,9.1,520
2015-04-09,10.1,540
2015-04-10,10.4,530
2015-04-13,10.3,510
2015-04-14,7.8,520
2015-04-15,10.8,470
2015-04-16,9,470
2015-04-17,9.6,470
2015-04-20,12.7,470
2015-04-21,12.7,470
2015-04-22,12.4,470
2015-04-23,12.4,470
2015-04-24,13.7,470
2015-04-27,16.9,460
2015-04-28,15.2,460
2015-04-29,15.8,450
2015-04-30,18.6,450
2015-05-04,14.3,510
2015-05-06,14.1,490
2015-05-07,15.6,490
2015-05-08,15.8,490
2015-05-11,17,500
2015-05-12,15.3,490
2015-05-13,19,490
2015-05-14,20.9,490
2015-05-15,21,490
2015-05-18,13.8,500
2015-05-19,17.9,520
2015-05-20,15.4,520
