date,uga,price
2016-01-04,32.54,460
2016-01-05,31.66,470
2016-01-06,30.76,470
2016-01-07,27.96,470
2016-01-08,29.11,460
2016-01-11,28.07,460
2016-01-12,26.44,450
2016-01-13,26.49,450
2016-01-14,26.04,430
2016-01-15,26.22,430
2016-01-18,24.65,440
2016-01-19,24.72,450
2016-01-20,23.36,480
2016-01-21,22.83,500
2016-01-22,23.88,530
2016-01-25,26.1,680
2016-01-26,24.84,690
2016-01-27,26.11,680
2016-01-28,27.08,700
2016-01-29,28.37,880
2016-02-01,29.01,970
2016-02-02,28.08,980
2016-02-03,27.52,930
2016-02-04,29.51,890
2016-02-05,29.22,820
2016-02-11,26.08,670
2016-02-12,26.86,590
2016-02-15,29.22,580
2016-02-16,30.66,610
2016-02-17,28.31,600
2016-02-18,30.25,590
2016-02-19,30.07,590
2016-02-22,29.33,570
2016-02-23,29.69,550
2016-02-24,28.57,560
2016-02-25,29.46,580
2016-02-26,30.43,580
2016-03-02,31.95,710
2016-03-03,32.04,800
2016-03-04,32.17,790
2016-03-07,34.39,780
2016-03-08,35.56,770
2016-03-09,35.03,770
2016-03-10,36.25,750
2016-03-11,36.37,740
2016-03-14,35.69,720
2016-03-15,34.66,720
2016-03-16,34.8,760
2016-03-17,36.67,740
2016-03-18,37.42,740
2016-03-21,37.14,740
2016-03-22,37.43,750
2016-03-23,37.14,730
2016-03-24,36.04,730
2016-03-25,36.87,730
2016-03-28,36.31,740
2016-03-29,36.17,780
2016-03-30,35.45,810
2016-03-31,35.05,830
2016-04-01,36.22,840
2016-04-04,34.84,880
2016-04-05,33.83,960
2016-04-06,34.69,970
2016-04-07,36.48,1020
2016-04-08,36.71,1020
2016-04-11,37.79,1030
2016-04-12,38.67,1000
2016-04-14,39.66,990
2016-04-15,39.37,990
2016-04-18,37.73,990
2016-04-19,39.17,940
2016-04-20,39.03,930
2016-04-21,41.7,900
2016-04-22,41.01,870
2016-04-25,40.86,890
2016-04-26,40.83,930
2016-04-27,42.59,970
2016-04-28,43.22,1000
2016-04-29,44.26,1070
2016-05-02,43.355,1090
2016-05-03,43.03,1080
2016-05-04,42.05,1070
2016-05-09,42.84,1050
2016-05-10,41.23,1050
2016-05-11,42.18,1050
2016-05-12,44.65,1040
2016-05-13,44.39,990
2016-05-16,45.35,950
2016-05-17,45.68,920
2016-05-18,45.76,910
2016-05-19,44.75,850
2016-05-20,45.65,830
2016-05-23,44.87,730
2016-05-24,44.55,730
2016-05-25,45.27,730
2016-05-26,45.74,685
2016-05-27,45.31,660
2016-05-30,45.54,665
2016-05-31,45.9,640
2016-06-01,45.44,625
2016-06-02,46.17,600
2016-06-03,46.28,575
2016-06-07,46.82,575
2016-06-08,47.99,570
2016-06-09,48.98,550
2016-06-10,48.23,530
2016-06-13,47.06,520
2016-06-14,46.3,510
2016-06-15,46.09,510
2016-06-16,44.93,530
2016-06-17,44.48,550
2016-06-20,46.53,550
2016-06-21,46.4,560
2016-06-22,47.12,610
2016-06-23,46.48,700
2016-06-24,45.47,660
2016-06-27,45.11,620
2016-06-28,44.55,560
2016-06-29,45.73,550
2016-06-30,46.46,550
2016-07-01,45.19,570
2016-07-04,46.97,700
2016-07-05,45.01,720
2016-07-06,45.0,700
2016-07-07,44.99,710
2016-07-08,42.5,670
2016-07-11,41.97,570
2016-07-12,42.58,560
2016-07-13,43.41,570
2016-07-14,42.31,570
2016-07-15,42.59,580
2016-07-18,43.38,640
2016-07-19,42.21,590
2016-07-20,42.24,600
2016-07-21,42.73,610
2016-07-22,41.63,610
2016-07-25,41.38,610
2016-07-26,40.37,650
2016-07-27,40.59,630
2016-07-28,39.88,630
2016-07-29,38.64,610
2016-08-01,40.04,585
2016-08-02,38.85,595
2016-08-03,38.54,595
2016-08-04,39.99,600
2016-08-05,41.22,625
2016-08-08,41.59,625
2016-08-09,42.055,640
2016-08-10,41.34,635
2016-08-11,40.49,700
2016-08-12,42.89,670
2016-08-16,45.74,720
2016-08-17,45.85,780
2016-08-18,46.65,780
2016-08-19,47.26,810
2016-08-22,46.85,850
2016-08-23,45.38,860
2016-08-24,45.96,890
2016-08-25,45.59,950
2016-08-26,44.62,980
2016-08-29,45.82,1060
2016-08-30,46.16,1150
2016-08-31,44.79,1260
2016-09-01,42.98,1440
2016-09-02,41.71,1350
2016-09-05,44.28,1280
2016-09-06,43.4,1220
2016-09-07,43.67,1140
2016-09-08,44.83,1130
2016-09-09,45.45,1110
2016-09-12,43.745,1160
2016-09-13,43.69,1300
2016-09-19,42.43,1090
2016-09-20,41.99,1190
2016-09-21,43.08,1140
2016-09-22,43.58,1120
2016-09-23,43.39,1090
2016-09-26,42.15,1100
2016-09-27,43.13,1150
2016-09-28,42.37,1210
2016-09-29,44.65,1180
2016-09-30,45.11,1150
2016-10-04,47.83,1300
2016-10-05,48.83,1390
2016-10-06,48.77,1500
2016-10-07,50.07,1550
2016-10-10,48.9,1590
2016-10-11,50.01,1460
2016-10-12,50.03,1390
2016-10-13,49.07,1360
2016-10-14,49.88,1310
2016-10-17,49.12,1310
2016-10-18,49.23,1270
2016-10-19,49.67,1240
2016-10-20,49.66,1250
2016-10-21,48.82,1270
2016-10-24,49.48,1250
2016-10-25,49.2,1250
2016-10-26,47.91,1270
2016-10-27,48.16,1300
2016-10-28,48.4,1300
2016-10-31,47.44,1000
2016-11-01,45.42,900
2016-11-02,44.08,895
2016-11-03,43.52,860
2016-11-04,42.84,855
2016-11-07,42.69,855
2016-11-08,42.87,840
2016-11-09,42.57,860
2016-11-10,43.67,840
2016-11-11,43.7,840
2016-11-14,41.95,870
2016-11-15,41.97,880
2016-11-16,43.45,880
2016-11-17,43.47,900
2016-11-18,42.8,890
2016-11-21,44.47,920
2016-11-22,46.08,940
2016-11-23,46.07,930
2016-11-24,45.67,910
2016-11-25,45.97,910
2016-11-28,43.76,910
2016-11-29,44.65,910
2016-11-30,44.12,1000
2016-12-01,49.02,1050
2016-12-05,51.64,1140
2016-12-06,51.65,1110
2016-12-07,50.35,1170
2016-12-08,50.3,1170
2016-12-09,51.32,1200
2016-12-12,54.18,1210
2016-12-13,52.85,1230
2016-12-14,52.69,1270
2016-12-15,51.65,1375
2016-12-16,51.69,1390
2016-12-19,52.86,1365
2016-12-20,52.09,1375
2016-12-21,52.87,1435
2016-12-22,51.78,1420
2016-12-23,52.21,1450
2016-12-26,53.055,1340
2016-12-27,52.72,1290
2016-12-28,53.73,1255
2016-12-29,53.9,1255
2016-12-30,53.83,1200
