date,sun,price
2017-01-02,4.01,1190
2017-01-03,10.14,1250
2017-01-04,6.37,1260
2017-01-05,5.23,1260
2017-01-06,11.13,1190
2017-01-09,9.3,1130
2017-01-10,9.39,1130
2017-01-11,9.55,1070
2017-01-12,8.0,1000
2017-01-13,4.55,970
2017-01-16,13.18,970
2017-01-17,8.66,990
2017-01-18,8.02,996
2017-01-19,11.24,1040
2017-01-20,6.51,1040
2017-01-23,11.27,990
2017-01-24,13.72,990
2017-01-25,14.32,990
2017-01-26,12.81,990
2017-01-31,14.92,970
2017-02-01,12.38,1000
2017-02-02,15.72,1040
2017-02-03,12.99,1040
2017-02-06,13.14,1010
2017-02-07,12.84,1000
2017-02-08,7.85,1000
2017-02-09,11.12,980
2017-02-10,12.15,970
2017-02-13,12.12,980
2017-02-14,16.04,960
2017-02-15,15.63,960
2017-02-16,14.59,950
2017-02-17,10.68,870
2017-02-20,14.91,920
2017-02-21,17.41,860
2017-02-22,1.09,850
2017-02-23,12.69,840
2017-02-24,18.77,840
2017-02-27,18.28,940
2017-02-28,18.62,940
2017-03-02,13.83,940
2017-03-03,19.45,910
2017-03-06,20.9,890
2017-03-07,17.43,890
2017-03-08,13.81,880
2017-03-09,19.46,830
2017-03-10,21.03,830
2017-03-13,17.92,790
2017-03-14,21.13,830
2017-03-15,21.13,800
2017-03-16,18.29,810
2017-03-17,21.17,790
2017-03-20,5.72,790
2017-03-21,21.85,830
2017-03-22,18.0,800
2017-03-23,15.52,780
2017-03-24,16.49,810
2017-03-27,12.5,830
2017-03-28,18.23,850
2017-03-29,16.42,870
2017-03-30,23.26,850
2017-03-31,14.47,830
2017-04-03,25.09,770
2017-04-04,22.75,760
2017-04-05,2.62,750
2017-04-06,2.63,790
2017-04-07,22.78,800
2017-04-10,23.01,800
2017-04-11,18.69,790
2017-04-12,24.69,790
2017-04-13,23.12,790
2017-04-14,14.96,810
2017-04-17,3.12,790
2017-04-18,14.95,770
2017-04-19,26.56,800
2017-04-20,5.49,840
2017-04-21,21.44,810
2017-04-24,27.92,740
2017-04-25,17.02,780
2017-04-26,23.78,800
2017-04-27,26.42,810
2017-04-28,27.51,820
2017-05-02,21.74,810
