date,sun,price
2015-01-02,5.26,445
2015-01-05,7.96,450
2015-01-06,9.35,450
2015-01-07,11.32,450
2015-01-08,11.52,450
2015-01-09,6.26,450
2015-01-12,11.59,450
2015-01-13,9.21,450
2015-01-14,2.87,450
2015-01-15,7.15,430
2015-01-16,0.71,430
2015-01-19,7.17,430
2015-01-20,11.7,430
2015-01-21,2.03,430
2015-01-22,3.28,430
2015-01-23,6.92,430
2015-01-26,0.82,430
2015-01-27,8.93,440
2015-01-28,12.92,440
2015-01-29,3.63,440
2015-01-30,8.18,440
2015-02-02,13.2,440
2015-02-03,10.72,450
2015-02-04,6.37,450
2015-02-05,10.2,450
2015-02-06,14.13,450
2015-02-09,14.82,450
2015-02-10,11.21,450
2015-02-11,8.91,450
2015-02-12,14.48,520
2015-02-13,15.93,530
2015-02-16,1.02,530
2015-02-17,5.06,530
2015-02-23,14.95,500
2015-02-24,16.77,500
2015-02-25,7.02,510
2015-02-26,12.8,510
2015-02-27,16.37,500
2015-03-02,19.78,490
2015-03-03,7.41,490
2015-03-04,19.12,480
2015-03-05,17.31,480
2015-03-06,18.7,480
2015-03-09,16.84,480
2015-03-10,21.49,480
2015-03-11,16.12,480
2015-03-12,20.81,480
2015-03-13,2.29,480
2015-03-16,18.59,480
2015-03-17,14.51,480
2015-03-18,1.98,480
2015-03-19,20.24,490
2015-03-20,15.71,490
2015-03-23,23.28,490
2015-03-24,23.01,490
2015-03-25,23.47,490
2015-03-26,23.51,510
2015-03-27,17.28,510
2015-03-30,21.25,500
2015-03-31,1.98,500
2015-04-01,4.5,500
2015-04-02,16.87,500
2015-04-03,5.35,500
2015-04-06,4.89,500
2015-04-07,12.63,500
2015-04-08,14.83,520
2015-04-09,19.11,540
2015-04-10,23.2,530
2015-04-13,7.39,510
2015-04-14,14.52,520
2015-04-15,22.52,470
2015-04-16,7.81,470
2015-04-17,25.38,470
2015-04-20,2.63,470
2015-04-21,26.14,470
2015-04-22,21.81,470
2015-04-23,22.99,470
2015-04-24,21.91,470
2015-04-27,24.66,460
2015-04-28,12.23,460
2015-04-29,9.87,450
2015-04-30,17.91,450
2015-05-04,22.39,510
2015-05-06,18.69,490
2015-05-07,27.1,490
2015-05-08,16.92,490
2015-05-11,12.35,500
2015-05-12,23.01,490
2015-05-13,28.01,490
2015-05-14,23.86,490
2015-05-15,8.78,490
2015-05-18,11.5,500
2015-05-19,22.05,520
2015-05-20,29.58,520
2015-05-21,29.3,520
2015-05-22,24.86,540
2015-05-26,29.54,560
2015-05-27,29.29,580
2015-05-28,27.41,620
2015-05-29,27.06,650
2015-06-01,24.94,670
2015-06-02,11.29,700
2015-06-03,28.18,700
2015-06-04,25.26,715
2015-06-05,14.95,710
2015-06-08,8.52,705
2015-06-09,21.38,705
2015-06-10,24.07,695
2015-06-11,7.38,667
2015-06-12,27.59,660
2015-06-15,13.85,680
2015-06-16,18.62,730
2015-06-17,9.95,710
2015-06-18,24.38,690
2015-06-19,23.69,690
2015-06-22,19.17,680
2015-06-23,24.46,610
2015-06-24,14.39,610
2015-06-25,11.03,630
2015-06-26,4.92,650
2015-06-29,22.66,700
2015-06-30,6.16,730
2015-07-01,20.7,800
2015-07-02,27.64,830
2015-07-03,21.62,830
2015-07-06,18.52,830
2015-07-07,6.5,910
2015-07-08,11.62,970
2015-07-09,10.34,1010
2015-07-10,26,1010
2015-07-13,7.98,1060
2015-07-14,24.8,1050
2015-07-15,19.08,990
2015-07-16,26.62,950
2015-07-17,22.06,910
2015-07-20,13.11,900
2015-07-21,10.98,900
2015-07-22,14.27,900
2015-07-23,6.47,870
2015-07-24,3.85,870
2015-07-27,8.01,820
2015-07-28,15.11,830
2015-07-29,15.51,830
2015-07-30,23.44,860
2015-07-31,26.87,820
2015-08-03,27.03,760
2015-08-04,27.8,750
2015-08-05,24.16,740
2015-08-06,21.45,680
2015-08-07,26.1,693
2015-08-10,14.4,718
2015-08-11,8.42,713
2015-08-12,17.25,715
2015-08-13,21.65,711
2015-08-17,24.42,690
2015-08-18,10.18,650
2015-08-19,13.73,600
2015-08-20,7.17,600
2015-08-21,15.45,600
2015-08-24,9.43,610
2015-08-25,5.98,630
2015-08-26,24.04,710
2015-08-27,16.52,660
2015-08-28,21.7,600
2015-08-31,17.95,540
2015-09-01,14.56,490
2015-09-02,12.82,500
2015-09-03,17.91,495
2015-09-04,22.6,480
2015-09-07,23.72,490
2015-09-08,25.42,480
2015-09-09,25.15,470
2015-09-10,23.72,470
2015-09-11,18.04,460
2015-09-14,20.61,400
2015-09-15,21.83,400
2015-09-16,14.4,390
2015-09-17,23.04,390
2015-09-18,22.12,380
2015-09-21,21.01,410
2015-09-22,21.95,420
2015-09-23,4.07,470
2015-09-24,14.73,510
2015-09-25,12.19,510
2015-09-30,10.06,500
2015-10-01,1.17,490
2015-10-02,21.02,520
2015-10-05,19.53,480
2015-10-06,19.6,480
2015-10-07,14.83,430
2015-10-08,12.89,420
2015-10-12,16.46,420
2015-10-13,18.57,430
2015-10-14,17.36,430
2015-10-15,16.62,425
2015-10-16,14.6,425
2015-10-19,15.07,415
2015-10-20,13.48,400
2015-10-21,12.99,395
2015-10-22,13.64,395
2015-10-23,12.14,385
2015-10-26,15.11,410
2015-10-27,5.13,410
2015-10-28,12.22,415
2015-10-29,12.55,425
2015-10-30,15.45,445
2015-11-02,11.37,455
2015-11-03,14.42,445
2015-11-04,14.75,428
2015-11-05,9.81,428
2015-11-06,6.51,428
2015-11-09,2.69,433
2015-11-10,6.55,438
2015-11-11,10.05,450
2015-11-12,10.47,450
2015-11-13,1.43,460
2015-11-16,3.2,440
2015-11-17,3.05,440
2015-11-18,1.9,430
2015-11-19,2.67,435
2015-11-20,9.35,445
2015-11-23,1.58,445
2015-11-24,5.26,455
2015-11-25,1.56,500
2015-11-26,1.77,500
2015-11-27,3.41,510
2015-11-30,7.27,500
2015-12-01,11.21,490
2015-12-02,0.86,490
2015-12-03,4.99,490
2015-12-07,11.54,460
2015-12-08,11.46,460
2015-12-09,7.98,460
2015-12-10,1.32,450
2015-12-11,2.67,440
2015-12-14,1.34,450
2015-12-15,3.7,470
2015-12-16,2.56,475
2015-12-17,12.69,475
2015-12-18,6.61,475
2015-12-21,6.04,445
2015-12-22,9.78,445
2015-12-23,0.99,440
2015-12-24,8.15,440
2015-12-28,8.6,440
2015-12-29,9.47,440
2015-12-30,8.5,455
2015-12-31,7.35,460
2016-01-04,9.26,460
2016-01-05,6.47,470
2016-01-06,6.04,470
2016-01-07,8.41,470
2016-01-08,9.19,460
2016-01-11,10.58,460
2016-01-12,12.22,450
2016-01-13,1.76,450
2016-01-14,11.8,430
2016-01-15,5.86,430
2016-01-18,6.18,440
2016-01-19,6.11,450
2016-01-20,10.12,480
2016-01-21,7.99,500
2016-01-22,11.76,530
2016-01-25,8.05,680
2016-01-26,7.75,690
2016-01-27,11.97,680
2016-01-28,2.28,700
2016-01-29,2.44,880
2016-02-01,13.91,970
2016-02-02,15.35,980
2016-02-03,14.45,930
2016-02-04,10.41,890
2016-02-05,14.54,820
2016-02-11,9.49,670
2016-02-12,1.7,590
2016-02-15,15.71,580
2016-02-16,8.67,610
2016-02-17,16.7,600
2016-02-18,13.29,590
2016-02-19,7.82,590
2016-02-22,6.34,570
2016-02-23,13.17,550
2016-02-24,14.03,560
2016-02-25,17.09,580
2016-02-26,4.62,580
2016-03-02,19.59,710
2016-03-03,17.98,800
2016-03-04,2.02,790
2016-03-07,10.3,780
2016-03-08,5.71,770
2016-03-09,18.6,770
2016-03-10,20.32,750
2016-03-11,19.83,740
2016-03-14,12.35,720
2016-03-15,20.25,720
2016-03-16,19.08,760
2016-03-17,18.27,740
2016-03-18,6.36,740
2016-03-21,20.86,740
2016-03-22,21.89,750
2016-03-23,18.28,730
2016-03-24,22.74,730
2016-03-25,22.44,730
2016-03-28,23.4,740
2016-03-29,13.71,780
2016-03-30,23.05,810
2016-03-31,15.62,830
2016-04-01,23.05,840
2016-04-04,12.3,880
2016-04-05,25.04,960
2016-04-06,11.7,970
2016-04-07,9.28,1020
2016-04-08,20.84,1020
2016-04-11,23.31,1030
2016-04-12,20.96,1000
2016-04-14,15.65,990
2016-04-15,25.52,990
2016-04-18,19.37,990
2016-04-19,26.56,940
2016-04-20,11.65,930
2016-04-21,4.01,900
2016-04-22,24.02,870
2016-04-25,25.9,890
2016-04-26,20.91,930
2016-04-27,4.7,970
2016-04-28,14.64,1000
2016-04-29,26.37,1070
2016-05-02,18.01,1090
2016-05-03,2.5,1080
2016-05-04,29.17,1070
2016-05-09,11.15,1050
2016-05-10,3.42,1050
2016-05-11,26.21,1050
2016-05-12,29.54,1040
