날짜,지점,강수량(mm)
2016-01-01,247,
2016-01-02,247,
2016-01-03,247,
2016-01-04,247,
2016-01-05,247,
2016-01-06,247,
2016-01-07,247,
2016-01-08,247,
2016-01-09,247,
2016-01-10,247,
2016-01-11,247,
2016-01-12,247,
2016-01-13,247,1
2016-01-14,247,0
2016-01-15,247,0
2016-01-16,247,
2016-01-17,247,3
2016-01-18,247,2.5
2016-01-19,247,1
2016-01-20,247,0
2016-01-21,247,
2016-01-22,247,
2016-01-23,247,0
2016-01-24,247,7.5
2016-01-25,247,
2016-01-26,247,
2016-01-27,247,
2016-01-28,247,8.5
2016-01-29,247,6.5
2016-01-30,247,
2016-01-31,247,
2016-02-01,247,
2016-02-02,247,
2016-02-03,247,
2016-02-04,247,
2016-02-05,247,
2016-02-06,247,
2016-02-07,247,
2016-02-08,247,
2016-02-09,247,
2016-02-10,247,
2016-02-11,247,
2016-02-12,247,25
2016-02-13,247,8
2016-02-14,247,1
2016-02-15,247,
2016-02-16,247,1
2016-02-17,247,0.5
2016-02-18,247,
2016-02-19,247,
2016-02-20,247,
2016-02-21,247,
2016-02-22,247,
2016-02-23,247,
2016-02-24,247,
2016-02-25,247,
2016-02-26,247,0.5
2016-02-27,247,0
2016-02-28,247,9
2016-02-29,247,3.5
2016-03-01,247,
2016-03-02,247,
2016-03-03,247,
2016-03-04,247,32.5
2016-03-05,247,30
2016-03-06,247,0
2016-03-07,247,
2016-03-08,247,4.5
2016-03-09,247,
2016-03-10,247,
2016-03-11,247,
2016-03-12,247,
2016-03-13,247,
2016-03-14,247,
2016-03-15,247,
2016-03-16,247,
2016-03-17,247,
2016-03-18,247,5.5
2016-03-19,247,
2016-03-20,247,
2016-03-21,247,
2016-03-22,247,
2016-03-23,247,
2016-03-24,247,
2016-03-25,247,
2016-03-26,247,
2016-03-27,247,
2016-03-28,247,
2016-03-29,247,
2016-03-30,247,
2016-03-31,247,
2016-04-01,247,
2016-04-02,247,
2016-04-03,247,14
2016-04-04,247,1
2016-04-05,247,
2016-04-06,247,33
2016-04-07,247,24.5
2016-04-08,247,
2016-04-09,247,
2016-04-10,247,
2016-04-11,247,
2016-04-12,247,0
2016-04-13,247,8.5
2016-04-14,247,
2016-04-15,247,
2016-04-16,247,11.5
2016-04-17,247,5.5
2016-04-18,247,
2016-04-19,247,
2016-04-20,247,0.1
2016-04-21,247,33.4
2016-04-22,247,
2016-04-23,247,
2016-04-24,247,
2016-04-25,247,
2016-04-26,247,3.6
2016-04-27,247,25.8
2016-04-28,247,4.5
2016-04-29,247,
2016-04-30,247,
2016-05-01,247,
2016-05-02,247,0.7
2016-05-03,247,10.7
2016-05-04,247,
2016-05-05,247,0.1
2016-05-06,247,0.1
2016-05-07,247,
2016-05-08,247,
2016-05-09,247,
2016-05-10,247,22
2016-05-11,247,0.2
2016-05-12,247,
2016-05-13,247,
2016-05-14,247,
2016-05-15,247,10.6
2016-05-16,247,17.4
2016-05-17,247,
2016-05-18,247,
2016-05-19,247,
2016-05-20,247,
2016-05-21,247,
2016-05-22,247,
2016-05-23,247,
2016-05-24,247,26.6
2016-05-25,247,
2016-05-26,247,
2016-05-27,247,
2016-05-28,247,
2016-05-29,247,1.8
2016-05-30,247,
2016-05-31,247,
2016-06-01,247,
2016-06-02,247,
2016-06-03,247,
2016-06-04,247,11.6
2016-06-05,247,
2016-06-06,247,0.3
2016-06-07,247,0
2016-06-08,247,
2016-06-09,247,
2016-06-10,247,
2016-06-11,247,0
2016-06-12,247,0.4
2016-06-13,247,
2016-06-14,247,
2016-06-15,247,13.8
2016-06-16,247,
2016-06-17,247,
2016-06-18,247,0.4
2016-06-19,247,0
2016-06-20,247,6.3
2016-06-21,247,0.2
2016-06-22,247,4.9
2016-06-23,247,
2016-06-24,247,41.5
2016-06-25,247,
2016-06-26,247,
2016-06-27,247,
2016-06-28,247,
2016-06-29,247,0.3
2016-06-30,247,
2016-07-01,247,31.9
2016-07-02,247,42
2016-07-03,247,46.1
2016-07-04,247,1
2016-07-05,247,38.4
2016-07-06,247,81.5
2016-07-07,247,0
2016-07-08,247,
2016-07-09,247,
2016-07-10,247,
2016-07-11,247,0.4
2016-07-12,247,8.1
2016-07-13,247,0.1
2016-07-14,247,
2016-07-15,247,
2016-07-16,247,20.8
2016-07-17,247,
2016-07-18,247,
2016-07-19,247,5.6
2016-07-20,247,
2016-07-21,247,
2016-07-22,247,
2016-07-23,247,
2016-07-24,247,
2016-07-25,247,
2016-07-26,247,
2016-07-27,247,5
2016-07-28,247,5.5
2016-07-29,247,
2016-07-30,247,0.2
2016-07-31,247,
2016-08-01,247,
2016-08-02,247,0.3
2016-08-03,247,
2016-08-04,247,
2016-08-05,247,
2016-08-06,247,0
2016-08-07,247,29.9
2016-08-08,247,51.1
2016-08-09,247,1.4
2016-08-10,247,
2016-08-11,247,
2016-08-12,247,
2016-08-13,247,
2016-08-14,247,
2016-08-15,247,0
2016-08-16,247,
2016-08-17,247,
2016-08-18,247,
2016-08-19,247,
2016-08-20,247,
2016-08-21,247,
2016-08-22,247,
2016-08-23,247,13.1
2016-08-24,247,
2016-08-25,247,
2016-08-26,247,8.9
2016-08-27,247,0.2
2016-08-28,247,17.3
2016-08-29,247,
2016-08-30,247,0.1
2016-08-31,247,0.4
2016-09-01,247,
2016-09-02,247,20.4
2016-09-03,247,
2016-09-04,247,21.4
2016-09-05,247,
2016-09-06,247,
2016-09-07,247,1.1
2016-09-08,247,
2016-09-09,247,
2016-09-10,247,1.2
2016-09-11,247,0.2
2016-09-12,247,6.3
2016-09-13,247,
2016-09-14,247,0
2016-09-15,247,
2016-09-16,247,11.3
2016-09-17,247,113.4
2016-09-18,247,0.9
2016-09-19,247,
2016-09-20,247,
2016-09-21,247,
2016-09-22,247,
2016-09-23,247,
2016-09-24,247,
2016-09-25,247,
2016-09-26,247,2.8
2016-09-27,247,11.8
2016-09-28,247,5.6
2016-09-29,247,1.7
2016-09-30,247,18.5
2016-10-01,247,6.5
2016-10-02,247,1.2
2016-10-03,247,12.6
2016-10-04,247,0.1
2016-10-05,247,63.8
2016-10-06,247,
2016-10-07,247,5.3
2016-10-08,247,46.6
2016-10-09,247,
2016-10-10,247,
2016-10-11,247,
2016-10-12,247,
2016-10-13,247,
2016-10-14,247,
2016-10-15,247,
2016-10-16,247,59.1
2016-10-17,247,1.5
