날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2020-01-01,247,-2.5,-9.3,3.5
2020-01-02,247,-0.5,-5.6,7.1
2020-01-03,247,0.9,-3.8,7.5
2020-01-04,247,0.1,-4.8,7.8
2020-01-05,247,,-6.2,9.1
2020-01-06,247,4.3,-0.6,7.1
2020-01-07,247,11.7,6.9,17.5
2020-01-08,247,4.2,2.7,11.3
2020-01-09,247,1.7,-2.4,5.3
2020-01-10,247,-0.2,-5.2,8.1
2020-01-11,247,1.7,-3.9,7.8
2020-01-12,247,1.4,0.4,3.9
2020-01-13,247,0.1,-3.5,3.5
2020-01-14,247,0.2,-3.2,5.6
2020-01-15,247,-1.3,-5.1,4.1
2020-01-16,247,-0.1,-5.4,7.2
2020-01-17,247,0.3,-3.9,7.2
2020-01-18,247,-0.8,-6.7,7.3
2020-01-19,247,0.4,-4.1,5.1
2020-01-20,247,1.1,-3.3,6.3
2020-01-21,247,0.7,-6.7,8.8
2020-01-22,247,2.5,0.5,3.8
2020-01-23,247,,2.6,8.7
2020-01-24,247,4.4,-1.3,12.7
2020-01-25,247,5.6,1.4,10.4
2020-01-26,247,7,1.2,11
2020-01-27,247,5.3,3.6,8.7
2020-01-28,247,6.6,3.2,11.3
2020-01-29,247,5.8,3.8,8.8
2020-01-30,247,4.6,2.2,8.4
2020-01-31,247,2.8,-2.3,6.6
2020-02-01,247,1,-4.3,7.2
2020-02-02,247,1.6,-3,8.5
2020-02-03,247,0.5,-3.4,5.9
2020-02-04,247,-0.7,-7.2,7.4
2020-02-05,247,-3,-6.9,0.5
2020-02-06,247,-3.7,-10.8,3
2020-02-07,247,-1.3,-7.3,5.4
2020-02-08,247,1.3,-2.8,6.1
2020-02-09,247,-1.1,-6.5,6.2
2020-02-10,247,3.1,-3.8,12.1
2020-02-11,247,5.5,-3.9,14.2
2020-02-12,247,8.9,7,10.7
2020-02-13,247,7.5,2.5,11.1
2020-02-14,247,,2,18.3
2020-02-15,247,9.9,2.9,17.1
2020-02-16,247,0.8,-1.8,9.4
2020-02-17,247,-3.5,-5.7,-1.7
2020-02-18,247,-2.2,-5.9,3.2
2020-02-19,247,1.3,-6,10
2020-02-20,247,5,-2,13.6
2020-02-21,247,7.1,-1.9,15.6
2020-02-22,247,6.2,1.7,10.1
2020-02-23,247,2.9,-2.8,10
2020-02-24,247,6.5,-3.6,15.4
2020-02-25,247,9.4,7.7,11
2020-02-26,247,8.7,2.7,14.9
2020-02-27,247,6.8,0.6,12.8
2020-02-28,247,4.9,3.8,6.7
2020-02-29,247,6.9,3.3,13.6
2020-03-01,247,5.8,0.6,12.8
2020-03-02,247,4.9,0.8,10
2020-03-03,247,6.3,-1.6,13.2
2020-03-04,247,3.4,-0.4,7.6
2020-03-05,247,2.1,-2.5,8.2
2020-03-06,247,3.7,-5.1,13.5
2020-03-07,247,4,0.9,7.5
2020-03-08,247,7.1,1,16.6
2020-03-09,247,8.1,1.2,14
2020-03-10,247,6.3,2.9,10.3
2020-03-11,247,3.6,-1.4,8.9
2020-03-12,247,5.6,-4,16.2
2020-03-13,247,5.7,0.9,13.4
2020-03-14,247,4,-1.5,9.4
2020-03-15,247,4,-2.1,11.7
2020-03-16,247,3.7,-3.6,11.3
2020-03-17,247,6.9,-2.6,16.9
2020-03-18,247,8.9,0.3,18.7
