瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
146,傈林,2019-01-01,5.69
146,傈林,2019-01-02,10.67
146,傈林,2019-01-03,12.33
146,傈林,2019-01-04,5.29
146,傈林,2019-01-05,10.77
146,傈林,2019-01-06,11.36
146,傈林,2019-01-07,9.87
146,傈林,2019-01-08,9.21
146,傈林,2019-01-09,9.35
146,傈林,2019-01-10,5.1
146,傈林,2019-01-11,9.32
146,傈林,2019-01-12,8.26
146,傈林,2019-01-13,10.89
146,傈林,2019-01-14,9.92
146,傈林,2019-01-15,6.85
146,傈林,2019-01-16,12.72
146,傈林,2019-01-17,6.14
146,傈林,2019-01-18,11.05
146,傈林,2019-01-19,7.1
146,傈林,2019-01-20,13.07
146,傈林,2019-01-21,10.24
146,傈林,2019-01-22,11
146,傈林,2019-01-23,10.14
146,傈林,2019-01-24,14.09
146,傈林,2019-01-25,10.18
146,傈林,2019-01-26,14.19
146,傈林,2019-01-27,14.29
146,傈林,2019-01-28,12.47
146,傈林,2019-01-29,14.43
146,傈林,2019-01-30,10.86
146,傈林,2019-01-31,2.35
146,傈林,2019-02-01,10.41
146,傈林,2019-02-02,10.56
146,傈林,2019-02-03,.49
146,傈林,2019-02-04,14.53
146,傈林,2019-02-05,14.35
146,傈林,2019-02-06,10.57
146,傈林,2019-02-07,11.29
146,傈林,2019-02-08,12.62
146,傈林,2019-02-09,15.4
146,傈林,2019-02-10,10.02
146,傈林,2019-02-11,15.6
146,傈林,2019-02-12,13.13
146,傈林,2019-02-13,14.78
146,傈林,2019-02-14,15.84
146,傈林,2019-02-15,8.39
146,傈林,2019-02-16,10.91
146,傈林,2019-02-17,17.92
146,傈林,2019-02-18,8.67
146,傈林,2019-02-19,1.91
146,傈林,2019-02-20,10.47
146,傈林,2019-02-21,16.9
146,傈林,2019-02-22,12.32
146,傈林,2019-02-23,16.07
146,傈林,2019-02-24,17.64
146,傈林,2019-02-25,15.3
146,傈林,2019-02-26,17.37
146,傈林,2019-02-27,4
146,傈林,2019-02-28,13.88
146,傈林,2019-03-01,17.4
146,傈林,2019-03-02,15.67
146,傈林,2019-03-03,10.44
146,傈林,2019-03-04,15.28
146,傈林,2019-03-05,10.63
146,傈林,2019-03-06,13.9
146,傈林,2019-03-07,11.63
146,傈林,2019-03-08,21.02
146,傈林,2019-03-09,16.66
146,傈林,2019-03-10,4.25
146,傈林,2019-03-11,8.26
146,傈林,2019-03-12,12.93
146,傈林,2019-03-13,20.19
146,傈林,2019-03-14,20.62
146,傈林,2019-03-15,10.61
146,傈林,2019-03-16,19.87
146,傈林,2019-03-17,19.61
146,傈林,2019-03-18,16.77
146,傈林,2019-03-19,18.91
146,傈林,2019-03-20,5.16
146,傈林,2019-03-21,7.41
146,傈林,2019-03-22,21.39
