备盒,乞闭
01岿 02老,577
01岿 03老,580
01岿 04老,570
01岿 07老,580
01岿 08老,530
01岿 09老,510
01岿 10老,510
01岿 11老,500
01岿 14老,460
01岿 15老,480
01岿 16老,478
01岿 17老,460
01岿 18老,450
01岿 21老,450
01岿 22老,440
01岿 23老,460
01岿 24老,430
01岿 25老,430
01岿 28老,440
01岿 29老,440
01岿 30老,440
01岿 31老,450
02岿 01老,430
02岿 07老,430
02岿 08老,420
02岿 11老,412
02岿 12老,412
02岿 13老,420
02岿 14老,412
02岿 15老,422
02岿 18老,400
02岿 19老,400
02岿 20老,400
02岿 21老,400
02岿 22老,408
02岿 25老,368
02岿 26老,370
02岿 27老,370
02岿 28老,360
03岿 04老,370
03岿 05老,370
03岿 06老,380
03岿 07老,380
03岿 08老,380
03岿 11老,380
03岿 12老,380
03岿 13老,380
03岿 14老,380
03岿 15老,380
03岿 18老,380
03岿 19老,376
03岿 20老,376
03岿 21老,360
03岿 22老,360
03岿 25老,370
03岿 26老,370
03岿 27老,366
03岿 28老,366
03岿 29老,366
04岿 01老,366
04岿 02老,362
04岿 03老,340
04岿 04老,334
04岿 05老,334
04岿 08老,334
04岿 09老,334
04岿 10老,334
04岿 11老,324
04岿 12老,324
04岿 15老,334
04岿 16老,334
04岿 17老,334
04岿 18老,334
04岿 19老,334
04岿 22老,334
04岿 23老,334
04岿 24老,344
04岿 25老,350
04岿 26老,364
04岿 29老,364
04岿 30老,364
05岿 02老,354
05岿 03老,354
05岿 07老,354
05岿 08老,361
05岿 09老,364
05岿 10老,369
05岿 13老,360
05岿 14老,360
05岿 15老,376
05岿 16老,361
05岿 17老,390
05岿 20老,460
05岿 21老,432
05岿 22老,402
05岿 23老,407
05岿 24老,402
05岿 27老,410
05岿 28老,420
05岿 29老,430
05岿 30老,416
05岿 31老,416
06岿 03老,432
06岿 04老,464
06岿 05老,464
06岿 07老,506
06岿 10老,506
06岿 11老,506
06岿 12老,550
06岿 13老,600
06岿 14老,620
06岿 17老,610
06岿 18老,630
06岿 19老,620
06岿 20老,600
06岿 21老,600
06岿 24老,600
06岿 25老,590
06岿 26老,590
06岿 27老,670
06岿 28老,760
07岿 01老,760
07岿 02老,740
07岿 03老,710
07岿 04老,670
07岿 05老,690
07岿 08老,680
07岿 09老,740
07岿 10老,750
07岿 11老,820
07岿 12老,870
07岿 15老,760
07岿 16老,760
07岿 17老,720
07岿 18老,670
07岿 19老,690
07岿 22老,860
07岿 23老,750
07岿 24老,690
07岿 25老,710
07岿 26老,700
07岿 29老,740
07岿 30老,740
07岿 31老,720
08岿 01老,780
08岿 02老,850
08岿 05老,830
08岿 06老,800
08岿 07老,820
08岿 08老,940
08岿 09老,900
08岿 12老,840
08岿 13老,820
08岿 14老,820
08岿 16老,880
08岿 19老,820
08岿 20老,820
08岿 21老,840
08岿 22老,880
08岿 23老,880
08岿 26老,940
08岿 27老,960
08岿 28老,960
08岿 29老,"1,000"
08岿 30老,"1,040"
09岿 02老,"1,020"
09岿 03老,"1,140"
09岿 04老,"1,260"
09岿 05老,"1,320"
09岿 06老,"1,320"
09岿 09老,"1,420"
09岿 10老,"1,360"
09岿 11老,"1,370"
09岿 16老,"1,280"
09岿 17老,"1,400"
09岿 18老,"1,440"
09岿 19老,"1,440"
09岿 20老,"1,520"
09岿 23老,"1,840"
09岿 24老,"1,760"
09岿 25老,"1,740"
09岿 26老,"1,840"
09岿 27老,"1,780"
09岿 30老,"1,960"
10岿 01老,"2,060"
10岿 02老,"2,060"
10岿 04老,"2,200"
10岿 07老,"1,820"
10岿 08老,"1,720"
10岿 10老,"1,560"
10岿 11老,"1,520"
10岿 14老,"1,480"
10岿 15老,"1,440"
10岿 16老,"1,520"
10岿 17老,"1,620"
10岿 18老,"1,600"
10岿 21老,"1,548"
10岿 22老,"1,518"
10岿 23老,"1,480"
10岿 24老,"1,430"
10岿 25老,"1,405"
10岿 28老,"1,220"
10岿 29老,"1,200"
10岿 30老,"1,220"
10岿 31老,"1,140"
11岿 01老,"1,080"
11岿 04老,940
11岿 05老,940
11岿 06老,910
11岿 07老,860
11岿 08老,880
11岿 11老,910
11岿 12老,910
11岿 13老,910
11岿 14老,930
11岿 15老,"1,000"
11岿 18老,"1,100"
11岿 19老,"1,100"
11岿 20老,"1,100"
11岿 21老,"1,060"
11岿 22老,"1,020"
11岿 25老,950
11岿 26老,930
11岿 27老,890
11岿 28老,940
11岿 29老,950
12岿 02老,960
12岿 03老,920
12岿 04老,980
12岿 05老,990
12岿 09老,"1,020"
12岿 10老,960
12岿 11老,980
12岿 12老,"1,000"
12岿 13老,970
12岿 16老,990
12岿 17老,990
12岿 18老,"1,020"
12岿 19老,"1,000"
12岿 20老,"1,000"
12岿 23老,"1,000"
12岿 24老,900
12岿 26老,920
12岿 27老,980
12岿 30老,"1,040"
12岿 31老,"1,160"
Unnamed: 247,
