date,place,gangsu,price
2018-01-02,100.0,,685
2018-01-03,100.0,,683
2018-01-04,100.0,,685
2018-01-05,100.0,,685
2018-01-08,100.0,0.0,700
2018-01-09,100.0,,700
2018-01-10,100.0,,700
2018-01-11,100.0,,700
2018-01-12,100.0,,696
2018-01-15,100.0,0.1,680
2018-01-16,100.0,,700
2018-01-17,100.0,1.7,640
2018-01-18,100.0,,626
2018-01-19,100.0,,630
2018-01-22,100.0,2.5,636
2018-01-23,100.0,0.0,650
2018-01-24,100.0,,646
2018-01-25,100.0,,640
2018-01-26,100.0,,640
2018-01-29,100.0,,690
2018-01-30,100.0,0.0,780
2018-01-31,100.0,0.0,830
2018-02-01,100.0,,836
2018-02-02,100.0,0.0,910
2018-02-05,100.0,,1000
2018-02-06,100.0,,1060
2018-02-07,100.0,,1090
2018-02-08,100.0,,1050
2018-02-09,100.0,,1020
2018-02-12,100.0,,930
2018-02-13,100.0,0.0,910
2018-02-14,100.0,,880
2018-02-19,100.0,,820
2018-02-20,100.0,,840
2018-02-21,100.0,,840
2018-02-22,100.0,0.0,820
2018-02-23,100.0,0.3,820
2018-02-26,100.0,,850
2018-02-27,100.0,,860
2018-02-28,100.0,42.9,860
2018-03-02,100.0,,860
2018-03-05,100.0,17.4,860
2018-03-06,100.0,,880
2018-03-07,100.0,2.8,880
2018-03-08,100.0,9.0,870
2018-03-09,100.0,0.5,870
2018-03-12,100.0,,920
2018-03-13,100.0,,860
2018-03-14,100.0,,890
2018-03-15,100.0,6.6,880
2018-03-16,100.0,3.5,830
2018-03-19,100.0,14.8,830
2018-03-20,100.0,,820
2018-03-21,100.0,7.5,840
2018-03-22,100.0,,900
2018-03-23,100.0,,920
2018-03-26,100.0,,920
2018-03-27,100.0,,910
2018-03-28,100.0,,890
2018-03-29,100.0,,860
2018-03-30,100.0,,850
2018-04-02,100.0,,850
2018-04-03,100.0,,850
2018-04-04,100.0,18.9,820
2018-04-05,100.0,5.1,830
2018-04-06,100.0,5.1,790
2018-04-09,100.0,0.3,800
2018-04-10,100.0,1.2,830
2018-04-11,100.0,3.4,830
2018-04-12,100.0,,840
2018-04-13,100.0,,820
2018-04-16,100.0,,830
2018-04-17,100.0,,840
2018-04-18,100.0,,810
2018-04-19,100.0,,800
2018-04-20,100.0,,800
2018-04-23,100.0,48.9,820
2018-04-24,100.0,13.7,820
2018-04-25,100.0,,820
2018-04-26,100.0,,790
2018-04-27,100.0,,780
2018-04-30,100.0,,800
2018-05-02,100.0,21.3,800
2018-05-03,100.0,1.6,780
2018-05-04,100.0,,790
2018-05-08,100.0,6.5,720
2018-05-09,100.0,0.8,705
2018-05-10,100.0,,705
2018-05-11,100.0,,670
2018-05-14,100.0,,663
2018-05-15,100.0,,678
2018-05-16,100.0,4.3,678
2018-05-17,100.0,51.5,678
2018-05-18,100.0,81.5,675
2018-05-21,100.0,,600
2018-05-23,100.0,5.8,540
2018-05-24,100.0,,530
2018-05-25,100.0,,530
2018-05-28,100.0,,520
2018-05-29,100.0,1.5,520
2018-05-30,100.0,1.1,520
2018-05-31,100.0,,510
2018-06-01,100.0,,510
2018-06-04,100.0,,490
2018-06-05,100.0,0.0,490
2018-06-07,100.0,,490
2018-06-08,100.0,,490
2018-06-11,100.0,4.3,500
2018-06-12,100.0,,490
2018-06-14,100.0,,550
2018-06-15,100.0,0.7,560
2018-06-18,100.0,,600
2018-06-19,100.0,,600
