date,place,ondo,price
2017-01-02,100.0,1.1,960
2017-01-03,100.0,-0.6,1000
2017-01-04,100.0,-1.2,1040
2017-01-05,100.0,-3.2,980
2017-01-06,100.0,-1.1,940
2017-01-09,100.0,-1.1,940
2017-01-10,100.0,-6.6,940
2017-01-11,100.0,-8.5,1000
2017-01-12,100.0,-5.9,1000
2017-01-13,100.0,-10.4,1000
2017-01-16,100.0,-10.3,1040
2017-01-17,100.0,-7.7,1020
2017-01-18,100.0,-4.7,1000
2017-01-19,100.0,-4.9,980
2017-01-20,100.0,-7.7,980
2017-01-23,100.0,-14.0,1080
2017-01-24,100.0,-12.3,1080
2017-01-25,100.0,-11.8,1080
2017-01-26,100.0,-7.7,1080
2017-01-31,100.0,-8.7,1080
2017-02-01,100.0,-7.3,1020
2017-02-02,100.0,-6.8,1040
2017-02-03,100.0,-4.0,1020
2017-02-06,100.0,-5.7,1020
2017-02-07,100.0,-7.6,1020
2017-02-08,100.0,-6.2,1020
2017-02-09,100.0,-9.1,1020
2017-02-10,100.0,-11.7,1020
2017-02-13,100.0,-5.4,1020
2017-02-14,100.0,-5.1,960
2017-02-15,100.0,-1.8,960
2017-02-16,100.0,3.7,960
2017-02-17,100.0,1.5,900
2017-02-20,100.0,-2.2,1030
2017-02-21,100.0,-5.1,1060
2017-02-22,100.0,-0.5,1020
2017-02-23,100.0,-3.9,1020
2017-02-24,100.0,-5.6,1020
2017-02-27,100.0,-2.6,1000
2017-02-28,100.0,1.3,1000
2017-03-02,100.0,-1.5,1000
2017-03-03,100.0,-1.6,960
2017-03-06,100.0,-3.3,960
2017-03-07,100.0,-6.1,960
2017-03-08,100.0,-5.6,960
2017-03-09,100.0,-1.8,960
2017-03-10,100.0,-0.2,960
2017-03-13,100.0,1.3,930
2017-03-14,100.0,-3.6,930
2017-03-15,100.0,-3.0,930
2017-03-16,100.0,-0.9,950
2017-03-17,100.0,0.8,950
2017-03-20,100.0,4.1,950
2017-03-21,100.0,-0.4,950
2017-03-22,100.0,2.3,930
2017-03-23,100.0,0.4,890
2017-03-24,100.0,-0.2,930
2017-03-27,100.0,0.4,990
2017-03-28,100.0,1.6,950
2017-03-29,100.0,4.0,930
2017-03-30,100.0,4.5,930
2017-03-31,100.0,1.0,930
2017-04-03,100.0,7.7,930
2017-04-04,100.0,9.1,930
2017-04-05,100.0,9.0,910
2017-04-06,100.0,10.0,870
2017-04-07,100.0,8.4,850
2017-04-10,100.0,5.8,800
2017-04-11,100.0,8.5,840
2017-04-12,100.0,6.8,750
2017-04-13,100.0,8.2,740
2017-04-14,100.0,9.4,740
2017-04-17,100.0,8.7,720
2017-04-18,100.0,7.8,720
2017-04-19,100.0,8.4,740
2017-04-20,100.0,8.3,740
2017-04-21,100.0,5.8,740
2017-04-24,100.0,11.9,740
2017-04-25,100.0,12.6,710
2017-04-26,100.0,7.6,700
2017-04-27,100.0,7.0,700
2017-04-28,100.0,9.5,680
2017-05-02,100.0,12.2,535
2017-05-04,100.0,14.2,550
2017-05-08,100.0,14.7,565
2017-05-10,100.0,11.3,565
2017-05-11,100.0,14.5,400
2017-05-12,100.0,15.6,400
2017-05-15,100.0,9.1,370
2017-05-16,100.0,9.5,380
2017-05-17,100.0,11.8,380
2017-05-18,100.0,15.2,370
2017-05-19,100.0,18.8,390
2017-05-22,100.0,12.6,430
2017-05-23,100.0,14.5,430
2017-05-24,100.0,14.3,430
2017-05-25,100.0,12.3,430
2017-05-26,100.0,7.6,430
2017-05-29,100.0,20.4,350
2017-05-30,100.0,19.0,390
2017-05-31,100.0,17.2,370
2017-06-01,100.0,13.3,360
2017-06-02,100.0,10.9,390
2017-06-05,100.0,11.5,430
2017-06-07,100.0,14.4,520
2017-06-08,100.0,16.2,520
2017-06-09,100.0,17.0,530
2017-06-12,100.0,10.3,470
2017-06-13,100.0,12.8,450
2017-06-14,100.0,15.9,450
2017-06-15,100.0,16.9,440
2017-06-16,100.0,14.3,430
2017-06-19,100.0,20.0,470
2017-06-20,100.0,18.2,470
2017-06-21,100.0,19.3,470
2017-06-22,100.0,18.3,530
2017-06-23,100.0,17.9,580
2017-06-26,100.0,16.2,550
2017-06-27,100.0,18.2,560
2017-06-28,100.0,19.5,560
2017-06-29,100.0,20.3,560
2017-06-30,100.0,21.0,540
2017-07-03,100.0,20.9,600
2017-07-04,100.0,19.2,610
2017-07-05,100.0,19.9,630
2017-07-06,100.0,20.8,580
2017-07-07,100.0,21.7,560
2017-07-10,100.0,22.5,624
2017-07-11,100.0,22.1,670
2017-07-12,100.0,23.0,780
2017-07-13,100.0,23.1,790
2017-07-14,100.0,23.2,790
2017-07-17,100.0,22.7,890
2017-07-18,100.0,22.3,910
2017-07-19,100.0,24.3,910
2017-07-20,100.0,24.3,930
2017-07-21,100.0,24.4,890
2017-07-24,100.0,23.0,1020
2017-07-25,100.0,19.9,1020
2017-07-26,100.0,19.3,1130
2017-07-27,100.0,20.0,1130
2017-07-28,100.0,20.1,1090
2017-07-31,100.0,19.5,1210
2017-08-01,100.0,20.7,1195
2017-08-02,100.0,19.9,1220
2017-08-03,100.0,19.8,1260
2017-08-04,100.0,22.2,1245
2017-08-07,100.0,22.9,1260
2017-08-08,100.0,21.5,1255
2017-08-09,100.0,19.9,1290
2017-08-10,100.0,19.5,1370
2017-08-11,100.0,18.5,1420
2017-08-14,100.0,17.9,1620
2017-08-16,100.0,17.6,1560
2017-08-17,100.0,18.2,1570
2017-08-18,100.0,19.0,1630
2017-08-21,100.0,20.7,1670
2017-08-22,100.0,22.1,1720
2017-08-23,100.0,22.4,1820
2017-08-24,100.0,22.4,1720
2017-08-25,100.0,20.0,1760
2017-08-28,100.0,17.3,1760
2017-08-29,100.0,15.7,1720
2017-08-30,100.0,14.4,1740
2017-08-31,100.0,13.7,1660
2017-09-01,100.0,14.1,1840
2017-09-04,100.0,15.5,2000
2017-09-05,100.0,13.5,2060
2017-09-06,100.0,14.8,2040
2017-09-07,100.0,16.7,2020
2017-09-08,100.0,16.9,1920
2017-09-11,100.0,14.7,1840
2017-09-12,100.0,16.3,1800
2017-09-13,100.0,13.0,1780
2017-09-14,100.0,13.3,1740
2017-09-15,100.0,14.2,1720
2017-09-18,100.0,14.6,1740
2017-09-19,100.0,16.6,1680
2017-09-20,100.0,13.5,1700
2017-09-21,100.0,12.2,1620
2017-09-22,100.0,13.5,1680
2017-09-25,100.0,15.6,1620
2017-09-26,100.0,17.8,1520
2017-09-27,100.0,15.6,1480
2017-09-28,100.0,13.7,1360
2017-09-29,100.0,10.2,1420
2017-10-10,100.0,13.9,1300
2017-10-11,100.0,12.3,1280
2017-10-12,100.0,8.4,1020
2017-10-13,100.0,7.0,840
2017-10-16,100.0,9.0,740
2017-10-17,100.0,9.0,660
2017-10-18,100.0,8.9,640
2017-10-19,100.0,8.5,580
2017-10-20,100.0,8.2,540
2017-10-23,100.0,4.8,570
2017-10-24,100.0,3.0,570
2017-10-25,100.0,6.4,570
2017-10-26,100.0,7.6,570
2017-10-27,100.0,9.4,570
2017-10-30,100.0,3.4,576
2017-10-31,100.0,4.3,576
2017-11-01,100.0,8.1,540
2017-11-02,100.0,9.6,536
