date,uga,price
2021-01-04,52.49,473
2021-01-05,50.5,510
2021-01-06,53.51,520
2021-01-07,54.52,510
2021-01-08,54.58,510
2021-01-11,55.33,522
2021-01-12,55.71,592
2021-01-13,56.44,592
2021-01-14,55.7,602
2021-01-15,55.39,602
2021-01-18,54.19,622
2021-01-19,55.19,662
2021-01-20,56.24,610
2021-01-21,55.49,610
2021-01-22,55.2,610
2021-01-25,55.41,622
2021-01-26,55.32,612
2021-01-27,55.74,702
2021-01-28,54.77,722
2021-01-29,54.65,732
2021-02-01,55.0,702
2021-02-02,56.77,712
2021-02-03,57.64,722
2021-02-04,58.36,738
2021-02-05,58.94,805
2021-02-08,59.8,715
2021-02-09,60.49,755
2021-02-10,60.39,815
2021-02-15,62.48,795
2021-02-16,62.3,825
2021-02-17,62.8,845
2021-02-18,63.26,945
2021-02-19,60.83,982
2021-02-22,61.28,972
2021-02-23,63.54,984
2021-02-24,62.89,922
2021-02-25,65.39,902
2021-02-26,64.29,1012
2021-03-02,61.41,1046
2021-03-03,61.44,1046
2021-03-04,63.11,1002
2021-03-05,66.37,962
2021-03-08,68.32,1022
2021-03-09,66.4,1022
2021-03-10,65.3,1022
2021-03-11,66.82,1074
2021-03-12,67.9,1014
2021-03-15,68.25,1062
2021-03-16,66.46,1034
2021-03-17,66.57,1034
2021-03-18,65.29,1004
2021-03-19,62.2,1004
2021-03-22,63.18,1104
2021-03-23,63.0,1064
2021-03-24,60.98,1064
2021-03-25,62.43,1044
2021-03-26,62.07,1064
2021-03-29,63.11,1084
2021-03-30,63.9,1084
2021-03-31,63.36,1024
2021-04-01,61.51,1104
2021-04-02,61.6,1104
2021-04-05,61.91,1084
2021-04-06,61.34,1104
2021-04-07,60.88,1084
2021-04-08,61.24,1084
2021-04-09,60.94,1084
2021-04-12,61.1,1064
2021-04-13,61.58,1104
2021-04-14,62.56,1104
2021-04-15,64.17,1084
2021-04-16,65.12,1082
2021-04-19,64.83,1102
2021-04-20,65.74,1064
2021-04-21,63.71,1064
2021-04-22,62.25,1044
2021-04-23,62.93,1064
2021-04-26,62.37,1064
2021-04-27,63.27,1064
2021-04-28,63.57,1064
2021-04-29,65.1,955
2021-04-30,65.27,975
2021-05-03,64.38,890
2021-05-04,65.83,872
2021-05-06,67.17,878
2021-05-07,65.9,828
2021-05-10,66.74,863
2021-05-11,65.54,843
2021-05-12,66.56,734
2021-05-13,65.37,734
2021-05-14,65.26,552
2021-05-17,67.17,590
2021-05-18,68.41,542
2021-05-20,65.03,582
2021-05-21,63.25,685
2021-05-24,66.26,625
2021-05-25,67.37,625
2021-05-26,66.835,625
2021-05-27,66.41,705
2021-05-28,67.41,705
2021-05-31,67.94,725
2021-06-01,69.1,705
2021-06-02,69.21,625
2021-06-03,69.97,685
2021-06-04,70.1,625
2021-06-07,70.03,695
2021-06-08,69.34,605
2021-06-09,71.14,585
2021-06-10,70.71,633
2021-06-11,71.18,602
2021-06-14,72.01,550
2021-06-15,71.79,620
2021-06-16,72.78,580
2021-06-17,72.35,580
2021-06-18,70.98,580
2021-06-21,71.79,665
2021-06-22,72.52,605
2021-06-23,73.43,605
2021-06-24,73.73,605
2021-06-25,73.46,585
2021-06-28,73.88,665
2021-06-29,72.85,585
2021-06-30,72.87,582
2021-07-01,73.85,665
2021-07-02,74.09,634
2021-07-05,74.68,857
2021-07-06,75.88,833
2021-07-07,73.29,837
2021-07-08,70.63,864
2021-07-09,73.03,850
2021-07-12,73.54,831
2021-07-13,74.36,707
2021-07-14,74.72,676
2021-07-15,72.23,597
2021-07-16,72.18,609
2021-07-19,71.68,675
2021-07-20,71.565,745
2021-07-21,68.67,694
2021-07-22,71.43,639
2021-07-23,72.25,643
2021-07-26,71.59,819
2021-07-27,73.02,879
2021-07-28,72.82,951
2021-07-29,73.68,843
2021-07-30,73.9,959
2021-08-02,73.28,1082
2021-08-03,71.88,1172
2021-08-04,71.37,1132
2021-08-05,68.8,1090
2021-08-06,70.72,1082
2021-08-09,69.935,1032
2021-08-10,68.91,1036
2021-08-11,69.77,1020
2021-08-12,70.52,957
2021-08-13,70.03,986
2021-08-17,68.45,913
2021-08-18,68.58,1044
2021-08-19,65.35,1108
2021-08-20,65.37,1032
2021-08-23,66.09,927
2021-08-24,68.7,827
2021-08-25,69.69,956
2021-08-26,70.11,972
2021-08-27,70.76,940
2021-08-30,71.13,1104
2021-08-31,71.19,1034
2021-09-01,70.43,1126
2021-09-02,69.74,1320
2021-09-03,71.26,1252
2021-09-06,69.99,1276
2021-09-07,70.35,1414
2021-09-08,69.78,1414
2021-09-09,70.65,1308
2021-09-10,70.85,1308
2021-09-13,71.73,1532
2021-09-14,72.29,1516
2021-09-15,72.26,1520
2021-09-16,73.09,1520
2021-09-17,73.06,1524
2021-09-23,74.11,1524
2021-09-24,74.77,1392
2021-09-27,76.17,1156
2021-09-28,77.34,1126
2021-09-29,75.7,1084
2021-09-30,75.92,1060
2021-10-01,75.68,1020
2021-10-05,79.57,956
2021-10-06,80.55,890
2021-10-07,77.41,833
2021-10-08,81.23,766
2021-10-12,82.07,674
2021-10-13,81.43,614
2021-10-14,82.28,584
2021-10-15,82.99,584
2021-10-18,83.89,604
2021-10-19,83.03,721
2021-10-20,82.56,725
2021-10-21,83.12,660
2021-10-22,82.57,748
2021-10-25,84.37,752
2021-10-26,83.94,752
2021-10-27,83.46,712
2021-10-28,81.91,736
2021-10-29,82.57,739
2021-11-01,81.99,796
2021-11-02,83.31,834
2021-11-03,81.89,868
2021-11-04,81.555,924
2021-11-05,79.48,1085
2021-11-08,81.99,1136
2021-11-09,82.24,1188
2021-11-10,83.97,1220
2021-11-11,81.83,1340
2021-11-12,81.57,1356
2021-11-15,80.89,1206
2021-11-16,81.96,1124
2021-11-17,81.01,1032
2021-11-18,78.66,1140
2021-11-19,80.89,1104
2021-11-22,78.42,1138
2021-11-23,78.47,1092
2021-11-24,81.86,1128
2021-11-25,81.44,1068
2021-11-26,77.38,1092
2021-11-29,75.17,1080
2021-11-30,71.88,937
2021-12-01,71.13,969
2021-12-02,69.13,1024
2021-12-06,70.12,917
2021-12-07,73.22,929
2021-12-08,73.83,917
2021-12-09,74.48,849
2021-12-10,72.73,842
2021-12-13,74.11,891
2021-12-14,73.39,883
2021-12-15,72.01,886
2021-12-16,73.37,857
2021-12-17,73.36,800
2021-12-20,70.11,886
2021-12-21,70.56,833
2021-12-22,72.56,813
2021-12-23,73.54,817
2021-12-24,74.37,797
2021-12-27,76.12,925
2021-12-28,76.47,894
2021-12-29,76.91,922
2021-12-30,77.24,926
2021-12-31,77.12,896
