date,illsa,price
2017-01-02,8.46,960
2017-01-03,10.32,1000
2017-01-04,9.79,1040
2017-01-05,1.59,980
2017-01-06,10.18,940
2017-01-09,10.28,940
2017-01-10,10.7,940
2017-01-11,11.26,1000
2017-01-12,10.81,1000
2017-01-13,8.59,1000
2017-01-16,9.79,1040
2017-01-17,10.75,1020
2017-01-18,9.97,1000
2017-01-19,11.31,980
2017-01-20,3.15,980
2017-01-23,12.96,1080
2017-01-24,13.05,1080
2017-01-25,13.67,1080
2017-01-26,11.3,1080
2017-01-31,7.49,1080
2017-02-01,13.43,1020
2017-02-02,14.61,1040
2017-02-03,14.88,1020
2017-02-06,14.02,1020
2017-02-07,8.93,1020
2017-02-08,7.98,1020
2017-02-09,10.36,1020
2017-02-10,14.9,1020
2017-02-13,15.71,1020
2017-02-14,15.1,960
2017-02-15,14.07,960
2017-02-16,15.78,960
2017-02-17,14.88,900
2017-02-20,16.35,1030
2017-02-21,17.06,1060
2017-02-22,4.19,1020
2017-02-23,12.69,1020
2017-02-24,17.87,1020
2017-02-27,15.49,1000
2017-02-28,17.26,1000
2017-03-02,4.94,1000
2017-03-03,18.53,960
2017-03-06,17.37,960
2017-03-07,19.46,960
2017-03-08,17.6,960
2017-03-09,16.35,960
2017-03-10,19.33,960
2017-03-13,18.7,930
2017-03-14,6.85,930
2017-03-15,18.19,930
2017-03-16,19.27,950
2017-03-17,19.95,950
2017-03-20,9.91,950
2017-03-21,6.7,950
2017-03-22,20.82,930
2017-03-23,9.82,890
2017-03-24,14.86,930
2017-03-27,10.52,990
2017-03-28,19.07,950
2017-03-29,21.62,930
2017-03-30,19.73,930
2017-03-31,2.75,930
2017-04-03,23.29,930
2017-04-04,21.99,930
2017-04-05,6.5,910
2017-04-06,9.95,870
2017-04-07,22.04,850
2017-04-10,24.34,800
2017-04-11,16.79,840
2017-04-12,24.52,750
2017-04-13,24.29,740
2017-04-14,18.9,740
2017-04-17,2.68,720
2017-04-18,13.61,720
2017-04-19,25.99,740
2017-04-20,17.37,740
2017-04-21,21.89,740
2017-04-24,25.03,740
2017-04-25,22.67,710
2017-04-26,22.2,700
2017-04-27,23.75,700
2017-04-28,21.84,680
2017-05-02,23.63,535
2017-05-04,21.14,550
2017-05-08,21.56,565
2017-05-10,9.45,565
2017-05-11,24.3,400
2017-05-12,8.89,400
2017-05-15,12.06,370
2017-05-16,15.22,380
2017-05-17,23.84,380
2017-05-18,27.23,370
2017-05-19,28.08,390
2017-05-22,25.88,430
2017-05-23,15.63,430
2017-05-24,22.86,430
2017-05-25,25.52,430
2017-05-26,11.49,430
2017-05-29,26.24,350
2017-05-30,16.75,390
2017-05-31,17.09,370
2017-06-01,10.05,360
2017-06-02,28.04,390
2017-06-05,28.31,430
2017-06-07,4.38,520
2017-06-08,29.95,520
2017-06-09,20.35,530
2017-06-12,20.16,470
2017-06-13,17.65,450
2017-06-14,27.93,450
2017-06-15,27.2,440
2017-06-16,23.85,430
2017-06-19,23.23,470
2017-06-20,22.78,470
2017-06-21,14.17,470
2017-06-22,22.74,530
2017-06-23,24.14,580
2017-06-26,9.18,550
2017-06-27,17.39,560
2017-06-28,20.45,560
2017-06-29,14.14,560
2017-06-30,23.79,540
2017-07-03,7.67,600
2017-07-04,13.59,610
2017-07-05,19.29,630
2017-07-06,26.46,580
2017-07-07,14.18,560
2017-07-10,4.39,624
2017-07-11,26.9,670
2017-07-12,27.07,780
2017-07-13,27.7,790
2017-07-14,23.56,790
2017-07-17,17.16,890
2017-07-18,23.15,910
2017-07-19,25.46,910
2017-07-20,26.96,930
2017-07-21,7.69,890
2017-07-24,8.89,1020
2017-07-25,12.5,1020
2017-07-26,26.2,1130
2017-07-27,13.18,1130
2017-07-28,5.12,1090
2017-07-31,5.06,1210
2017-08-01,18.51,1195
2017-08-02,21.61,1220
2017-08-03,23.11,1260
2017-08-04,18.33,1245
2017-08-07,23.14,1260
2017-08-08,19.6,1255
2017-08-09,4.8,1290
2017-08-10,6.16,1370
2017-08-11,7.02,1420
2017-08-14,5.86,1620
2017-08-16,9.64,1560
2017-08-17,5.61,1570
2017-08-18,12.54,1630
2017-08-21,7.39,1670
2017-08-22,20.0,1720
2017-08-23,7.75,1820
2017-08-24,3.79,1720
2017-08-25,23.27,1760
