date,snow,price
2015-01-02,0,380
2015-01-05,0.6,380
2015-01-06,1.1,380
2015-01-07,0,380
2015-01-08,0,380
2015-01-09,0,380
2015-01-12,0,380
2015-01-13,0,380
2015-01-14,0,380
2015-01-15,0.2,380
2015-01-16,0.1,380
2015-01-19,1.9,380
2015-01-20,0,380
2015-01-21,0,380
2015-01-22,0,380
2015-01-23,0,380
2015-01-26,0,380
2015-01-27,0,380
2015-01-28,0,380
2015-01-29,0,380
2015-01-30,0,380
2015-02-02,0,390
2015-02-03,0,390
2015-02-04,0,390
2015-02-05,0,390
2015-02-06,0,390
2015-02-09,0,400
2015-02-10,0,400
2015-02-11,0,410
2015-02-12,0,440
2015-02-13,0,440
2015-02-16,0,440
2015-02-17,0,440
2015-02-23,0,410
2015-02-24,0,410
2015-02-25,0,440
2015-02-26,0,440
2015-02-27,0,440
2015-03-02,0,450
2015-03-03,0,450
2015-03-04,0,470
2015-03-05,0,470
2015-03-06,0,470
2015-03-09,0,470
2015-03-10,0,470
2015-03-11,0,470
2015-03-12,0,480
2015-03-13,0,480
2015-03-16,0,480
2015-03-17,0,480
2015-03-18,0,490
2015-03-19,0,500
2015-03-20,0,490
2015-03-23,0,510
2015-03-24,0,510
2015-03-25,0,510
2015-03-26,0,510
2015-03-27,0,510
2015-03-30,0,500
2015-03-31,0,500
2015-04-01,0,490
2015-04-02,0,500
2015-04-03,0,500
2015-04-06,0,500
2015-04-07,0,500
2015-04-08,0,500
2015-04-09,0,480
2015-04-10,0,480
2015-04-13,0,480
2015-04-14,0,480
2015-04-15,0,480
2015-04-16,0,480
2015-04-17,0,480
2015-04-20,0,480
2015-04-21,0,490
2015-04-22,0,490
2015-04-23,0,510
2015-04-24,0,510
2015-04-27,0,530
2015-04-28,0,530
2015-04-29,0,540
2015-04-30,0,550
2015-05-04,0,590
2015-05-06,0,670
2015-05-07,0,690
2015-05-08,0,690
2015-05-11,0,710
2015-05-12,0,735
2015-05-13,0,735
2015-05-14,0,735
2015-05-15,0,735
2015-05-18,0,1070
2015-05-19,0,1110
2015-05-20,0,1110
2015-05-21,0,1130
2015-05-22,0,1110
2015-05-26,0,1110
2015-05-27,0,1100
2015-05-28,0,1080
2015-05-29,0,1050
2015-06-01,0,900
2015-06-02,0,900
2015-06-03,0,860
2015-06-04,0,760
2015-06-05,0,760
2015-06-08,0,740
2015-06-09,0,750
2015-06-10,0,760
2015-06-11,0,810
2015-06-12,0,800
2015-06-15,0,760
2015-06-16,0,710
2015-06-17,0,710
2015-06-18,0,670
2015-06-19,0,670
2015-06-22,0,680
2015-06-23,0,690
2015-06-24,0,700
2015-06-25,0,700
2015-06-26,0,700
2015-06-29,0,700
2015-06-30,0,700
2015-07-01,0,700
2015-07-02,0,700
2015-07-03,0,700
2015-07-06,0,700
2015-07-07,0,700
2015-07-08,0,700
2015-07-09,0,700
2015-07-10,0,700
2015-07-13,0,700
2015-07-14,0,700
2015-07-15,0,700
2015-07-16,0,640
2015-07-17,0,630
2015-07-20,0,630
2015-07-21,0,610
2015-07-22,0,590
2015-07-23,0,590
2015-07-24,0,580
2015-07-27,0,580
2015-07-28,0,570
2015-07-29,0,570
2015-07-30,0,570
2015-07-31,0,570
2015-08-03,0,570
2015-08-04,0,570
2015-08-05,0,570
2015-08-06,0,580
2015-08-07,0,610
2015-08-10,0,655
2015-08-11,0,690
2015-08-12,0,690
2015-08-13,0,706
2015-08-17,0,750
2015-08-18,0,700
2015-08-19,0,680
2015-08-20,0,690
2015-08-21,0,690
2015-08-24,0,690
2015-08-25,0,690
2015-08-26,0,740
2015-08-27,0,710
2015-08-28,0,680
2015-08-31,0,680
2015-09-01,0,660
2015-09-02,0,660
2015-09-03,0,570
2015-09-04,0,580
2015-09-07,0,610
2015-09-08,0,600
2015-09-09,0,590
2015-09-10,0,590
2015-09-11,0,580
2015-09-14,0,580
2015-09-15,0,580
2015-09-16,0,580
2015-09-17,0,590
2015-09-18,0,600
2015-09-21,0,580
2015-09-22,0,610
2015-09-23,0,640
2015-09-24,0,700
2015-09-25,0,660
2015-09-30,0,660
2015-10-01,0,630
2015-10-02,0,610
2015-10-05,0,520
2015-10-06,0,520
2015-10-07,0,490
2015-10-08,0,490
2015-10-12,0,460
2015-10-13,0,450
2015-10-14,0,420
2015-10-15,0,400
2015-10-16,0,400
2015-10-19,0,400
2015-10-20,0,390
2015-10-21,0,390
2015-10-22,0,390
2015-10-23,0,390
2015-10-26,0,390
2015-10-27,0,390
2015-10-28,0,390
2015-10-29,0,390
2015-10-30,0,380
2015-11-02,0,385
2015-11-03,0,385
2015-11-04,0,390
2015-11-05,0,390
2015-11-06,0,390
2015-11-09,0,405
2015-11-10,0,410
2015-11-11,0,430
2015-11-12,0,410
2015-11-13,0,430
2015-11-16,0,400
2015-11-17,0,420
2015-11-18,0,410
2015-11-19,0,430
2015-11-20,0,510
2015-11-23,0,510
2015-11-24,0,510
2015-11-25,0,520
2015-11-26,0,520
2015-11-27,0,550
2015-11-30,0,530
2015-12-01,0,510
2015-12-02,0,490
2015-12-03,0,490
2015-12-07,0,440
2015-12-08,0,440
2015-12-09,0,440
2015-12-10,0,440
2015-12-11,0,400
2015-12-14,0,400
2015-12-15,0,420
2015-12-16,0,420
2015-12-17,0,420
2015-12-18,0,420
2015-12-21,0,410
2015-12-22,0,420
2015-12-23,0,410
2015-12-24,0,410
2015-12-28,0,430
2015-12-29,0,430
2015-12-30,0,430
2015-12-31,0,430
2016-01-04,0,440
2016-01-05,0,450
2016-01-06,0,450
2016-01-07,0,455
2016-01-08,0,455
