date,illsa,price
2015-01-02,10.43,380
2015-01-05,6.81,380
2015-01-06,10.07,380
2015-01-07,11.14,380
2015-01-08,11.62,380
2015-01-09,11.1,380
2015-01-12,11.84,380
2015-01-13,10.1,380
2015-01-14,3.76,380
2015-01-15,2.83,380
2015-01-16,4.65,380
2015-01-19,9.21,380
2015-01-20,12.07,380
2015-01-21,5.29,380
2015-01-22,2.03,380
2015-01-23,14.12,380
2015-01-26,4.38,380
2015-01-27,8.62,380
2015-01-28,7.18,380
2015-01-29,4.01,380
2015-01-30,11.79,380
2015-02-02,11.5,390
2015-02-03,10.63,390
2015-02-04,9.84,390
2015-02-05,5.58,390
2015-02-06,14.19,390
2015-02-09,14.16,400
2015-02-10,8.83,400
2015-02-11,13.75,410
2015-02-12,15.29,440
2015-02-13,15.61,440
2015-02-16,2.03,440
2015-02-17,5.06,440
2015-02-23,15.13,410
2015-02-24,17.2,410
2015-02-25,14.91,440
2015-02-26,13.84,440
2015-02-27,16.36,440
2015-03-02,18.36,450
2015-03-03,12.06,450
2015-03-04,19.2,470
2015-03-05,15.61,470
2015-03-06,18.15,470
2015-03-09,14.3,470
2015-03-10,20.08,470
2015-03-11,14.98,470
2015-03-12,19.51,480
2015-03-13,18.03,480
2015-03-16,19.23,480
2015-03-17,11.09,480
2015-03-18,1.54,490
2015-03-19,16,500
2015-03-20,18.28,490
2015-03-23,21.56,510
2015-03-24,22.26,510
2015-03-25,22.15,510
2015-03-26,22.6,510
2015-03-27,22.14,510
2015-03-30,21.49,500
2015-03-31,6.83,500
2015-04-01,4.04,490
2015-04-02,18.53,500
2015-04-03,11.51,500
2015-04-06,5.6,500
2015-04-07,3.54,500
2015-04-08,9.3,500
2015-04-09,20.29,480
2015-04-10,23.48,480
2015-04-13,2.14,480
2015-04-14,5.31,480
2015-04-15,19.37,480
2015-04-16,11.78,480
2015-04-17,23.18,480
2015-04-20,5.6,480
2015-04-21,25.93,490
2015-04-22,19.32,490
2015-04-23,25.11,510
2015-04-24,25.12,510
2015-04-27,24.52,530
2015-04-28,23.91,530
2015-04-29,6.86,540
2015-04-30,24.81,550
2015-05-04,23.46,590
2015-05-06,17.4,670
2015-05-07,23.81,690
2015-05-08,21.29,690
2015-05-11,15.57,710
2015-05-12,17.7,735
2015-05-13,26.61,735
2015-05-14,22.68,735
2015-05-15,18.95,735
2015-05-18,11.12,1070
2015-05-19,22.1,1110
2015-05-20,26.2,1110
2015-05-21,28.53,1130
2015-05-22,28.14,1110
2015-05-26,28.58,1110
2015-05-27,29.75,1100
2015-05-28,27.69,1080
2015-05-29,23.14,1050
2015-06-01,22.62,900
2015-06-02,25.69,900
2015-06-03,27.51,860
2015-06-04,27.85,760
2015-06-05,3.98,760
2015-06-08,13.36,740
2015-06-09,24.93,750
2015-06-10,25.41,760
2015-06-11,16.85,810
2015-06-12,19.62,800
2015-06-15,22.61,760
2015-06-16,26.51,710
2015-06-17,14.13,710
2015-06-18,5.57,670
2015-06-19,7.11,670
2015-06-22,26.17,680
2015-06-23,26.16,690
2015-06-24,13.9,700
2015-06-25,14.94,700
2015-06-26,6.93,700
2015-06-29,23.24,700
2015-06-30,8.43,700
2015-07-01,19.28,700
2015-07-02,20.9,700
2015-07-03,18.01,700
2015-07-06,27.82,700
2015-07-07,10.88,700
2015-07-08,6.43,700
2015-07-09,6.99,700
2015-07-10,23.39,700
2015-07-13,7.81,700
2015-07-14,21.44,700
2015-07-15,8.35,700
2015-07-16,7.53,640
2015-07-17,13.99,630
2015-07-20,9.32,630
2015-07-21,15.98,610
2015-07-22,10.66,590
2015-07-23,17.19,590
2015-07-24,6.9,580
2015-07-27,18.66,580
2015-07-28,24.98,570
2015-07-29,5.85,570
2015-07-30,21.49,570
2015-07-31,24.99,570
2015-08-03,18.2,570
2015-08-04,23.28,570
2015-08-05,18.53,570
2015-08-06,23.93,580
2015-08-07,21.58,610
2015-08-10,15.75,655
2015-08-11,17.29,690
2015-08-12,23.68,690
2015-08-13,20.4,706
2015-08-17,14.48,750
2015-08-18,17.26,700
2015-08-19,14.24,680
2015-08-20,13.59,690
2015-08-21,11.88,690
2015-08-24,8.54,690
2015-08-25,1.82,690
2015-08-26,10.1,740
2015-08-27,21.55,710
2015-08-28,12.7,680
2015-08-31,16.71,680
2015-09-01,5.29,660
2015-09-02,14.92,660
2015-09-03,18.59,570
2015-09-04,17.37,580
2015-09-07,15.25,610
2015-09-08,22.5,600
2015-09-09,18.65,590
2015-09-10,19.29,590
2015-09-11,13.11,580
2015-09-14,21.82,580
2015-09-15,21.41,580
2015-09-16,10.41,580
2015-09-17,10.2,590
2015-09-18,12.68,600
2015-09-21,19.49,580
2015-09-22,18.98,610
2015-09-23,10.71,640
2015-09-24,8.26,700
2015-09-25,14.54,660
2015-09-30,11.31,660
2015-10-01,2.6,630
2015-10-02,18.7,610
2015-10-05,18.09,520
2015-10-06,16.15,520
2015-10-07,15.85,490
2015-10-08,16.43,490
2015-10-12,15.63,460
2015-10-13,16.78,450
2015-10-14,16.45,420
2015-10-15,13.12,400
2015-10-16,15.69,400
2015-10-19,12.33,400
2015-10-20,14.18,390
2015-10-21,12.62,390
2015-10-22,2.71,390
2015-10-23,5.29,390
2015-10-26,6.49,390
2015-10-27,6.39,390
2015-10-28,14.45,390
2015-10-29,14.66,390
2015-10-30,14.84,380
2015-11-02,11.77,385
2015-11-03,13.55,385
2015-11-04,14.79,390
2015-11-05,12.13,390
2015-11-06,0.58,390
2015-11-09,2.75,405
2015-11-10,7.68,410
2015-11-11,7.86,430
2015-11-12,2.08,410
2015-11-13,1.2,430
2015-11-16,4.17,400
2015-11-17,4.15,420
2015-11-18,0.79,410
2015-11-19,1.9,430
2015-11-20,10.39,510
2015-11-23,2.28,510
2015-11-24,2.26,510
2015-11-25,1.99,520
2015-11-26,10.65,520
2015-11-27,11.37,550
2015-11-30,9.12,530
2015-12-01,10.47,510
2015-12-02,2.5,490
2015-12-03,4.79,490
2015-12-07,6.04,440
2015-12-08,6.01,440
2015-12-09,7.03,440
2015-12-10,3.9,440
2015-12-11,3.94,400
2015-12-14,3.31,400
2015-12-15,4.52,420
2015-12-16,9.88,420
2015-12-17,10,420
2015-12-18,8.38,420
2015-12-21,2.74,410
2015-12-22,9.6,420
2015-12-23,2.69,410
2015-12-24,5.93,410
2015-12-28,10.54,430
2015-12-29,8.7,430
2015-12-30,9.14,430
2015-12-31,6.8,430
2016-01-04,9.43,440
2016-01-05,9.18,450
2016-01-06,9.93,450
2016-01-07,10.75,455
2016-01-08,10.84,455
2016-01-11,10.99,470
2016-01-12,11.68,470
2016-01-13,10.78,470
