날짜,지점,강수량(mm)
2017-01-01,100,
2017-01-02,100,
2017-01-03,100,
2017-01-04,100,
2017-01-05,100,2.9
2017-01-06,100,
2017-01-07,100,
2017-01-08,100,0.2
2017-01-09,100,0.7
2017-01-10,100,
2017-01-11,100,
2017-01-12,100,
2017-01-13,100,
2017-01-14,100,
2017-01-15,100,
2017-01-16,100,
2017-01-17,100,
2017-01-18,100,
2017-01-19,100,
2017-01-20,100,10.1
2017-01-21,100,0
2017-01-22,100,0.1
2017-01-23,100,
2017-01-24,100,
2017-01-25,100,
2017-01-26,100,
2017-01-27,100,1.7
2017-01-28,100,
2017-01-29,100,5.5
2017-01-30,100,1.1
2017-01-31,100,
2017-02-01,100,
2017-02-02,100,
2017-02-03,100,
2017-02-04,100,
2017-02-05,100,
2017-02-06,100,
2017-02-07,100,
2017-02-08,100,
2017-02-09,100,
2017-02-10,100,
2017-02-11,100,
2017-02-12,100,
2017-02-13,100,
2017-02-14,100,
2017-02-15,100,
2017-02-16,100,
2017-02-17,100,2.8
2017-02-18,100,
2017-02-19,100,
2017-02-20,100,0
2017-02-21,100,
2017-02-22,100,4.4
2017-02-23,100,
2017-02-24,100,
2017-02-25,100,
2017-02-26,100,
2017-02-27,100,
2017-02-28,100,
2017-03-01,100,1.5
2017-03-02,100,4.6
2017-03-03,100,
2017-03-04,100,
2017-03-05,100,0
2017-03-06,100,0.5
2017-03-07,100,
2017-03-08,100,
2017-03-09,100,
2017-03-10,100,
2017-03-11,100,
2017-03-12,100,
2017-03-13,100,
2017-03-14,100,0.4
2017-03-15,100,
2017-03-16,100,
2017-03-17,100,
2017-03-18,100,
2017-03-19,100,
2017-03-20,100,
2017-03-21,100,0.6
2017-03-22,100,
2017-03-23,100,
2017-03-24,100,
2017-03-25,100,1.7
2017-03-26,100,0.2
2017-03-27,100,1.4
2017-03-28,100,
2017-03-29,100,
2017-03-30,100,
2017-03-31,100,6.9
2017-04-01,100,4.1
2017-04-02,100,
2017-04-03,100,
2017-04-04,100,
2017-04-05,100,6.8
2017-04-06,100,5.5
2017-04-07,100,
2017-04-08,100,
2017-04-09,100,5.1
2017-04-10,100,
2017-04-11,100,3.5
2017-04-12,100,
2017-04-13,100,
2017-04-14,100,5.8
2017-04-15,100,
2017-04-16,100,
2017-04-17,100,16.3
2017-04-18,100,8.4
2017-04-19,100,
2017-04-20,100,0.1
2017-04-21,100,3.3
2017-04-22,100,2.2
2017-04-23,100,
2017-04-24,100,
2017-04-25,100,
2017-04-26,100,
2017-04-27,100,
2017-04-28,100,
2017-04-29,100,
2017-04-30,100,
2017-05-01,100,
2017-05-02,100,
2017-05-03,100,
2017-05-04,100,
2017-05-05,100,
2017-05-06,100,
2017-05-07,100,
2017-05-08,100,
2017-05-09,100,4
2017-05-10,100,0.5
2017-05-11,100,
2017-05-12,100,
2017-05-13,100,14.1
2017-05-14,100,
2017-05-15,100,
2017-05-16,100,
2017-05-17,100,
2017-05-18,100,
2017-05-19,100,
2017-05-20,100,
2017-05-21,100,
2017-05-22,100,
2017-05-23,100,0.2
2017-05-24,100,12.8
2017-05-25,100,
2017-05-26,100,
2017-05-27,100,
2017-05-28,100,
2017-05-29,100,
2017-05-30,100,
2017-05-31,100,
2017-06-01,100,17.5
2017-06-02,100,
2017-06-03,100,
2017-06-04,100,4.1
2017-06-05,100,0.1
2017-06-06,100,5.3
2017-06-07,100,6.3
2017-06-08,100,
2017-06-09,100,0.1
2017-06-10,100,
2017-06-11,100,
2017-06-12,100,
2017-06-13,100,0.2
2017-06-14,100,
2017-06-15,100,
2017-06-16,100,
2017-06-17,100,
2017-06-18,100,
2017-06-19,100,
2017-06-20,100,
2017-06-21,100,0
2017-06-22,100,
2017-06-23,100,
2017-06-24,100,7.2
2017-06-25,100,1.1
2017-06-26,100,1.3
2017-06-27,100,0
2017-06-28,100,
2017-06-29,100,29.8
2017-06-30,100,
2017-07-01,100,
2017-07-02,100,132.1
2017-07-03,100,50.4
2017-07-04,100,18.8
2017-07-05,100,
2017-07-06,100,
2017-07-07,100,2
2017-07-08,100,37.9
2017-07-09,100,1.6
2017-07-10,100,19.2
2017-07-11,100,21.9
2017-07-12,100,
2017-07-13,100,
2017-07-14,100,
2017-07-15,100,6.3
2017-07-16,100,14.7
2017-07-17,100,
2017-07-18,100,
2017-07-19,100,
2017-07-20,100,
2017-07-21,100,
2017-07-22,100,14.4
2017-07-23,100,18
2017-07-24,100,3.8
2017-07-25,100,6.2
2017-07-26,100,0.9
2017-07-27,100,
2017-07-28,100,1.9
2017-07-29,100,2.2
2017-07-30,100,
2017-07-31,100,3.1
2017-08-01,100,
2017-08-02,100,
2017-08-03,100,
2017-08-04,100,
2017-08-05,100,
2017-08-06,100,6.5
2017-08-07,100,4.5
2017-08-08,100,
2017-08-09,100,5.2
2017-08-10,100,32.4
2017-08-11,100,20.8
2017-08-12,100,0.3
2017-08-13,100,2.1
2017-08-14,100,33.6
2017-08-15,100,66.5
2017-08-16,100,14.5
2017-08-17,100,8.9
2017-08-18,100,2.7
2017-08-19,100,0.8
2017-08-20,100,18.7
2017-08-21,100,16
2017-08-22,100,0.8
2017-08-23,100,21.6
2017-08-24,100,27.6
2017-08-25,100,
2017-08-26,100,
2017-08-27,100,
2017-08-28,100,9.7
2017-08-29,100,0.1
2017-08-30,100,
2017-08-31,100,
2017-09-01,100,
2017-09-02,100,
2017-09-03,100,
2017-09-04,100,
2017-09-05,100,0.7
2017-09-06,100,1.6
2017-09-07,100,
2017-09-08,100,
2017-09-09,100,
2017-09-10,100,
2017-09-11,100,11.8
2017-09-12,100,
2017-09-13,100,
2017-09-14,100,
2017-09-15,100,
2017-09-16,100,3.3
2017-09-17,100,7.1
2017-09-18,100,
2017-09-19,100,31.1
2017-09-20,100,
2017-09-21,100,
2017-09-22,100,
2017-09-23,100,
2017-09-24,100,
2017-09-25,100,
2017-09-26,100,
2017-09-27,100,12
2017-09-28,100,1.7
2017-09-29,100,
2017-09-30,100,
2017-10-01,100,1.6
2017-10-02,100,4.6
2017-10-03,100,2.1
2017-10-04,100,
2017-10-05,100,
2017-10-06,100,9.6
2017-10-07,100,0.8
2017-10-08,100,0.1
2017-10-09,100,
2017-10-10,100,
2017-10-11,100,17.1
2017-10-12,100,1.7
2017-10-13,100,
2017-10-14,100,
2017-10-15,100,
2017-10-16,100,
2017-10-17,100,
2017-10-18,100,1.6
2017-10-19,100,0
2017-10-20,100,
2017-10-21,100,
2017-10-22,100,14
2017-10-23,100,
2017-10-24,100,
2017-10-25,100,
2017-10-26,100,
2017-10-27,100,0
2017-10-28,100,
2017-10-29,100,0.1
2017-10-30,100,
2017-10-31,100,
2017-11-01,100,
2017-11-02,100,
2017-11-03,100,0.9
2017-11-04,100,5.3
2017-11-05,100,
2017-11-06,100,
2017-11-07,100,
2017-11-08,100,
2017-11-09,100,
2017-11-10,100,6.6
2017-11-11,100,
2017-11-12,100,
2017-11-13,100,0.5
2017-11-14,100,0.3
2017-11-15,100,
2017-11-16,100,
2017-11-17,100,
2017-11-18,100,
2017-11-19,100,
2017-11-20,100,
2017-11-21,100,
2017-11-22,100,0.2
2017-11-23,100,
2017-11-24,100,0.6
2017-11-25,100,16
2017-11-26,100,2
2017-11-27,100,
2017-11-28,100,
2017-11-29,100,0
2017-11-30,100,
2017-12-01,100,
2017-12-02,100,
2017-12-03,100,
2017-12-04,100,0.6
2017-12-05,100,
2017-12-06,100,0.2
2017-12-07,100,0
2017-12-08,100,
2017-12-09,100,
2017-12-10,100,0.2
2017-12-11,100,
2017-12-12,100,
2017-12-13,100,
2017-12-14,100,0
2017-12-15,100,
2017-12-16,100,
2017-12-17,100,
2017-12-18,100,0
2017-12-19,100,
2017-12-20,100,0
2017-12-21,100,
2017-12-22,100,
2017-12-23,100,
2017-12-24,100,7.3
2017-12-25,100,
2017-12-26,100,
2017-12-27,100,
2017-12-28,100,
2017-12-29,100,
2017-12-30,100,0.3
2017-12-31,100,0
,,
,,
,,
,,
,,
,,
,,
