날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2019-01-01,100,-9,-13.5,-4.3
2019-01-02,100,-9.1,-14,-2.6
2019-01-03,100,-7.5,-16.2,0.6
2019-01-04,100,-5.1,-10.7,0.5
2019-01-05,100,-6.1,-13.5,-0.1
2019-01-06,100,-7.4,-15.8,1.7
2019-01-07,100,-6.2,-12.3,-1.1
2019-01-08,100,-7.2,-11.9,-2.7
2019-01-09,100,-9.8,-20.1,-2.2
2019-01-10,100,-4.5,-8.1,-0.9
2019-01-11,100,-5.7,-13.3,3.6
2019-01-12,100,-3.5,-7.1,2.3
2019-01-13,100,-5.3,-12.9,5
2019-01-14,100,-4.3,-12.9,3.5
2019-01-15,100,-5.1,-10.9,-2.1
2019-01-16,100,-10.1,-16.4,-4.4
2019-01-17,100,-5.3,-8.7,-1.8
2019-01-18,100,-4,-9.3,2.4
2019-01-19,100,-1.5,-5.6,3.7
2019-01-20,100,-3.9,-8.7,-0.5
2019-01-21,100,-6,-11.4,-3.3
2019-01-22,100,-3.2,-8.6,1.6
2019-01-23,100,-2.3,-8.9,2.8
2019-01-24,100,-5.7,-14.8,3
2019-01-25,100,-6.8,-12.8,-1.4
2019-01-26,100,-8.9,-17,-0.6
2019-01-27,100,-6.2,-17.5,2.8
2019-01-28,100,-4,-10.9,-0.2
2019-01-29,100,-5.8,-17.4,3.7
2019-01-30,100,-0.2,-4,5.3
2019-01-31,100,-4.1,-9.4,-0.4
2019-02-01,100,-7.7,-14.4,-3
2019-02-02,100,-2.7,-7.4,3
2019-02-03,100,0.9,-1.6,3.3
2019-02-04,100,-3.3,-7.3,0.3
2019-02-05,100,-1.1,-8.1,3.4
2019-02-06,100,1.4,-5.5,6.2
2019-02-07,100,-2.7,-9.1,2.3
2019-02-08,100,-8.6,-14.6,-1.8
2019-02-09,100,-8,-13.3,-1.5
2019-02-10,100,-8.3,-16.6,-0.7
2019-02-11,100,-6.9,-10.9,-2.4
2019-02-12,100,-5.6,-11.5,-0.7
2019-02-13,100,-7.8,-12.9,-1.3
2019-02-14,100,-7.2,-12.9,-3.3
2019-02-15,100,-3.5,-7.5,-0.9
2019-02-16,100,-6.9,-10.7,-1.8
2019-02-17,100,-5.5,-11.7,1
2019-02-18,100,-1.4,-12,7.1
2019-02-19,100,-1.1,-2.8,1.7
2019-02-20,100,-3.8,-8.7,-0.7
2019-02-21,100,-3.8,-14.2,5.6
2019-02-22,100,-2.1,-9.6,5.2
2019-02-23,100,-1.5,-6.9,3.6
2019-02-24,100,1.6,-7.3,8.1
2019-02-25,100,0.7,-4.8,5.6
2019-02-26,100,-1,-7.9,6.7
2019-02-27,100,1.9,-2.1,8
2019-02-28,100,0.9,-4.5,7.1
2019-03-01,100,0.5,-6.1,7.9
2019-03-02,100,0,-7.7,9.7
2019-03-03,100,1.6,-6.2,9.7
2019-03-04,100,2,-2.3,8.5
2019-03-05,100,3.9,-1.9,9.1
2019-03-06,100,2.9,-0.4,8.6
2019-03-07,100,-0.5,-4.5,5.3
2019-03-08,100,1.2,-8,9.4
2019-03-09,100,4.4,-2.3,10.1
2019-03-10,100,2.3,-0.5,5.8
2019-03-11,100,1.3,-5.4,7
2019-03-12,100,-1,-5.5,4.8
2019-03-13,100,-3.1,-7.5,1.8
2019-03-14,100,-1.5,-7.2,3.8
2019-03-15,100,-0.1,-2.5,6.5
2019-03-16,100,-1.8,-6.6,1.7
2019-03-17,100,0.2,-4.6,5.3
2019-03-18,100,3.8,-2.7,10.3
2019-03-19,100,7.3,-1.2,15
2019-03-20,100,7.4,0.8,14.8
2019-03-21,100,5,-1.5,8.3
2019-03-22,100,-1.2,-5.4,4.5
2019-03-23,100,-2.5,-7,2.4
2019-03-24,100,-0.9,-5.9,4.1
2019-03-25,100,3.3,-3.2,8.9
2019-03-26,100,6.4,1.7,13
2019-03-27,100,7.7,2.4,13.1
2019-03-28,100,0.3,-1,2.5
2019-03-29,100,2.1,-1.3,7.3
2019-03-30,100,0.5,-2.8,4.9
2019-03-31,100,-1.9,-3.8,0.8
2019-04-01,100,-1,-8.4,4.3
2019-04-02,100,-0.5,-6.5,6.6
2019-04-03,100,1.9,-6.8,8.3
2019-04-04,100,6,-0.7,11.4
2019-04-05,100,6.7,2.5,13.3
2019-04-06,100,4.5,-3.2,11.8
2019-04-07,100,5.5,-0.5,12.3
2019-04-08,100,4.2,-2.8,11.1
2019-04-09,100,1.7,-4.5,8.1
2019-04-10,100,0.1,-1.8,2.1
2019-04-11,100,0.8,-5,7.3
2019-04-12,100,3.6,-4.2,11
2019-04-13,100,6.9,-1.2,13.1
2019-04-14,100,3.8,1.3,7.5
2019-04-15,100,7.9,-2.5,15.3
2019-04-16,100,10.8,3.4,18.4
2019-04-17,100,12,1.1,19.6
2019-04-18,100,10.1,4.2,15.1
2019-04-19,100,4.1,-1.3,10
2019-04-20,100,9.3,-4.1,18.9
2019-04-21,100,11.8,8.3,18.5
2019-04-22,100,10.1,5,15.9
2019-04-23,100,15.6,5.4,24.4
2019-04-24,100,13.8,10,19.3
2019-04-25,100,4.9,2.2,9.9
2019-04-26,100,2.5,1.2,3.7
2019-04-27,100,5.7,-1,12.2
2019-04-28,100,7,2.4,10.6
2019-04-29,100,6.3,1.3,12.8
2019-04-30,100,8.8,0.6,16.7
2019-05-01,100,11.4,4.5,19.7
2019-05-02,100,12.8,2.6,20.6
2019-05-03,100,12.6,1.1,21.7
2019-05-04,100,14,3.2,23.8
2019-05-05,100,15.1,5.4,24.2
2019-05-06,100,6.3,-1,12.3
2019-05-07,100,9.2,-3.6,17.6
2019-05-08,100,12.6,4.4,19.1
2019-05-09,100,14.2,8,20.7
2019-05-10,100,13.1,2.6,22.1
2019-05-11,100,13.5,4.2,22.8
2019-05-12,100,8.9,2.8,13.8
2019-05-13,100,13.3,3.1,21.2
2019-05-14,100,15.4,7.9,22.6
2019-05-15,100,14.3,5.6,22.4
2019-05-16,100,17,9.6,25.8
2019-05-17,100,16.8,7.5,23.1
2019-05-18,100,16.2,12.8,19.3
2019-05-19,100,17.8,11.1,23.8
2019-05-20,100,13.5,7.3,18.2
2019-05-21,100,12.4,4.9,18.5
2019-05-22,100,15.3,6,21.2
2019-05-23,100,17.1,8.5,24.8
2019-05-24,100,19.7,6,29.6
2019-05-25,100,20.4,12.8,27.2
2019-05-26,100,21.7,16.5,28.1
2019-05-27,100,16,11.9,19.9
2019-05-28,100,14.2,7.5,21.3
2019-05-29,100,15.3,5.8,22.2
2019-05-30,100,15.8,6.5,22.8
2019-05-31,100,14.8,11.1,20.4
2019-06-01,100,15.5,8,22.4
2019-06-02,100,16.2,6.5,25.9
2019-06-03,100,18.4,7.4,27
2019-06-04,100,20.9,12,28.2
2019-06-05,100,19.8,11.8,25.9
2019-06-06,100,18.4,13.8,25.6
2019-06-07,100,13.1,12,13.8
2019-06-08,100,15.7,9.5,22.3
2019-06-09,100,13.3,10.8,17.2
2019-06-10,100,11.2,10.1,13.1
2019-06-11,100,10.5,6.9,14.1
2019-06-12,100,13,4.3,20.1
2019-06-13,100,17.3,6.9,26.3
2019-06-14,100,15.3,10.8,22.5
2019-06-15,100,13.8,9,18.8
2019-06-16,100,13.3,11.1,16.3
2019-06-17,100,17.6,11.8,22.9
2019-06-18,100,16.6,13.9,19.8
2019-06-19,100,17.8,15.3,22.5
2019-06-20,100,19.1,11.1,27.1
2019-06-21,100,15.2,12,20.1
2019-06-22,100,14.3,9.1,19.3
2019-06-23,100,14.4,7.6,19.8
2019-06-24,100,16.6,9.6,21.8
2019-06-25,100,19,10.8,25.8
2019-06-26,100,18.3,12.6,25.6
2019-06-27,100,18.9,14.3,23.7
2019-06-28,100,17.1,12.3,21
2019-06-29,100,18.9,16.2,23.3
2019-06-30,100,19.8,15,24.2
2019-07-01,100,19.2,16.5,22.8
2019-07-02,100,18.5,12.8,24.8
2019-07-03,100,18.5,11.8,25.1
2019-07-04,100,19.9,13.6,26.8
2019-07-05,100,20.2,13,27.1
2019-07-06,100,18.9,16.7,22.6
2019-07-07,100,15.7,14.3,18.1
2019-07-08,100,15.4,14.3,17
2019-07-09,100,14.9,14.1,17
2019-07-10,100,15,13.5,17.6
