지점,지점명,일시,합계 일사량(MJ/m2)
100,대관령,2021-01-01,11.65
100,대관령,2021-01-02,11.89
100,대관령,2021-01-03,10.9
100,대관령,2021-01-04,10.29
100,대관령,2021-01-05,11.56
100,대관령,2021-01-06,12.24
100,대관령,2021-01-07,12.17
100,대관령,2021-01-08,12.37
100,대관령,2021-01-09,12.04
100,대관령,2021-01-10,11.8
100,대관령,2021-01-11,4.4
100,대관령,2021-01-12,10.5
100,대관령,2021-01-13,10.18
100,대관령,2021-01-14,10.61
100,대관령,2021-01-15,5.3
100,대관령,2021-01-16,11.91
100,대관령,2021-01-17,12.95
100,대관령,2021-01-18,5.26
100,대관령,2021-01-19,13.18
100,대관령,2021-01-20,12.3
100,대관령,2021-01-21,7.81
100,대관령,2021-01-22,5.71
100,대관령,2021-01-23,2.51
100,대관령,2021-01-24,9.16
100,대관령,2021-01-25,11.52
100,대관령,2021-01-26,4.58
100,대관령,2021-01-27,12.42
100,대관령,2021-01-28,5.77
100,대관령,2021-01-29,14.52
100,대관령,2021-01-30,9.22
100,대관령,2021-01-31,13.91
100,대관령,2021-02-01,11.89
100,대관령,2021-02-02,15.22
100,대관령,2021-02-03,14.71
100,대관령,2021-02-04,15.4
100,대관령,2021-02-05,11.7
100,대관령,2021-02-06,10.36
100,대관령,2021-02-07,11.88
100,대관령,2021-02-08,15.57
100,대관령,2021-02-09,15.7
100,대관령,2021-02-10,14.35
100,대관령,2021-02-11,15.41
100,대관령,2021-02-12,14.89
100,대관령,2021-02-13,16.4
100,대관령,2021-02-14,9.46
100,대관령,2021-02-15,6.75
100,대관령,2021-02-16,10.79
100,대관령,2021-02-17,16.54
100,대관령,2021-02-18,17.15
100,대관령,2021-02-19,17.68
100,대관령,2021-02-20,16.29
100,대관령,2021-02-21,15.36
100,대관령,2021-02-22,15.65
100,대관령,2021-02-23,17.49
100,대관령,2021-02-24,15.67
100,대관령,2021-02-25,5.65
100,대관령,2021-02-26,9.47
100,대관령,2021-02-27,5.67
100,대관령,2021-02-28,16.62
100,대관령,2021-03-01,1.32
100,대관령,2021-03-02,12.1
100,대관령,2021-03-03,18.27
100,대관령,2021-03-04,10.32
100,대관령,2021-03-05,21.09
100,대관령,2021-03-06,4.08
100,대관령,2021-03-07,17.31
100,대관령,2021-03-08,17.41
100,대관령,2021-03-09,18.67
100,대관령,2021-03-10,21.31
100,대관령,2021-03-11,19.31
100,대관령,2021-03-12,5.05
100,대관령,2021-03-13,16.17
100,대관령,2021-03-14,14.74
100,대관령,2021-03-15,14.53
100,대관령,2021-03-16,22.05
100,대관령,2021-03-17,22.3
100,대관령,2021-03-18,10.84
100,대관령,2021-03-19,12.82
100,대관령,2021-03-20,4.17
100,대관령,2021-03-21,12.39
100,대관령,2021-03-22,23.36
100,대관령,2021-03-23,23.09
100,대관령,2021-03-24,20.23
100,대관령,2021-03-25,22.91
100,대관령,2021-03-26,21.57
100,대관령,2021-03-27,7.76
100,대관령,2021-03-28,7.03
100,대관령,2021-03-29,22.26
100,대관령,2021-03-30,24.92
100,대관령,2021-03-31,24.49
100,대관령,2021-04-01,18.81
100,대관령,2021-04-02,22.73
100,대관령,2021-04-03,4.3
100,대관령,2021-04-04,8.64
100,대관령,2021-04-05,26.76
100,대관령,2021-04-06,20.65
100,대관령,2021-04-07,25.17
100,대관령,2021-04-08,22.99
100,대관령,2021-04-09,17.75
100,대관령,2021-04-10,22.66
100,대관령,2021-04-11,23.35
100,대관령,2021-04-12,10.58
100,대관령,2021-04-13,25.71
100,대관령,2021-04-14,28.22
100,대관령,2021-04-15,26.9
100,대관령,2021-04-16,19.12
100,대관령,2021-04-17,18.08
100,대관령,2021-04-18,26.98
100,대관령,2021-04-19,27.52
100,대관령,2021-04-20,26.26
100,대관령,2021-04-21,26.65
100,대관령,2021-04-22,16.96
100,대관령,2021-04-23,7.99
100,대관령,2021-04-24,15.47
100,대관령,2021-04-25,24.68
100,대관령,2021-04-26,27.55
100,대관령,2021-04-27,19.43
100,대관령,2021-04-28,23.98
100,대관령,2021-04-29,8.64
100,대관령,2021-04-30,10.33
