date,income,price
2015-01-02,146285385,520
2015-01-05,146285385,520
2015-01-06,146285385,520
2015-01-07,146285385,520
2015-01-08,146285385,520
2015-01-09,146285385,520
2015-01-12,146285385,520
2015-01-13,146285385,520
2015-01-14,146285385,520
2015-01-15,146285385,520
2015-01-16,146285385,520
2015-01-19,146285385,520
2015-01-20,146285385,520
2015-01-21,146285385,520
2015-01-22,146285385,520
2015-01-23,146285385,520
2015-01-26,146285385,520
2015-01-27,146285385,520
2015-01-28,146285385,520
2015-01-29,146285385,520
2015-01-30,146285385,520
2015-02-02,146285385,520
2015-02-03,146285385,530
2015-02-04,146285385,530
2015-02-05,146285385,530
2015-02-06,146285385,530
2015-02-09,146285385,530
2015-02-10,146285385,540
2015-02-11,146285385,540
2015-02-12,146285385,540
2015-02-13,146285385,540
2015-02-16,146285385,540
2015-02-17,146285385,540
2015-02-23,146285385,560
2015-02-24,146285385,610
2015-02-25,146285385,660
2015-02-26,146285385,680
2015-02-27,146285385,660
2015-03-02,146285385,660
2015-03-03,146285385,660
2015-03-04,146285385,710
2015-03-05,146285385,690
2015-03-06,146285385,690
2015-03-09,146285385,670
2015-03-10,146285385,650
2015-03-11,146285385,650
2015-03-12,146285385,650
2015-03-13,146285385,650
2015-03-16,146285385,670
2015-03-17,146285385,660
2015-03-18,146285385,670
2015-03-19,146285385,660
2015-03-20,146285385,650
2015-03-23,146285385,640
2015-03-24,146285385,640
2015-03-25,146285385,640
2015-03-26,146285385,640
2015-03-27,146285385,640
2015-03-30,146285385,640
2015-03-31,146285385,640
2015-04-01,146285385,650
2015-04-02,146285385,650
2015-04-03,146285385,650
2015-04-06,146285385,670
2015-04-07,146285385,700
2015-04-08,146285385,750
2015-04-09,146285385,770
2015-04-10,146285385,780
2015-04-13,146285385,710
2015-04-14,146285385,730
2015-04-15,146285385,730
2015-04-16,146285385,730
2015-04-17,146285385,730
2015-04-20,146285385,710
2015-04-21,146285385,690
2015-04-22,146285385,620
2015-04-23,146285385,530
2015-04-24,146285385,695
2015-04-27,146285385,665
2015-04-28,146285385,665
2015-04-29,146285385,650
2015-04-30,146285385,665
2015-05-04,146285385,830
2015-05-06,146285385,830
2015-05-07,146285385,820
2015-05-08,146285385,800
2015-05-11,146285385,790
2015-05-12,146285385,800
2015-05-13,146285385,780
2015-05-14,146285385,780
2015-05-15,146285385,780
2015-05-18,146285385,680
2015-05-19,146285385,690
2015-05-20,146285385,700
2015-05-21,146285385,700
2015-05-22,146285385,690
2015-05-26,146285385,710
2015-05-27,146285385,720
2015-05-28,146285385,720
2015-05-29,146285385,710
2015-06-01,146285385,710
2015-06-02,146285385,710
2015-06-03,146285385,710
2015-06-04,146285385,710
2015-06-05,146285385,720
2015-06-08,146285385,760
2015-06-09,146285385,760
2015-06-10,146285385,780
2015-06-11,146285385,810
2015-06-12,146285385,800
2015-06-15,146285385,820
2015-06-16,146285385,840
2015-06-17,146285385,840
2015-06-18,146285385,850
2015-06-19,146285385,900
2015-06-22,146285385,920
2015-06-23,146285385,970
2015-06-24,146285385,970
2015-06-25,146285385,1010
2015-06-26,146285385,1010
2015-06-29,146285385,1010
2015-06-30,146285385,1050
2015-07-01,146285385,1060
2015-07-02,146285385,1060
2015-07-03,146285385,1080
2015-07-06,146285385,1110
2015-07-07,146285385,1130
2015-07-08,146285385,1130
2015-07-09,146285385,1100
2015-07-10,146285385,1100
2015-07-13,146285385,1100
2015-07-14,146285385,1110
2015-07-15,146285385,1110
2015-07-16,146285385,1110
2015-07-17,146285385,1130
2015-07-20,146285385,1150
2015-07-21,146285385,1150
2015-07-22,146285385,1150
2015-07-23,146285385,1150
2015-07-24,146285385,1190
2015-07-27,146285385,1230
2015-07-28,146285385,1240
2015-07-29,146285385,1240
2015-07-30,146285385,1280
2015-07-31,146285385,1330
2015-08-03,146285385,1330
2015-08-04,146285385,1340
2015-08-05,146285385,1360
2015-08-06,146285385,1370
2015-08-07,146285385,1370
2015-08-10,146285385,1380
2015-08-11,146285385,1380
2015-08-12,146285385,1380
2015-08-13,146285385,1380
2015-08-17,146285385,1380
2015-08-18,146285385,1390
2015-08-19,146285385,1390
2015-08-20,146285385,1390
2015-08-21,146285385,1390
2015-08-24,146285385,1420
2015-08-25,146285385,1420
2015-08-26,146285385,1420
2015-08-27,146285385,1420
2015-08-28,146285385,1400
2015-08-31,146285385,1400
2015-09-01,146285385,1400
2015-09-02,146285385,1400
2015-09-03,146285385,1400
2015-09-04,146285385,1400
2015-09-07,146285385,1400
2015-09-08,146285385,1400
2015-09-09,146285385,1390
2015-09-10,146285385,1400
2015-09-11,146285385,1400
2015-09-14,146285385,1400
2015-09-15,146285385,1400
2015-09-16,146285385,1400
2015-09-17,146285385,1400
2015-09-18,146285385,1400
2015-09-21,146285385,1400
2015-09-22,146285385,1400
2015-09-23,146285385,1400
2015-09-24,146285385,1400
2015-09-25,146285385,1400
2015-09-30,146285385,1400
2015-10-01,146285385,1400
2015-10-02,146285385,1400
2015-10-05,146285385,1400
2015-10-06,146285385,1400
2015-10-07,146285385,1420
2015-10-08,146285385,1420
2015-10-12,146285385,1430
2015-10-13,146285385,1410
2015-10-14,146285385,1410
2015-10-15,146285385,1410
2015-10-16,146285385,1410
2015-10-19,146285385,1410
2015-10-20,146285385,1410
2015-10-21,146285385,1410
2015-10-22,146285385,1430
2015-10-23,146285385,1430
2015-10-26,146285385,1450
2015-10-27,146285385,1430
2015-10-28,146285385,1430
2015-10-29,146285385,1440
2015-10-30,146285385,1410
2015-11-02,146285385,1430
2015-11-03,146285385,1430
2015-11-04,146285385,1470
2015-11-05,146285385,1490
2015-11-06,146285385,1490
2015-11-09,146285385,1570
2015-11-10,146285385,1570
2015-11-11,146285385,1590
2015-11-12,146285385,1570
2015-11-13,146285385,1570
2015-11-16,146285385,1620
2015-11-17,146285385,1620
2015-11-18,146285385,1620
2015-11-19,146285385,1620
2015-11-20,146285385,1620
2015-11-23,146285385,1660
2015-11-24,146285385,1690
2015-11-25,146285385,1710
2015-11-26,146285385,1710
2015-11-27,146285385,1710
2015-11-30,146285385,1710
2015-12-01,146285385,1770
2015-12-02,146285385,1770
2015-12-03,146285385,1760
2015-12-07,146285385,1750
2015-12-08,146285385,1750
2015-12-09,146285385,1750
2015-12-10,146285385,1760
2015-12-11,146285385,1760
2015-12-14,146285385,1740
2015-12-15,146285385,1740
2015-12-16,146285385,1720
2015-12-17,146285385,1720
2015-12-18,146285385,1720
2015-12-21,146285385,1680
2015-12-22,146285385,1660
2015-12-23,146285385,1660
2015-12-24,146285385,1660
2015-12-28,146285385,1660
2015-12-29,146285385,1660
2015-12-30,146285385,1680
2015-12-31,146285385,1690
2016-01-05,45236301,1710
2016-01-06,45236301,1700
2016-01-07,45236301,1680
2016-01-08,45236301,1660
2016-01-11,45236301,1660
2016-01-12,45236301,1670
2016-01-13,45236301,1650
2016-01-14,45236301,1640
2016-01-15,45236301,1640
2016-01-18,45236301,1660
2016-01-19,45236301,1660
2016-01-20,45236301,1660
2016-01-21,45236301,1660
2016-01-22,45236301,1660
2016-01-25,45236301,1660
2016-01-26,45236301,1690
2016-01-27,45236301,1710
2016-01-28,45236301,1700
2016-01-29,45236301,1670
2016-02-01,45236301,1670
2016-02-02,45236301,1650
2016-02-03,45236301,1650
2016-02-04,45236301,1650
2016-02-05,45236301,1650
2016-02-11,45236301,1650
2016-02-12,45236301,1650
2016-02-15,45236301,1640
2016-02-16,45236301,1640
2016-02-17,45236301,1640
2016-02-18,45236301,1610
2016-02-19,45236301,1610
2016-02-22,45236301,1610
2016-02-23,45236301,1610
2016-02-24,45236301,1610
2016-02-25,45236301,1610
2016-02-26,45236301,1610
2016-02-29,45236301,1610
2016-03-02,45236301,1610
2016-03-03,45236301,1610
2016-03-04,45236301,1610
2016-03-07,45236301,1610
2016-03-08,45236301,1620
2016-03-09,45236301,1620
2016-03-10,45236301,1640
2016-03-11,45236301,1640
2016-03-14,45236301,1630
2016-03-15,45236301,1630
2016-03-16,45236301,1630
2016-03-17,45236301,1610
2016-03-18,45236301,1610
2016-03-21,45236301,1630
2016-03-22,45236301,1630
2016-03-23,45236301,1630
2016-03-24,45236301,1630
2016-03-25,45236301,1600
2016-03-28,45236301,1570
2016-03-29,45236301,1570
2016-03-30,45236301,1540
2016-03-31,45236301,1500
2016-04-01,45236301,1490
2016-04-04,45236301,1510
2016-04-05,45236301,1540
2016-04-06,45236301,1560
2016-04-07,45236301,1580
2016-04-08,45236301,1630
2016-04-11,45236301,1570
2016-04-12,45236301,1550
2016-04-14,45236301,1550
2016-04-15,45236301,1570
2016-04-18,45236301,1590
2016-04-19,45236301,1590
2016-04-20,45236301,1590
2016-05-02,45236301,980
2016-05-03,45236301,840
2016-05-04,45236301,780
2016-05-09,45236301,730
2016-05-10,45236301,730
2016-05-11,45236301,740
2016-05-12,45236301,730
2016-05-13,45236301,700
2016-05-16,45236301,680
2016-05-17,45236301,680
2016-05-18,45236301,680
2016-05-19,45236301,690
2016-05-20,45236301,690
2016-05-23,45236301,690
2016-05-24,45236301,690
2016-05-25,45236301,690
2016-05-26,45236301,730
2016-05-27,45236301,730
2016-05-30,45236301,750
2016-05-31,45236301,750
2016-06-01,45236301,730
2016-06-02,45236301,730
2016-06-03,45236301,730
2016-06-07,45236301,750
2016-06-08,45236301,760
2016-06-09,45236301,760
2016-06-10,45236301,760
2016-06-13,45236301,750
2016-06-14,45236301,750
2016-06-15,45236301,750
2016-06-16,45236301,750
2016-06-17,45236301,740
2016-06-20,45236301,700
2016-06-21,45236301,700
2016-06-22,45236301,700
2016-06-23,45236301,700
