,date,uga,price
0,2015-01-02,53.27,520.0
1,2015-01-05,50.98,520.0
2,2015-01-06,48.08,520.0
3,2015-01-07,46.6,520.0
4,2015-01-08,47.5,520.0
5,2015-01-09,47.41,520.0
6,2015-01-12,45.67,520.0
7,2015-01-13,43.3,520.0
8,2015-01-14,42.55,520.0
9,2015-01-15,44.48,520.0
10,2015-01-16,43.92,520.0
11,2015-01-19,46.04,520.0
12,2015-01-20,44.82,520.0
13,2015-01-21,44.75,520.0
14,2015-01-22,44.65,520.0
15,2015-01-23,44.42,520.0
16,2015-01-26,44.15,520.0
17,2015-01-27,43.63,520.0
18,2015-01-28,44.83,520.0
19,2015-01-29,44.63,520.0
20,2015-01-30,45.59,520.0
21,2015-02-02,48.81,520.0
22,2015-02-03,52.62,530.0
23,2015-02-04,54.72,530.0
24,2015-02-05,51.41,530.0
25,2015-02-06,54.23,530.0
26,2015-02-09,55.37,530.0
27,2015-02-10,55.83,540.0
28,2015-02-11,54.91,540.0
29,2015-02-12,54.75,540.0
30,2015-02-13,57.7,540.0
31,2015-02-16,58.83,540.0
32,2015-02-17,58.89,540.0
33,2015-02-23,57.29,560.0
34,2015-02-24,56.06,610.0
35,2015-02-25,55.84,660.0
36,2015-02-26,58.42,680.0
37,2015-02-27,57.39,660.0
38,2015-03-02,59.58,660.0
39,2015-03-03,57.15,660.0
40,2015-03-04,57.8,710.0
41,2015-03-05,57.35,690.0
42,2015-03-06,57.26,690.0
43,2015-03-09,56.58,670.0
44,2015-03-10,55.48,650.0
45,2015-03-11,53.5,650.0
46,2015-03-12,55.4,650.0
47,2015-03-13,54.96,650.0
48,2015-03-16,52.75,670.0
49,2015-03-17,51.64,660.0
50,2015-03-18,51.24,670.0
51,2015-03-19,53.4,660.0
52,2015-03-20,52.06,650.0
53,2015-03-23,52.87,640.0
54,2015-03-24,53.4,640.0
55,2015-03-25,52.69,640.0
56,2015-03-26,53.99,640.0
57,2015-03-27,56.37,640.0
58,2015-03-30,53.95,640.0
59,2015-03-31,53.84,640.0
60,2015-04-01,52.83,650.0
61,2015-04-02,54.63,650.0
62,2015-04-03,54.82,650.0
63,2015-04-06,53.95,670.0
64,2015-04-07,55.01,700.0
65,2015-04-08,55.92,750.0
66,2015-04-09,53.31,770.0
67,2015-04-10,54.28,780.0
68,2015-04-13,56.58,710.0
69,2015-04-14,56.32,730.0
70,2015-04-15,56.82,730.0
71,2015-04-16,58.66,730.0
72,2015-04-17,59.21,730.0
73,2015-04-20,59.34,710.0
74,2015-04-21,59.25,690.0
75,2015-04-22,58.03,620.0
76,2015-04-23,58.6,530.0
77,2015-04-24,61.43,695.0
78,2015-04-27,62.0,665.0
79,2015-04-28,61.62,665.0
80,2015-04-29,61.65,650.0
81,2015-04-30,62.69,665.0
82,2015-05-04,63.03,830.0
83,2015-05-06,64.79,830.0
84,2015-05-07,65.06,820.0
85,2015-05-08,62.96,800.0
86,2015-05-11,62.84,790.0
87,2015-05-12,62.4,800.0
88,2015-05-13,64.21,780.0
89,2015-05-14,63.61,780.0
90,2015-05-15,63.49,780.0
91,2015-05-18,63.58,680.0
92,2015-05-19,62.79,690.0
93,2015-05-20,61.75,700.0
94,2015-05-21,62.68,700.0
95,2015-05-22,64.03,690.0
96,2015-05-26,63.07,710.0
97,2015-05-27,62.11,720.0
98,2015-05-28,60.64,720.0
99,2015-05-29,61.11,710.0
100,2015-06-01,61.705,710.0
101,2015-06-02,62.49,710.0
