,date,ondo,price
0,2015-01-02,1.0,520.0
1,2015-01-05,6.9,520.0
2,2015-01-06,2.6,520.0
3,2015-01-07,0.0,520.0
4,2015-01-08,1.7,520.0
5,2015-01-09,3.9,520.0
6,2015-01-12,-0.1,520.0
7,2015-01-13,3.1,520.0
8,2015-01-14,4.9,520.0
9,2015-01-15,3.5,520.0
10,2015-01-16,3.1,520.0
11,2015-01-19,4.3,520.0
12,2015-01-20,1.9,520.0
13,2015-01-21,4.7,520.0
14,2015-01-22,3.8,520.0
15,2015-01-23,3.1,520.0
16,2015-01-26,5.9,520.0
17,2015-01-27,1.1,520.0
18,2015-01-28,-1.1,520.0
19,2015-01-29,-0.1,520.0
20,2015-01-30,0.6,520.0
21,2015-02-02,1.0,520.0
22,2015-02-03,0.9,530.0
23,2015-02-04,1.8,530.0
24,2015-02-05,1.9,530.0
25,2015-02-06,2.5,530.0
26,2015-02-09,-1.2,530.0
27,2015-02-10,4.6,540.0
28,2015-02-11,6.0,540.0
29,2015-02-12,2.2,540.0
30,2015-02-13,0.4,540.0
31,2015-02-16,7.6,540.0
32,2015-02-17,4.7,540.0
33,2015-02-23,3.6,560.0
34,2015-02-24,4.0,610.0
35,2015-02-25,5.8,660.0
36,2015-02-26,4.5,680.0
37,2015-02-27,0.4,660.0
38,2015-03-02,4.1,660.0
39,2015-03-03,4.7,660.0
40,2015-03-04,1.0,710.0
41,2015-03-05,1.2,690.0
42,2015-03-06,3.5,690.0
43,2015-03-09,3.6,670.0
44,2015-03-10,-0.5,650.0
45,2015-03-11,4.3,650.0
46,2015-03-12,5.2,650.0
47,2015-03-13,7.8,650.0
48,2015-03-16,10.2,670.0
49,2015-03-17,12.3,660.0
50,2015-03-18,12.7,670.0
51,2015-03-19,10.7,660.0
52,2015-03-20,9.9,650.0
53,2015-03-23,5.6,640.0
54,2015-03-24,5.4,640.0
55,2015-03-25,5.3,640.0
56,2015-03-26,6.6,640.0
57,2015-03-27,7.9,640.0
58,2015-03-30,13.5,640.0
59,2015-03-31,14.8,640.0
60,2015-04-01,14.1,650.0
61,2015-04-02,15.4,650.0
