,date,rain,price
0,2015-01-02,0.1,520.0
1,2015-01-05,9.3,520.0
2,2015-01-06,0.3,520.0
3,2015-01-07,0.0,520.0
4,2015-01-08,0.0,520.0
5,2015-01-09,0.0,520.0
6,2015-01-12,0.0,520.0
7,2015-01-13,0.0,520.0
8,2015-01-14,0.0,520.0
9,2015-01-15,0.0,520.0
10,2015-01-16,0.3,520.0
11,2015-01-19,0.0,520.0
12,2015-01-20,0.0,520.0
13,2015-01-21,6.4,520.0
14,2015-01-22,0.0,520.0
15,2015-01-23,0.0,520.0
16,2015-01-26,0.0,520.0
17,2015-01-27,0.0,520.0
18,2015-01-28,0.0,520.0
19,2015-01-29,9.4,520.0
20,2015-01-30,0.5,520.0
21,2015-02-02,0.0,520.0
22,2015-02-03,0.0,530.0
23,2015-02-04,0.0,530.0
24,2015-02-05,0.5,530.0
25,2015-02-06,0.0,530.0
26,2015-02-09,0.2,530.0
27,2015-02-10,0.0,540.0
28,2015-02-11,0.0,540.0
29,2015-02-12,0.0,540.0
30,2015-02-13,0.0,540.0
31,2015-02-16,0.4,540.0
32,2015-02-17,0.0,540.0
33,2015-02-23,0.0,560.0
34,2015-02-24,0.0,610.0
35,2015-02-25,0.0,660.0
36,2015-02-26,0.0,680.0
37,2015-02-27,0.0,660.0
38,2015-03-02,0.0,660.0
39,2015-03-03,2.1,660.0
40,2015-03-04,0.0,710.0
41,2015-03-05,0.0,690.0
42,2015-03-06,0.0,690.0
43,2015-03-09,0.4,670.0
44,2015-03-10,0.0,650.0
45,2015-03-11,0.0,650.0
46,2015-03-12,0.0,650.0
47,2015-03-13,0.4,650.0
48,2015-03-16,0.0,670.0
49,2015-03-17,0.0,660.0
50,2015-03-18,29.1,670.0
51,2015-03-19,0.8,660.0
52,2015-03-20,0.0,650.0
53,2015-03-23,0.0,640.0
54,2015-03-24,0.0,640.0
55,2015-03-25,0.0,640.0
56,2015-03-26,0.0,640.0
57,2015-03-27,0.0,640.0
58,2015-03-30,0.0,640.0
59,2015-03-31,0.2,640.0
60,2015-04-01,0.1,650.0
61,2015-04-02,2.1,650.0
62,2015-04-03,7.2,650.0
63,2015-04-06,7.8,670.0
64,2015-04-07,0.0,700.0
65,2015-04-08,0.0,750.0
66,2015-04-09,0.0,770.0
67,2015-04-10,0.0,780.0
68,2015-04-13,8.4,710.0
69,2015-04-14,3.6,730.0
70,2015-04-15,0.2,730.0
71,2015-04-16,0.9,730.0
72,2015-04-17,0.0,730.0
73,2015-04-20,2.4,710.0
74,2015-04-21,0.0,690.0
75,2015-04-22,0.0,620.0
76,2015-04-23,0.0,530.0
77,2015-04-24,0.0,695.0
78,2015-04-27,0.0,665.0
79,2015-04-28,43.9,665.0
80,2015-04-29,32.9,650.0
81,2015-04-30,2.9,665.0
82,2015-05-04,0.0,830.0
83,2015-05-06,0.0,830.0
84,2015-05-07,0.0,820.0
85,2015-05-08,0.0,800.0
86,2015-05-11,22.7,790.0
87,2015-05-12,4.8,800.0
88,2015-05-13,0.0,780.0
89,2015-05-14,0.0,780.0
90,2015-05-15,6.7,780.0
91,2015-05-18,6.6,680.0
92,2015-05-19,0.0,690.0
93,2015-05-20,0.0,700.0
94,2015-05-21,0.0,700.0
95,2015-05-22,0.0,690.0
96,2015-05-26,0.0,710.0
97,2015-05-27,0.0,720.0
98,2015-05-28,0.0,720.0
99,2015-05-29,0.0,710.0
100,2015-06-01,0.0,710.0
