,date,snow,price
0,2015-01-02,1.7,520
1,2015-01-05,0.2,520
2,2015-01-06,0,520
3,2015-01-07,0,520
4,2015-01-08,0,520
5,2015-01-09,0,520
6,2015-01-12,0,520
7,2015-01-13,0,520
8,2015-01-14,0,520
9,2015-01-15,0,520
10,2015-01-16,0,520
11,2015-01-19,0,520
12,2015-01-20,0,520
13,2015-01-21,0,520
14,2015-01-22,0,520
15,2015-01-23,0,520
16,2015-01-26,0,520
17,2015-01-27,0,520
18,2015-01-28,0,520
19,2015-01-29,4,520
20,2015-01-30,0,520
21,2015-02-02,0,520
22,2015-02-03,0,530
23,2015-02-04,0,530
24,2015-02-05,0.2,530
25,2015-02-06,0,530
26,2015-02-09,0.2,530
27,2015-02-10,0,540
28,2015-02-11,0,540
29,2015-02-12,0,540
30,2015-02-13,0,540
31,2015-02-16,0,540
32,2015-02-17,0,540
33,2015-02-23,0,560
34,2015-02-24,0,610
35,2015-02-25,0,660
36,2015-02-26,0,680
37,2015-02-27,0,660
38,2015-03-02,0,660
39,2015-03-03,0,660
40,2015-03-04,0,710
41,2015-03-05,0,690
42,2015-03-06,0,690
43,2015-03-09,0,670
44,2015-03-10,0,650
45,2015-03-11,0,650
46,2015-03-12,0,650
47,2015-03-13,0,650
48,2015-03-16,0,670
49,2015-03-17,0,660
50,2015-03-18,0,670
51,2015-03-19,0,660
52,2015-03-20,0,650
53,2015-03-23,0,640
54,2015-03-24,0,640
55,2015-03-25,0,640
56,2015-03-26,0,640
57,2015-03-27,0,640
58,2015-03-30,0,640
59,2015-03-31,0,640
60,2015-04-01,0,650
61,2015-04-02,0,650
62,2015-04-03,0,650
63,2015-04-06,0,670
64,2015-04-07,0,700
65,2015-04-08,0,750
66,2015-04-09,0,770
67,2015-04-10,0,780
68,2015-04-13,0,710
69,2015-04-14,0,730
70,2015-04-15,0,730
71,2015-04-16,0,730
72,2015-04-17,0,730
73,2015-04-20,0,710
74,2015-04-21,0,690
75,2015-04-22,0,620
76,2015-04-23,0,530
77,2015-04-24,0,695
78,2015-04-27,0,665
79,2015-04-28,0,665
80,2015-04-29,0,650
81,2015-04-30,0,665
82,2015-05-04,0,830
83,2015-05-06,0,830
84,2015-05-07,0,820
85,2015-05-08,0,800
86,2015-05-11,0,790
87,2015-05-12,0,800
88,2015-05-13,0,780
89,2015-05-14,0,780
90,2015-05-15,0,780
91,2015-05-18,0,680
92,2015-05-19,0,690
93,2015-05-20,0,700
94,2015-05-21,0,700
95,2015-05-22,0,690
96,2015-05-26,0,710
97,2015-05-27,0,720
98,2015-05-28,0,720
99,2015-05-29,0,710
100,2015-06-01,0,710
101,2015-06-02,0,710
102,2015-06-03,0,710
103,2015-06-04,0,710
104,2015-06-05,0,720
105,2015-06-08,0,760
106,2015-06-09,0,760
107,2015-06-10,0,780
108,2015-06-11,0,810
109,2015-06-12,0,800
110,2015-06-15,0,820
111,2015-06-16,0,840
112,2015-06-17,0,840
113,2015-06-18,0,850
114,2015-06-19,0,900
115,2015-06-22,0,920
116,2015-06-23,0,970
117,2015-06-24,0,970
118,2015-06-25,0,1010
119,2015-06-26,0,1010
120,2015-06-29,0,1010
121,2015-06-30,0,1050
122,2015-07-01,0,1060
123,2015-07-02,0,1060
124,2015-07-03,0,1080
125,2015-07-06,0,1110
126,2015-07-07,0,1130
127,2015-07-08,0,1130
128,2015-07-09,0,1100
129,2015-07-10,0,1100
130,2015-07-13,0,1100
131,2015-07-14,0,1110
132,2015-07-15,0,1110
133,2015-07-16,0,1110
134,2015-07-17,0,1130
135,2015-07-20,0,1150
136,2015-07-21,0,1150
137,2015-07-22,0,1150
138,2015-07-23,0,1150
139,2015-07-24,0,1190
140,2015-07-27,0,1230
141,2015-07-28,0,1240
142,2015-07-29,0,1240
143,2015-07-30,0,1280
144,2015-07-31,0,1330
145,2015-08-03,0,1330
146,2015-08-04,0,1340
147,2015-08-05,0,1360
148,2015-08-06,0,1370
149,2015-08-07,0,1370
150,2015-08-10,0,1380
151,2015-08-11,0,1380
152,2015-08-12,0,1380
153,2015-08-13,0,1380
154,2015-08-17,0,1380
155,2015-08-18,0,1390
156,2015-08-19,0,1390
157,2015-08-20,0,1390
158,2015-08-21,0,1390
159,2015-08-24,0,1420
160,2015-08-25,0,1420
161,2015-08-26,0,1420
162,2015-08-27,0,1420
163,2015-08-28,0,1400
164,2015-08-31,0,1400
165,2015-09-01,0,1400
166,2015-09-02,0,1400
167,2015-09-03,0,1400
168,2015-09-04,0,1400
169,2015-09-07,0,1400
170,2015-09-08,0,1400
171,2015-09-09,0,1390
172,2015-09-10,0,1400
173,2015-09-11,0,1400
174,2015-09-14,0,1400
175,2015-09-15,0,1400
176,2015-09-16,0,1400
177,2015-09-17,0,1400
178,2015-09-18,0,1400
179,2015-09-21,0,1400
180,2015-09-22,0,1400
181,2015-09-23,0,1400
182,2015-09-24,0,1400
183,2015-09-25,0,1400
184,2015-09-30,0,1400
185,2015-10-01,0,1400
186,2015-10-02,0,1400
187,2015-10-05,0,1400
188,2015-10-06,0,1400
189,2015-10-07,0,1420
190,2015-10-08,0,1420
191,2015-10-12,0,1430
192,2015-10-13,0,1410
193,2015-10-14,0,1410
194,2015-10-15,0,1410
195,2015-10-16,0,1410
196,2015-10-19,0,1410
197,2015-10-20,0,1410
198,2015-10-21,0,1410
199,2015-10-22,0,1430
200,2015-10-23,0,1430
201,2015-10-26,0,1450
202,2015-10-27,0,1430
203,2015-10-28,0,1430
204,2015-10-29,0,1440
205,2015-10-30,0,1410
206,2015-11-02,0,1430
207,2015-11-03,0,1430
208,2015-11-04,0,1470
209,2015-11-05,0,1490
210,2015-11-06,0,1490
211,2015-11-09,0,1570
212,2015-11-10,0,1570
213,2015-11-11,0,1590
214,2015-11-12,0,1570
215,2015-11-13,0,1570
216,2015-11-16,0,1620
217,2015-11-17,0,1620
218,2015-11-18,0,1620
219,2015-11-19,0,1620
220,2015-11-20,0,1620
221,2015-11-23,0,1660
222,2015-11-24,0,1690
223,2015-11-25,0,1710
224,2015-11-26,0.3,1710
225,2015-11-27,0,1710
