,date,sun,price
0,2015-01-02,7.07,520.0
1,2015-01-05,6.49,520.0
2,2015-01-06,9.88,520.0
3,2015-01-07,8.22,520.0
4,2015-01-08,6.12,520.0
5,2015-01-09,8.26,520.0
6,2015-01-12,10.27,520.0
7,2015-01-13,7.3,520.0
8,2015-01-14,1.46,520.0
9,2015-01-15,8.76,520.0
10,2015-01-16,1.62,520.0
11,2015-01-19,8.72,520.0
12,2015-01-20,9.39,520.0
13,2015-01-21,1.44,520.0
14,2015-01-22,8.55,520.0
15,2015-01-23,10.95,520.0
16,2015-01-26,1.07,520.0
17,2015-01-27,7.19,520.0
18,2015-01-28,10.39,520.0
19,2015-01-29,1.08,520.0
20,2015-01-30,6.23,520.0
21,2015-02-02,11.19,520.0
22,2015-02-03,10.37,530.0
23,2015-02-04,5.49,530.0
24,2015-02-05,6.08,530.0
25,2015-02-06,6.55,530.0
26,2015-02-09,13.34,530.0
27,2015-02-10,11.45,540.0
28,2015-02-11,10.84,540.0
29,2015-02-12,11.83,540.0
30,2015-02-13,10.81,540.0
31,2015-02-16,1.24,540.0
32,2015-02-17,9.91,540.0
33,2015-02-23,12.51,560.0
34,2015-02-24,14.29,610.0
35,2015-02-25,6.21,660.0
36,2015-02-26,10.85,680.0
37,2015-02-27,10.5,660.0
38,2015-03-02,15.99,660.0
39,2015-03-03,7.58,660.0
40,2015-03-04,12.62,710.0
41,2015-03-05,13.33,690.0
42,2015-03-06,13.49,690.0
43,2015-03-09,13.02,670.0
44,2015-03-10,14.51,650.0
45,2015-03-11,16.2,650.0
46,2015-03-12,18.21,650.0
47,2015-03-13,3.56,650.0
48,2015-03-16,14.95,670.0
49,2015-03-17,12.89,660.0
50,2015-03-18,1.49,670.0
51,2015-03-19,14.31,660.0
52,2015-03-20,14.39,650.0
53,2015-03-23,19.32,640.0
54,2015-03-24,20.58,640.0
55,2015-03-25,19.98,640.0
56,2015-03-26,19.92,640.0
57,2015-03-27,14.96,640.0
58,2015-03-30,17.37,640.0
59,2015-03-31,2.93,640.0
60,2015-04-01,8.43,650.0
61,2015-04-02,12.83,650.0
62,2015-04-03,5.21,650.0
63,2015-04-06,3.0,670.0
64,2015-04-07,16.69,700.0
65,2015-04-08,19.03,750.0
66,2015-04-09,18.09,770.0
67,2015-04-10,19.58,780.0
68,2015-04-13,6.02,710.0
69,2015-04-14,17.03,730.0
70,2015-04-15,18.45,730.0
71,2015-04-16,12.56,730.0
72,2015-04-17,20.96,730.0
73,2015-04-20,3.09,710.0
74,2015-04-21,21.27,690.0
75,2015-04-22,20.25,620.0
76,2015-04-23,17.49,530.0
77,2015-04-24,16.45,695.0
78,2015-04-27,21.88,665.0
79,2015-04-28,6.85,665.0
80,2015-04-29,7.7,650.0
81,2015-04-30,15.95,665.0
82,2015-05-04,21.1,830.0
83,2015-05-06,13.36,830.0
84,2015-05-07,23.3,820.0
85,2015-05-08,17.79,800.0
86,2015-05-11,6.05,790.0
87,2015-05-12,22.25,800.0
88,2015-05-13,23.57,780.0
89,2015-05-14,15.48,780.0
90,2015-05-15,10.35,780.0
91,2015-05-18,4.62,680.0
92,2015-05-19,18.08,690.0
93,2015-05-20,24.27,700.0
94,2015-05-21,23.48,700.0
95,2015-05-22,19.53,690.0
96,2015-05-26,24.01,710.0
97,2015-05-27,23.66,720.0
98,2015-05-28,21.44,720.0
99,2015-05-29,21.94,710.0
100,2015-06-01,23.0,710.0
101,2015-06-02,6.18,710.0
102,2015-06-03,24.49,710.0
103,2015-06-04,23.04,710.0
104,2015-06-05,15.0,720.0
105,2015-06-08,6.47,760.0
106,2015-06-09,18.7,760.0
107,2015-06-10,19.87,780.0
108,2015-06-11,11.11,810.0
109,2015-06-12,22.41,800.0
110,2015-06-15,11.51,820.0
111,2015-06-16,17.45,840.0
112,2015-06-17,7.14,840.0
113,2015-06-18,20.7,850.0
114,2015-06-19,21.01,900.0
115,2015-06-22,18.91,920.0
116,2015-06-23,18.95,970.0
117,2015-06-24,5.28,970.0
118,2015-06-25,6.65,1010.0
119,2015-06-26,7.68,1010.0
120,2015-06-29,9.88,1010.0
121,2015-06-30,3.46,1050.0
122,2015-07-01,21.24,1060.0
123,2015-07-02,20.12,1060.0
124,2015-07-03,18.04,1080.0
125,2015-07-06,8.67,1110.0
126,2015-07-07,4.21,1130.0
127,2015-07-08,6.0,1130.0
128,2015-07-09,15.76,1100.0
129,2015-07-10,19.93,1100.0
130,2015-07-13,11.19,1100.0
131,2015-07-14,14.24,1110.0
132,2015-07-15,16.36,1110.0
133,2015-07-16,15.5,1110.0
134,2015-07-17,21.85,1130.0
135,2015-07-20,7.18,1150.0
136,2015-07-21,6.64,1150.0
137,2015-07-22,14.16,1150.0
138,2015-07-23,4.27,1150.0
139,2015-07-24,3.03,1190.0
140,2015-07-27,11.93,1230.0
141,2015-07-28,11.66,1240.0
142,2015-07-29,19.85,1240.0
143,2015-07-30,18.31,1280.0
144,2015-07-31,17.29,1330.0
145,2015-08-03,21.26,1330.0
146,2015-08-04,22.79,1340.0
147,2015-08-05,19.58,1360.0
148,2015-08-06,20.95,1370.0
149,2015-08-07,19.77,1370.0
150,2015-08-10,14.8,1380.0
151,2015-08-11,2.36,1380.0
152,2015-08-12,9.8,1380.0
153,2015-08-13,16.86,1380.0
154,2015-08-17,18.16,1380.0
155,2015-08-18,12.52,1390.0
156,2015-08-19,8.85,1390.0
157,2015-08-20,4.42,1390.0
158,2015-08-21,14.04,1390.0
159,2015-08-24,5.27,1420.0
160,2015-08-25,6.21,1420.0
161,2015-08-26,20.95,1420.0
162,2015-08-27,18.29,1420.0
163,2015-08-28,18.19,1400.0
164,2015-08-31,13.89,1400.0
165,2015-09-01,17.25,1400.0
166,2015-09-02,14.0,1400.0
167,2015-09-03,15.58,1400.0
168,2015-09-04,19.19,1400.0
169,2015-09-07,15.7,1400.0
170,2015-09-08,20.37,1400.0
171,2015-09-09,20.45,1390.0
172,2015-09-10,19.39,1400.0
173,2015-09-11,15.19,1400.0
174,2015-09-14,15.51,1400.0
175,2015-09-15,16.04,1400.0
176,2015-09-16,6.81,1400.0
