place,date,uga
두바이,2020-01-01,65.69
두바이,2020-01-02,65.69
두바이,2020-01-03,67.79
두바이,2020-01-04,67.67
두바이,2020-01-05,68.065
두바이,2020-01-06,69.65
두바이,2020-01-07,68.34
두바이,2020-01-08,69.24
두바이,2020-01-09,66.17
두바이,2020-01-10,65.93
두바이,2020-01-11,65.925
두바이,2020-01-12,65.355
두바이,2020-01-13,65.68
두바이,2020-01-14,64.78
두바이,2020-01-15,64.61
두바이,2020-01-16,64.74
두바이,2020-01-17,65.1
두바이,2020-01-18,64.99
두바이,2020-01-19,64.685
두바이,2020-01-20,65.24
두바이,2020-01-21,64.27
두바이,2020-01-22,64.26
두바이,2020-01-23,62.77
두바이,2020-01-24,62.23
두바이,2020-01-25,61
두바이,2020-01-26,60.4
두바이,2020-01-27,60.185
두바이,2020-01-28,58.57
두바이,2020-01-29,59.37
두바이,2020-01-30,57.76
두바이,2020-01-31,58.45
두바이,2020-02-01,56.495
두바이,2020-02-02,56.22
두바이,2020-02-03,55.23
두바이,2020-02-04,53.99
두바이,2020-02-05,53.57
두바이,2020-02-06,55.18
두바이,2020-02-07,54.37
두바이,2020-02-08,54.255
두바이,2020-02-09,53.7
두바이,2020-02-10,53.33
두바이,2020-02-11,53.03
두바이,2020-02-12,54.23
두바이,2020-02-13,54.54
두바이,2020-02-14,55.23
두바이,2020-02-15,55.26
두바이,2020-02-16,55.17
두바이,2020-02-17,55.98
두바이,2020-02-18,55.11
두바이,2020-02-19,56.39
두바이,2020-02-20,56.92
두바이,2020-02-21,56.41
두바이,2020-02-22,55.78
두바이,2020-02-23,55.445
두바이,2020-02-24,54.64
두바이,2020-02-25,54.48
두바이,2020-02-26,52.28
두바이,2020-02-27,50.62
두바이,2020-02-28,49.05
두바이,2020-02-29,50.6
두바이,2020-03-01,50.385
두바이,2020-03-02,50.58
두바이,2020-03-03,51.72
두바이,2020-03-04,50.81
두바이,2020-03-05,50.78
두바이,2020-03-06,48.58
두바이,2020-03-07,41.825
두바이,2020-03-08,41.38
두바이,2020-03-09,32.87
두바이,2020-03-10,34.18
두바이,2020-03-11,34.58
두바이,2020-03-12,32.69
두바이,2020-03-13,33.93
두바이,2020-03-14,32.09
두바이,2020-03-15,32.38
두바이,2020-03-16,31.49
두바이,2020-03-17,30.83
두바이,2020-03-18,28.26
두바이,2020-03-19,25.82
두바이,2020-03-20,28.67
두바이,2020-03-21,25.21
두바이,2020-03-22,27.655
두바이,2020-03-23,24.6
두바이,2020-03-24,26.64
두바이,2020-03-25,27.05
두바이,2020-03-26,25.74
두바이,2020-03-27,25.04
두바이,2020-03-28,24.49
두바이,2020-03-29,24.235
두바이,2020-03-30,23.24
두바이,2020-03-31,23.43
두바이,2020-04-01,21.23
두바이,2020-04-02,21.55
두바이,2020-04-03,24.51
두바이,2020-04-04,23.21
두바이,2020-04-05,24.695
두바이,2020-04-06,24.87
두바이,2020-04-07,24.88
두바이,2020-04-08,23.52
두바이,2020-04-09,23.32
두바이,2020-04-10,22.76
두바이,2020-04-11,22.815
두바이,2020-04-12,22
두바이,2020-04-13,22.31
두바이,2020-04-14,21.66
두바이,2020-04-15,19.68
두바이,2020-04-16,19.72
두바이,2020-04-17,20.61
두바이,2020-04-18,20.25
두바이,2020-04-19,18.99
두바이,2020-04-20,20.78
두바이,2020-04-21,17.37
두바이,2020-04-22,13.52
두바이,2020-04-23,18.13
두바이,2020-04-24,18.17
두바이,2020-04-25,18.05
두바이,2020-04-26,17.4
두바이,2020-04-27,17.97
두바이,2020-04-28,16.63
두바이,2020-04-29,17.12
두바이,2020-04-30,20.73
두바이,2020-05-01,20.5
두바이,2020-05-02,22.53
두바이,2020-05-03,23.25
두바이,2020-05-04,24.33
두바이,2020-05-05,26
두바이,2020-05-06,26.88
두바이,2020-05-07,26
두바이,2020-05-08,25.92
두바이,2020-05-09,26.36
두바이,2020-05-10,26.425
두바이,2020-05-11,26.72
두바이,2020-05-12,26.93
