date,gangsu,ondo,snow,price
2015-01-02,0.8,-5.2,1,445
2015-01-05,9.8,2.5,0,450
2015-01-06,5.1,1.6,0,450
2015-01-07,0,-3.9,0,450
2015-01-08,0,-3.5,0,450
2015-01-09,0,-0.8,0,450
2015-01-12,0,-2.3,0,450
2015-01-13,0,0.2,0,450
2015-01-14,0,1.9,0,450
2015-01-15,0,0.8,0,430
2015-01-16,1.5,-0.8,0,430
2015-01-19,0.8,1.9,0,430
2015-01-20,0,-0.2,0,430
2015-01-21,4.7,1.7,0,430
2015-01-22,0,2.6,0,430
2015-01-23,0,0.9,0,430
2015-01-26,1.9,5.8,0,430
2015-01-27,0,-0.3,0,440
2015-01-28,0,-3.1,0,440
2015-01-29,5.7,-1.1,0.5,440
2015-01-30,0.9,-1.3,0.8,440
2015-02-02,0,-0.6,0,440
2015-02-03,0,-0.5,0,450
2015-02-04,0,-0.8,0,450
2015-02-05,0,-0.7,0,450
2015-02-06,0,1,0,450
2015-02-09,0,-5.2,0,450
2015-02-10,0,1.4,0,450
2015-02-11,0,3.2,0,450
2015-02-12,0,-0.1,0,520
2015-02-13,0,-2.7,0,530
2015-02-16,1.8,5.1,0,530
2015-02-17,0,3,0,530
2015-02-23,0,2.4,0,500
2015-02-24,0,2.5,0,500
2015-02-25,0,3.2,0,510
2015-02-26,0,2.4,0,510
2015-02-27,0,-1.2,0,500
2015-03-02,0,2.1,0,490
2015-03-03,2.6,2,0,490
2015-03-04,0,-1.1,0,480
2015-03-05,0,0.2,0,480
2015-03-06,0,3.2,0,480
2015-03-09,0,3.4,0,480
2015-03-10,0.5,-2.9,0,480
2015-03-11,0,1.2,0,480
2015-03-12,0,2.8,0,480
2015-03-13,2.3,2.2,0,480
2015-03-16,0,9.2,0,480
2015-03-17,0,11.6,0,480
2015-03-18,23.1,9.8,0,480
2015-03-19,0.6,13.5,0,490
2015-03-20,0,13.4,0,490
2015-03-23,0,3.2,0,490
2015-03-24,0,3,0,490
2015-03-25,0,4.7,0,490
2015-03-26,0,6.7,0,510
2015-03-27,0,7.2,0,510
2015-03-30,0,13.1,0,500
2015-03-31,1.3,11.8,0,500
2015-04-01,0,14.2,0,500
2015-04-02,0.6,14.4,0,500
2015-04-03,8.9,12.4,0,500
2015-04-06,4,10.5,0,500
2015-04-07,0,7.9,0,500
2015-04-08,0,9.1,0,520
2015-04-09,0,10.1,0,540
2015-04-10,0,10.4,0,530
2015-04-13,0.4,10.3,0,510
2015-04-14,11.4,7.8,0,520
2015-04-15,0.6,10.8,0,470
2015-04-16,1.8,9,0,470
2015-04-17,0,9.6,0,470
2015-04-20,17.7,12.7,0,470
2015-04-21,0,12.7,0,470
2015-04-22,0,12.4,0,470
2015-04-23,0,12.4,0,470
2015-04-24,0,13.7,0,470
2015-04-27,0,16.9,0,460
2015-04-28,9,15.2,0,460
2015-04-29,35.1,15.8,0,450
2015-04-30,0.1,18.6,0,450
2015-05-04,0,14.3,0,510
2015-05-06,0,14.1,0,490
2015-05-07,0,15.6,0,490
2015-05-08,0,15.8,0,490
2015-05-11,4.6,17,0,500
2015-05-12,9,15.3,0,490
2015-05-13,0,19,0,490
2015-05-14,0,20.9,0,490
2015-05-15,1,21,0,490
2015-05-18,2.6,13.8,0,500
2015-05-19,0,17.9,0,520
2015-05-20,0,15.4,0,520
2015-05-21,0,16.5,0,520
2015-05-22,0,19.1,0,540
2015-05-26,0,20.8,0,560
2015-05-27,0,21.8,0,580
2015-05-28,0,22.1,0,620
2015-05-29,0,22.1,0,650
2015-06-01,0,22.3,0,670
2015-06-02,0,19.8,0,700
2015-06-03,0,20.6,0,700
2015-06-04,0,20.4,0,715
2015-06-05,2.3,16.4,0,710
2015-06-08,10,18.2,0,705
2015-06-09,0,21.2,0,705
2015-06-10,0,22.5,0,695
2015-06-11,0,21.6,0,667
2015-06-12,0,23.9,0,660
2015-06-15,0,22.6,0,680
2015-06-16,0,22.7,0,730
2015-06-17,0,20.3,0,710
2015-06-18,0,23.3,0,690
2015-06-19,0,22.9,0,690
2015-06-22,0,21.4,0,680
2015-06-23,0,23.1,0,610
2015-06-24,0,21.8,0,610
2015-06-25,18.8,21.3,0,630
2015-06-26,13.6,20.3,0,650
2015-06-29,0,23.4,0,700
2015-06-30,21.3,19.1,0,730
2015-07-01,0.4,21.5,0,800
2015-07-02,0,21.8,0,830
2015-07-03,0,21.8,0,830
2015-07-06,0,21.9,0,830
2015-07-07,20.2,19,0,910
2015-07-08,16.7,20.6,0,970
2015-07-09,23.5,22.9,0,1010
2015-07-10,0,26.1,0,1010
2015-07-13,0.1,23.4,0,1060
2015-07-14,3.5,24.9,0,1050
2015-07-15,0.2,24.7,0,990
2015-07-16,0,24.2,0,950
2015-07-17,0,22.4,0,910
