date,uga,ondo,gangsu,price
2015-01-02,53.27,-10.6,0,380
2015-01-05,50.98,-1.6,0.7,380
2015-01-06,48.08,-3.6,1.4,380
2015-01-07,46.6,-11.2,0,380
2015-01-08,47.5,-10.6,0,380
2015-01-09,47.41,-6.9,0,380
2015-01-12,45.67,-8.1,0,380
2015-01-13,43.3,-5.1,0,380
2015-01-14,42.55,-1.6,0,380
2015-01-15,44.48,-1.2,0.3,380
2015-01-16,43.92,-3.9,0.3,380
2015-01-19,46.04,-3.3,0.9,380
2015-01-20,44.82,-5.1,0,380
2015-01-21,44.75,-1.9,0.1,380
2015-01-22,44.65,-2.1,11,380
2015-01-23,44.42,-4.9,0,380
2015-01-26,44.15,2.1,1.5,380
2015-01-27,43.63,-3.8,0.2,380
2015-01-28,44.83,-8.9,0.7,380
2015-01-29,44.63,-6.3,0.5,380
2015-01-30,45.59,-5.9,0.1,380
2015-02-02,48.81,-7.1,0,390
2015-02-03,52.62,-5.7,0,390
2015-02-04,54.72,-5.6,0,390
2015-02-05,51.41,-4.6,0.9,390
2015-02-06,54.23,-3.9,0,390
2015-02-09,55.37,-10.7,0,400
2015-02-10,55.83,-3.3,0,400
2015-02-11,54.91,-0.6,0,410
2015-02-12,54.75,-5.7,0,440
2015-02-13,57.7,-6.3,0,440
2015-02-16,58.83,0.2,7,440
2015-02-17,58.89,-2.1,2.7,440
2015-02-23,57.29,-2.7,0,410
2015-02-24,56.06,-1.6,0,410
2015-02-25,55.84,0.9,0,440
2015-02-26,58.42,-2.1,0.3,440
2015-02-27,57.39,-6.3,0,440
2015-03-02,59.58,-0.5,0,450
2015-03-03,57.15,0.4,0.3,450
2015-03-04,57.8,-6.3,0,470
2015-03-05,57.35,-7,0,470
2015-03-06,57.26,-3.3,0,470
2015-03-09,56.58,-0.1,0,470
2015-03-10,55.48,-8.1,0,470
2015-03-11,53.5,-5.2,0.2,470
2015-03-12,55.4,-3.1,0,480
2015-03-13,54.96,-0.4,3,480
2015-03-16,52.75,6.8,0,480
2015-03-17,51.64,8.5,0,480
2015-03-18,51.24,2.2,15.5,490
2015-03-19,53.4,7.7,0,500
2015-03-20,52.06,8.1,0,490
2015-03-23,52.87,-0.3,0,510
2015-03-24,53.4,-1.7,0,510
2015-03-25,52.69,1,0,510
2015-03-26,53.99,6.1,0,510
2015-03-27,56.37,8.1,0,510
2015-03-30,53.95,10.5,0,500
2015-03-31,53.84,10.7,2.5,500
2015-04-01,52.83,2.5,5.5,490
2015-04-02,54.63,9.9,5,500
2015-04-03,54.82,8.1,19.5,500
2015-04-06,53.95,4.6,0,500
2015-04-07,55.01,-1.4,2,500
2015-04-08,55.92,0.4,0,500
2015-04-09,53.31,3,0,480
2015-04-10,54.28,4.4,0,480
2015-04-13,56.58,2.3,5,480
2015-04-14,56.32,2.2,7,480
2015-04-15,56.82,6.1,0.2,480
2015-04-16,58.66,8,5,480
2015-04-17,59.21,7.9,0,480
2015-04-20,59.34,4.4,8.5,480
2015-04-21,59.25,9.5,0,490
2015-04-22,58.03,10.5,0,490
2015-04-23,58.6,11.2,0,510
2015-04-24,61.43,11,0,510
2015-04-27,62,17.1,0,530
2015-04-28,61.62,14,0,530
2015-04-29,61.65,11.6,0,540
2015-04-30,62.69,14.7,0,550
2015-05-04,63.03,13,0,590
2015-05-06,64.79,12.5,0,670
2015-05-07,65.06,13.1,0,690
2015-05-08,62.96,14.2,0,690
2015-05-11,62.84,13.4,2,710
2015-05-12,62.4,11.2,6,735
2015-05-13,64.21,14.7,0,735
2015-05-14,63.61,18.1,0,735
2015-05-15,63.49,17.7,0,735
2015-05-18,63.58,14.5,0,1070
2015-05-19,62.79,13.6,2,1110
2015-05-20,61.75,10.4,0,1110
2015-05-21,62.68,13.9,0,1130
2015-05-22,64.03,17.5,0,1110
2015-05-26,63.07,19.3,0,1110
2015-05-27,62.11,17.8,0,1100
2015-05-28,60.64,16.4,0,1080
2015-05-29,61.11,18.5,0,1050
2015-06-01,61.705,17.2,0,900
2015-06-02,62.49,18.8,0,900
2015-06-03,62.3,15.3,0,860
2015-06-04,60.71,15.3,0,760
2015-06-05,59.03,12,4,760
2015-06-08,60.23,16,0,740
2015-06-09,59.64,18.4,0,750
2015-06-10,62.66,18.4,0,760
2015-06-11,63.44,17.5,0,810
2015-06-12,62.42,18.6,0.1,800
2015-06-15,61.29,17.4,1.5,760
2015-06-16,60.46,17.1,0,710
2015-06-17,60.81,13.5,0,710
2015-06-18,60.98,14.4,9.5,670
2015-06-19,60.93,12.5,2,670
2015-06-22,59.82,17.7,2,680
2015-06-23,60.11,17.1,1,690
2015-06-24,61.09,16,0,700
2015-06-25,60.26,16.7,4,700
2015-06-26,60.01,14.8,56.5,700
2015-06-29,59.36,20.9,0,700
2015-06-30,59.56,16,1.5,700
2015-07-01,60.93,17.3,4,700
2015-07-02,59.51,17.6,0,700
2015-07-03,59.45,15,2,700
2015-07-06,57.93,15.6,0,700
2015-07-07,55.16,15.6,0.5,700
2015-07-08,54.98,14.8,20,700
2015-07-09,56.69,15.9,2,700
2015-07-10,58.19,18.6,0,700
2015-07-13,57.75,20.6,3,700
2015-07-14,56.25,20.6,1,700
2015-07-15,56.93,16.5,0,700
2015-07-16,55.75,13.4,6,640
2015-07-17,62.365,14.1,0,630
2015-07-20,55.4,17.8,0,630
2015-07-21,54.68,20.5,1,610
2015-07-22,55.03,21.6,11,590
2015-07-23,54.22,22.6,20,590
2015-07-24,53.45,22,33.5,580
2015-07-27,52.87,22.4,0,580
2015-07-28,51.85,22.5,0,570
2015-07-29,51.86,22.2,5.5,570
